N,E [H]
1,-107.49947858210629
2,-107.50965383437665
3,-107.5152872724831
4,-107.51588214764364
5,-107.52249570943543
6,-107.52279886673401
7,-107.52539009421709
8,-107.53116431876026
9,-107.53227694762407
10,-107.53293435283759
11,-107.5377503397814
12,-107.53790488005698
13,-107.53904323533845
14,-107.53908545339081
15,-107.53931657408357
16,-107.53965394560983
17,-107.53990061173431
18,-107.54044193922277
19,-107.54047995273493
20,-107.54428062273745
21,-107.54766555058087
22,-107.54817370324665
23,-107.5482674881181
24,-107.54891810153555
25,-107.54892082472568
26,-107.54904297789615
27,-107.55161526292486
28,-107.55295358565421
29,-107.55309533200696
30,-107.55314654538648
31,-107.55315409877755
32,-107.55316834283015
33,-107.5532248915917
34,-107.55353347868032
35,-107.5541826063997
36,-107.55429631242492
37,-107.5562237028586
38,-107.55672047182671
39,-107.55683148512297
40,-107.56843188108859
41,-107.56867447056838
42,-107.56875511766467
43,-107.56891778450539
44,-107.56962919288569
45,-107.57161325436746
46,-107.57194080430982
47,-107.5720669874614
48,-107.5721642157898
49,-107.57280366391305
50,-107.57338816703735
51,-107.57487014428156
52,-107.57487155864592
53,-107.57493136375192
54,-107.57493611523981
55,-107.57500360183238
56,-107.57504810817271
57,-107.5771112953035
58,-107.57803783140932
59,-107.58081595884472
60,-107.58099222836421
61,-107.58109526877448
62,-107.58346243527063
63,-107.58420695969235
64,-107.5851477362454
65,-107.5851797154359
66,-107.5877989652785
67,-107.59015171284135
68,-107.59023384003142
69,-107.5903022058152
70,-107.59068531048689
71,-107.5913552311155
72,-107.59141000083636
73,-107.5916123994826
74,-107.59172674139776
75,-107.59178311579643
76,-107.59192902167854
77,-107.5933649639799
78,-107.59345674373809
79,-107.59367710230259
80,-107.593741555037
81,-107.59394068553206
82,-107.59396820905232
83,-107.59405511979973
84,-107.59408043118313
85,-107.59409994867615
86,-107.59420727494602
87,-107.59420729103711
88,-107.59427158382155
89,-107.5942869218255
90,-107.5952539861738
91,-107.5953061511097
92,-107.59542777195675
93,-107.59585689513536
94,-107.59597539906432
95,-107.59598970501868
96,-107.59606985226617
97,-107.59613002201493
98,-107.59654824679679
99,-107.59684288050127
100,-107.5981298275474
101,-107.5986718906571
