t,B00_z_0000_00,B00_z_0000_01,B00_z_0001_00,B00_z_0001_01,B00_z_0002_00,B00_z_0002_01,B00_z_0003_00,B00_z_0003_01,B00_z_0004_00,B00_z_0004_01,B00_z_0005_00,B00_z_0005_01,B00_z_0006_00,B00_z_0006_01,B00_z_0007_00,B00_z_0007_01,B00_z_0008_00,B00_z_0008_01,B00_z_0009_00,B00_z_0009_01,B01_z_0000_00,B01_z_0000_01
0.5,(-0.1702335472132525+0.39010074553101165j),(1.296366686985628-1.3800387363036577j),(-0.29435106233383257-1.6710601539956873j),(0.2610006665827173-0.454743621302773j),(1.6265626543658762-0.8059579812888744j),(0.9406105026881638-0.7004834639399441j),(-0.13545469059728774+0.22371034719629326j),(0.5045731956189842+0.7711692931825658j),(0.6332971705617823+1.5058345173555008j),(-1.971396967362959+1.5703921839776818j),(-1.547303481530309+2.5150755887759835j),(-1.4710979917763256-2.6019402344638447j),(0.9419628184292271-0.6149445513470421j),(-0.47007481084403147-0.6895522646856723j),(-1.6808681274385682-1.7837383151940165j),(-2.0152839540189476-5.617070231326608j),(-0.38149534485035624-3.31571818708444j),(-2.8182920058360885-1.9663649437015605j),(-0.001964257301906179-0.04735298945276759j),(1.71774467292756-0.11503625604101551j),(-0.1702335472132525+0.39010074553101165j),(1.296366686985628-1.3800387363036577j)
0.51,(-0.18218340123802154+0.38457657863589323j),(1.3019648384077034-1.3988389536081471j),(-0.3095766098593224-1.6739586609093047j),(0.25532210179693976-0.45809047572934225j),(1.6263527416343042-0.8183934762182469j),(0.9422943110894436-0.7128993860633066j),(-0.13370106101587242+0.21875789362599934j),(0.5006168729519761+0.7659315036434032j),(0.6554759918380907+1.4953929520298188j),(-1.917260660934817+1.5881873753006743j),(-1.5412878478787533+2.5794403807574304j),(-1.5182603206960632-2.6099292278115866j),(0.939252490353067-0.6185442507037501j),(-0.4751472494465819-0.7014491443641979j),(-1.7804273913877997-1.801638194038191j),(-2.230052352876021-5.717830355190086j),(-0.4692803425791737-3.324135871153105j),(-2.9071587399189007-1.922622719319519j),(-0.001866146312784195-0.05600514387530909j),(1.7184062413534573-0.12150071475629254j),(-0.18218340123802154+0.38457657863589323j),(1.3019648384077034-1.3988389536081471j)
0.52,(-0.19431137952985764+0.37888771540480914j),(1.307575038433668-1.4180077234506892j),(-0.3250099737813473-1.6767486519290755j),(0.24958701922189655-0.4614297539874688j),(1.6261663039086969-0.8309364240952027j),(0.9439964813829022-0.7254911789016546j),(-0.1319275221861406+0.21384607203987838j),(0.49658914174060553+0.7607408018304316j),(0.6771033499519414+1.4844740559334717j),(-1.8636148974090432+1.6037606475787438j),(-1.5334312697340777+2.6456199997799965j),(-1.5665480788553945-2.6171601992645495j),(0.936501442276545-0.6221738148504912j),(-0.480440437565265-0.7133727389876546j),(-1.8868595698864894-1.8164275357484239j),(-2.461690475781179-5.815716146687753j),(-0.5592693344142032-3.3292592416298668j),(-2.9964920791194887-1.8738239631701479j),(-0.0016852111889111782-0.06469994633958892j),(1.7190819000267963-0.1279423349210343j),(-0.19431137952985764+0.37888771540480914j),(1.307575038433668-1.4180077234506892j)
0.53,(-0.2066663013958737+0.37300967657074324j),(1.3132796965543947-1.4375764718173265j),(-0.3406575354449606-1.6794474095668226j),(0.24376620875500432-0.46477624610911317j),(1.6260290182443964-0.8435910869989722j),(0.9457277007800765-0.7383081372588364j),(-0.1301188692183476+0.20896173374065768j),(0.4924801747336745+0.7555722689681081j),(0.6982361264730078+1.4730791563989694j),(-1.8104028923270503+1.6171708976854005j),(-1.5236444507748792+2.7138426913874474j),(-1.6160863471333602-2.623647616540435j),(0.9337011467484994-0.625842041098263j),(-0.4859896640828483-0.7253648398932687j),(-2.0010240030770956-1.8274271050213033j),(-2.7121870392602596-5.909874548024912j),(-0.6516026866447665-3.3308444364456404j),(-3.086272649466286-1.8196323243328418j),(-0.001420482030308607-0.0734710347446545j),(1.71977908698231-0.13432350616266528j),(-0.2066663013958737+0.37300967657074324j),(1.3132796965543947-1.4375764718173265j)
0.54,(-0.2192993799664921+0.3669155270329906j),(1.319164938619089-1.4575790129017512j),(-0.3565276917573261-1.6820719639076152j),(0.23783011847451574-0.46814421919214405j),(1.6259679122039072-0.856363289193138j),(0.9474996642140544-0.7514009005975607j),(-0.12826036740770616+0.20409272387604077j),(0.4882803930661977+0.7504015453445827j),(0.7189236966224688+1.4612052277229761j),(-1.7575735490783453+1.6284600757569179j),(-1.5118099021423403+2.7843542177381355j),(-1.6670133028701284-2.6293938400567045j),(0.9308424483301725-0.6295582174524531j),(-0.4918325270342329-0.7374671150896271j),(-2.1238710938186585-1.833759634594632j),(-2.983830317516444-5.999114924522554j),(-0.7464167279072005-3.3285958852873487j),(-3.176441998543967-1.7596604034477863j),(-0.0010698303937927024-0.08235191435349767j),(1.7205054866055904-0.14060680818693766j),(-0.2192993799664921+0.3669155270329906j),(1.319164938619089-1.4575790129017512j)
0.55,(-0.23226421567435707+0.360575731836576j),(1.3253206325707831-1.4780516006901092j),(-0.3726308956912317-1.684638928643424j),(0.23174893918665254-0.47154732219349554j),(1.6260113277102382-0.8692604951656945j),(0.949325088668616-0.7648214147444751j),(-0.12633781001731428+0.1992279313308259j),(0.48398052943198655+0.7452048877778312j),(0.7392078144129727+1.4488461840513973j),(-1.7050835105201956+1.6376555891579407j),(-1.4977775013632828+2.8574166428694943j),(-1.7194799611245268-2.634386758899306j),(0.9279155288877161-0.6333321009614173j),(-0.4980090436945357-0.7497208880985163j),(-2.256432598904279-1.8342949689761787j),(-3.2792216942900896-6.081791310107566j),(-0.8438344247967231-3.32216054066822j),(-3.266889016781116-1.6934696742182256j),(-0.0006299315236569385-0.09137580707968544j),(1.721268925017112-0.14675514035557632j),(-0.23226421567435707+0.360575731836576j),(1.3253206325707831-1.4780516006901092j)
0.56,(-0.2456168069174854+0.35395796687578157j),(1.331840480691459-1.4990329396721283j),(-0.388979698238492-1.6871643315750404j),(0.22549268271571893-0.4749984952777053j),(1.6261888945310063-0.882291886387515j),(0.9512177440661826-0.7786229107955602j),(-0.12433757991895093+0.194357338089639j),(0.47957169347081424+0.7399592271543405j),(0.7591226158745836+1.4359940921799499j),(-1.6528988284560222+1.644772745891125j),(-1.4813596258271517+2.9333067735997016j),(-1.7736497836011038-2.638597220703943j),(0.9249098652797081-0.6371738967938195j),(-0.5045617816901568-0.7621669096266218j),(-2.3998048999340456-1.8275818527102698j),(-3.6012832970389876-6.155654783066654j),(-0.9439540756171858-3.3111228058498017j),(-3.357434703168435-1.6205724522872385j),(-9.621536622258608e-05-0.1005755002225528j),(1.722077233392149-0.15273184254153233j),(-0.2456168069174854+0.35395796687578157j),(1.331840480691459-1.4990329396721283j)
0.5700000000000001,(-0.2594155787432972+0.34702687803655097j),(1.3388221880317006-1.5205641525512477j),(-0.4055887915613922-1.6896634393186853j),(0.2190312534358739-0.47850988282024765j),(1.6265315155102162-0.8954684372901596j),(0.9531925012901843-0.7928599032035607j),(-0.12224671437911623+0.1894720668629868j),(0.4750454387335297+0.7346422256075429j),(0.7786947348838339+1.4226403043637925j),(-1.6009962634739123+1.6498172145941166j),(-1.462325798813118+3.012314161810823j),(-1.8296981196403117-2.641976218430242j),(0.9218141784730527-0.6410942376617134j),(-0.5115360135094275-0.7748451205728368j),(-2.5551078051257075-1.811765657000278j),(-3.953222432400865-6.217660975372912j),(-1.0468357998220137-3.2950005930906014j),(-3.4478153281271813-1.5404365238096576j),(0.0005371924392056058-0.10998319387975543j),(1.7229380813732702-0.1585008070848093j),(-0.2594155787432972+0.34702687803655097j),(1.3388221880317006-1.5205641525512477j)
0.58,(-0.2737214299051245+0.3397437820472731j),(1.3463677169301367-1.5426887026715816j),(-0.42247505285794645-1.692150575871154j),(0.21233451273506507-0.4820927490209306j),(1.6270713656982352-0.9088029910585615j),(0.9552653978176552-0.8075882089559913j),(-0.12005297218995092+0.18456442571249426j),(0.4703938305175602+0.7292323329128867j),(0.797943527852535+1.4087765088703297j),(-1.5493642230464555+1.652787477324084j),(-1.4403967860827078+3.0947385420931983j),(-1.8878114286836092-2.6444517939455876j),(0.9186163731045756-0.6451041630164884j),(-0.5189798966632815-0.7877944042955963j),(-2.723424327495491-1.78448962586448j),(-4.338468262448702-6.263735588470273j),(-1.1524856387922608-3.273243091154925j),(-3.537664183947206-1.4524931742448577j),(0.0012775380021415787-0.11963034615032556j),(1.7238587832775316-0.16402658214989674j),(-0.2737214299051245+0.3397437820472731j),(1.3463677169301367-1.5426887026715816j)
0.59,(-0.2885977980379064+0.3320663016734276j),(1.3545836378351737-1.5654522683692331j),(-0.4396575882236856-1.6946389346110795j),(0.20537233629916668-0.4857573949578167j),(1.6278419075834205-0.9223103359215584j),(0.9574537213992059-0.8228649896944528j),(-0.11774490226281879+0.17962794837685234j),(0.46560951380347937+0.7237088416885171j),(0.8168814040392962+1.394395693661838j),(-1.4980033433533255+1.6536772489001423j),(-1.4152380860178386+3.1808865407016897j),(-1.9481862153021259-2.645925617135054j),(0.9153034664838346-0.6492150972366726j),(-0.5269446815982891-0.8010523254085006j),(-2.905694057292253-1.742783275932292j),(-4.760520068612037-6.288485180133523j),(-1.2608371711012765-3.2452309907686523j),(-3.626492319272301-1.3561494789240405j),(0.00213351307807797-0.12954751512839202j),(1.7248460802865846-0.1692744673134805j),(-0.2885977980379064+0.3320663016734276j),(1.3545836378351737-1.5654522683692331j)
0.6,(-0.30411074194688353+0.32394792703631387j),(1.3635815870584993-1.588902565529175j),(-0.45715777555900633-1.697140383242651j),(0.1981146643063281-0.48951307580843917j),(1.6288779247071663-0.9360072827041186j),(0.959776112254035-0.8387488185906001j),(-0.11531191272848289+0.1746574289918339j),(0.46068578047304254+0.7180519410045983j),(0.8355142576483835+1.3794930165230888j),(-1.4469267201184723+1.6524778333756442j),(-1.3864527682753214+3.2710674467179865j),(-2.011027585709362-2.6462692008145265j),(0.9118615060046695-0.6534388257969294j),(-0.5354849492885129-0.8146548516301428j),(-3.1025530851968703-1.6829429727166711j),(-5.222692125798286-6.284862552275982j),(-1.3717307021343528-3.2102801012152367j),(-3.713668943185203-1.2508058075598834j),(0.0031153330693326105-0.13976419658908165j),(1.7259059022355125-0.17421060276506606j),(-0.30411074194688353+0.32394792703631387j),(1.3635815870584993-1.588902565529175j)
0.61,(-0.3203290390645835+0.3153374937268429j),(1.3734788426458817-1.6130891132194873j),(-0.47499930533565754-1.699665261120997j),(0.1905315448272452-0.49336791688429454j),(1.630215576054063-0.9499127444802423j),(0.9622526843547846-0.8552997737878749j),(-0.11274433952410536+0.1696489499188964j),(0.45561663495238597+0.7122427680198956j),(0.85384199634769+1.3640665733826716j),(-1.3961597958130412+1.6491803849388413j),(-1.3535736377872118+3.3655877835915096j),(-2.0765473081558588-2.6453197173015024j),(0.9082754738993003-0.6577874681520419j),(-0.5446588802191832-0.8286360543720473j),(-3.314093328160723-1.600420927688162j),(-5.727689701683649-6.243802594717183j),(-1.4848903356462697-3.167649471502454j),(-3.798402566992505-1.1358795204607217j),(0.004234816416149749-0.15030865619706926j),(1.7270431129899038-0.17880205405809296j),(-0.3203290390645835+0.3153374937268429j),(1.3734788426458817-1.6130891132194873j)
0.62,(-0.3373242949566729+0.3061785669889902j),(1.3843990302688467-1.6380629353043126j),(-0.4932082177965141-1.7022221683350431j),(0.18259317093637425-0.4973288270684409j),(1.6318924737569434-0.9640478192356102j),(0.9649051665679407-0.8725795602473836j),(-0.11003351339591359+0.16459990144980613j),(0.45039685740277813+0.7062634572809974j),(0.8718591585813836+1.348118055702857j),(-1.3457399146703029+1.6437780378395732j),(-1.3160547364745092+3.4647443585499964j),(-2.1449612282982953-2.6428753938238603j),(0.9045291782309318-0.6622734457824698j),(-0.5545285562094614-0.8430277827913563j),(-3.5395217395021876-1.4897503577453435j),(-6.2769619494287925-6.153874862546198j),(-1.5998995940638914-3.116555273399185j),(-3.8797244282673065-1.0108357471567417j),(0.005505462315653593-0.16120775503918863j),(1.7282612437283469-0.18301689487842857j),(-0.3373242949566729+0.3061785669889902j),(1.3843990302688467-1.6380629353043126j)
0.63,(-0.3551710602787609+0.2964087195301977j),(1.3964729719343483-1.6638761883106763j),(-0.5118129349162869-1.7048177458646234j),(0.17426991225240604-0.501401408216337j),(1.6339477868499916-0.9784358765149292j),(0.9677570646973583-0.8906516619072316j),(-0.10717182420940827+0.15950899224090792j),(0.445022063576767+0.7000971873371564j),(0.8895556093202394+1.3316532877677167j),(-1.2957155627492516+1.636267868383448j),(-1.2732622492830612+3.5688153991184404j),(-2.21648585433432-2.6386904833680584j),(0.9006051289819065-0.6669094435219721j),(-0.5651602961829688-0.8578593049448167j),(-3.776693836772171-1.3445596721608046j),(-6.86974869704387-6.0010443004596805j),(-1.7161767384034832-3.0561917627423236j),(-3.9564762940856766-0.875225878310181j),(0.006942523370967359-0.1724867673105937j),(1.7295622187395678-0.18682429077376422j),(-0.3551710602787609+0.2964087195301977j),(1.3964729719343483-1.6638761883106763j)
0.64,(-0.3739469487138123+0.2859586884438761j),(1.409839691377294-1.690581702424605j),(-0.5308442851934563-1.7074564460756119j),(0.16553234184442456-0.5055898590787269j),(1.6364223740499122-0.9931026490907721j),(0.9708338458591436-0.9095815261826746j),(-0.1041527814384617+0.15437624945058417j),(0.43948876047074736+0.693728224342034j),(0.9069173009583987+1.3146826355583996j),(-1.2461453172953345+1.6266526520878093j),(-1.2244649605451574+3.67804931175687j),(-2.291333885629558-2.632469838187131j),(0.8964843980593641-0.671708361913923j),(-0.5766250265555295-0.8731569084383084j),(-4.0215261563163684-1.1577488990472249j),(-7.501791603145435-5.768692928642312j),(-1.8329515444305848-2.9857605437515624j),(-4.027305321601014-0.7287339013223013j),(0.008563069453334612-0.18416918908450403j),(1.730946078611565-0.19019458718442028j),(-0.3739469487138123+0.2859586884438761j),(1.409839691377294-1.690581702424605j)
0.65,(-0.3937327470342676+0.27475139426915335j),(1.4246475912217225-1.7182324181695106j),(-0.5503355190710619-1.71014029277304j),(0.1563512596643386-0.5098968723344837j),(1.6393589488548201-1.0080763307485765j),(0.9741631471044773-0.9294367830049903j),(-0.10097106970239833+0.14920300770635414j),(0.4337943969362735+0.6871419623325513j),(0.92392708321701+1.2972212806739045j),(-1.1970965372983011+1.6149423810783599j),(-1.1688245192610538+3.792650520982196j),(-2.3697084137424973-2.623863159002007j),(0.8921464620163054-0.6766832579106479j),(-0.5889986863330646-0.8889434515508213j),(-4.267316516379769-0.9219366181725516j),(-8.16370632470853-5.438136638408026j),(-1.949245986921446-2.9045090380891514j),(-4.09066917660938-0.5712299049786846j),(0.010386038760512455-0.19627653728357486j),(1.732410705946144-0.1930994054071626j),(-0.3937327470342676+0.27475139426915335j),(1.4246475912217225-1.7182324181695106j)
0.66,(-0.4146125053773875+0.2627008023353536j),(1.4410558183208038-1.746880695884802j),(-0.5703223124915969-1.7128686300023623j),(0.1466977138978508-0.5143235233832412j),(1.642802280634273-1.023387681335527j),(0.9777750108137535-0.9502875008247623j),(-0.09762259823776054+0.1439918862119544j),(0.42793740846170075+0.6803249598947502j),(0.9405655434351016+1.279289355367603j),(-1.1486438347872359+1.601155510873749j),(-1.105385927313286+3.912761774865738j),(-2.451795478449514-2.6124590589065115j),(0.8875690262831086-0.6818472707268826j),(-0.6023626662513113-0.9052378542019618j),(-4.50408424008939-0.6302885981162022j),(-8.83918416217332-4.989926499656208j),(-2.0638619929053172-2.8117784214438473j),(-4.144854938372788-0.40282892933748227j),(0.01243227178183955-0.20882813826041963j),(1.7339515589866084-0.19551175028365272j),(-0.4146125053773875+0.2627008023353536j),(1.4410558183208038-1.746880695884802j)
0.67,(-0.4366735918915994+0.24971060322109503j),(1.4592358350239933-1.7765774683336697j),(-0.5908427557744967-1.7156378587799188j),(0.13654302186707673-0.5188691496450623j),(1.6467994358552895-1.0390701402677998j),(0.9817021501239171-0.972206482295016j),(-0.0941045432301957+0.1387467535163106j),(0.42191725540220926+0.6732649729472479j),(0.9568118567717928+1.260911938083967j),(-1.1008673733605099+1.5853199118220016j),(-1.0330688737722453+4.038442245564632j),(-2.5377546178113657-2.5977791730368547j),(0.8827278297369314-0.6872135290698647j),(-0.6168042802820154-0.9220545163067371j),(-4.718120634323831-0.2778357345805454j),(-9.50334421978834-4.40625542010876j),(-2.1753800163588957-2.707060267772071j),(-4.1880152678346665-0.22395185910391024j),(0.014724523644448229-0.22184090579804794j),(1.7355614188064228-0.1974061334104434j),(-0.4366735918915994+0.24971060322109503j),(1.4592358350239933-1.7765774683336697j)
0.68,(-0.4600066908386079+0.23567268539289266j),(1.4793732153249475-1.807371198320897j),(-0.6119373246595524-1.718441160954049j),(0.1258587923695378-0.5235312192505475j),(1.651400064164749-1.0551599497283441j),(0.9859802485379959-0.9952696027055289j),(-0.0904153819925936+0.13347267970101442j),(0.4157344540186033+0.6659509833949828j),(0.9726446248188263+1.242118912692124j),(-1.0538510460885246+1.5674735083901734j),(-0.9506608126090155+4.169640728949764j),(-2.6277070175830923-2.5792726697802992j),(0.8775964285229354-0.6927950352784074j),(-0.6324172665000062-0.9394026490017612j),(-4.892094654311132+0.1367963442839903j),(-10.121996396855277-3.674509285278411j),(-2.2821724716394542-2.590059716556417j),(-4.218224673435913-0.035383357909506974j),(0.01728745013036908-0.2353291088676094j),(1.737230155975207-0.19875871549616014j),(-0.4600066908386079+0.23567268539289266j),(1.4793732153249475-1.807371198320897j)
0.6900000000000001,(-0.4847057166748192+0.22046536889482837j),(1.5016696856890683-1.839306592711862j),(-0.6336488299826306-1.721268209459329j),(0.11461695160196081-0.5283051881834935j),(1.6566567347486152-1.071696288811765j),(0.9906482989230592-1.0195561946658074j),(-0.08655491805858587+0.1281758759950645j),(0.4093905997816004+0.6583732234299605j),(0.9880426810700749+1.2229446986699355j),(-1.0076805887073554+1.5476645988658855j),(-0.8568130301082879+4.306163281406322j),(-2.7217208524596153-2.556311683266715j),(0.8721459582071932-0.698604521093753j),(-0.6493023125540313-0.9572855019194741j),(-5.006009700722657+0.6093806087468862j),(-10.6524624268139-2.79184028362528j),(-2.3824358096729634-2.460761222427003j),(-4.233557274850084+0.16167985428883844j),(0.02014756253955228-0.24930413013678152j),(1.7389445228921525-0.19954747112445134j),(-0.4847057166748192+0.22046536889482837j),(1.5016696856890683-1.839306592711862j)
0.7000000000000001,(-0.5108676081401512+0.2039513644030371j),(1.52634543050292-1.8724230112376623j),(-0.6560223420393093-1.7241048643415642j),(0.10278977509395347-0.5331843451640755j),(1.6626253292375708-1.0887214198780624j),(0.9957489883577118-1.045149483034611j),(-0.08252429636553231+0.12286362208855102j),(0.4028883825062364+0.6505231952821767j),(1.0029858426754004+1.2034278635135434j),(-0.9624416855431952+1.52595185826182j),(-0.7500413771039303+4.447634761466167j),(-2.819793436263237-2.5281883954026756j),(0.8663448736198134-0.7046542688372567j),(-0.6675675986885609-0.9756994671268322j),(-5.039321380232669+1.1283288177501054j),(-11.046880033950949-1.7698790910133269j),(-2.4742439990975966-2.319491056816504j),(-4.232185124267911+0.3655984053775316j),(0.023333146552567043-0.2637742170083958j),(1.7406879782449909-0.19975237860223485j),(-0.5108676081401512+0.2039513644030371j),(1.52634543050292-1.8724230112376623j)
0.71,(-0.53859195538062+0.18597541717373342j),(1.5536416810239249-1.9067524923689394j),(-0.679105085247074-1.7269328541166278j),(0.09034992836613098-0.5381596438389947j),(1.669365498457558-1.1062808483540936j),(1.0013291367781871-1.0721370746719472j),(-0.07832600782725528+0.1175441816832592j),(0.39623159299771327+0.6423936862533964j),(1.01745558989533+1.183610632349377j),(-0.9182181246537342+1.5024040376860426j),(-0.6287338445579804+4.593454019134958j),(-2.9218298835469843-2.494114750398089j),(0.8601586661819642-0.7109558906650947j),(-0.6873293482706992-0.9946330375427218j),(-4.974183136386211+1.6738584701024137j),(-11.258279142611878-0.6381941814551542j),(-2.555624224827008-2.1669690514636106j),(-4.212492952508551+0.5742858686199116j),(0.026874140346870055-0.27874422788008807j),(1.7424405502957392-0.19935563677004137j),(-0.53859195538062+0.18597541717373342j),(1.5536416810239249-1.9067524923689394j)
0.72,(-0.5679803988947312+0.16636159065403067j),(1.5838236037015352-1.942317298645119j),(-0.7029462982397079-1.7297294423006788j),(0.07727051932829172-0.5432195221825905j),(1.6769411915695605-1.1244234971587648j),(1.007440199138238-1.1006115082483259j),(-0.07396388274242804+0.1122267070799656j),(0.3894251210123843+0.6339787788994374j),(1.0314356575618242+1.1635383128483874j),(-0.8750900552282108+1.4770993834828112j),(-0.49116771496284506+4.7427429604643345j),(-3.027618162451251-2.453226079802095j),(0.8535495591588934-0.7175200572908706j),(-0.7087123718966037-1.0140655946382247j),(-4.799342769051517+2.2187966133479256j),(-11.248840385560738+0.5551818354658168j),(-2.6246527387133756-2.0043410780729967j),(-4.173201476669548+0.7852382060865258j),(0.03080196747376287-0.29421537733858766j),(1.7441787458839293-0.19834190961867545j),(-0.5679803988947312+0.16636159065403067j),(1.5838236037015352-1.942317298645119j)
0.73,(-0.5991357207027127+0.14491014022328214j),(1.6171834977271833-1.9791268593401892j),(-0.7275970540236784-1.732467079334013j),(0.06352516574269278-0.5483497094170435j),(1.685421267651713-1.1432018968084086j),(1.014138842900134-1.1306708700877983j),(-0.06944307264735883+0.10692113385149984j),(0.38247494446229763+0.6252738562634425j),(1.044912526458203+1.1432586558727598j),(-0.8331323945387664+1.4501248084215392j),(-0.3355406175731612+4.8942896349493346j),(-3.1367997029230392-2.404590558232791j),(0.8464761822158539-0.7243561660999144j),(-0.7318505861538164-1.033965997075655j),(-4.51372298890109+2.731453297766499j),(-10.998624217887123+1.747534342706672j),(-2.6795652407676873-1.8331839879557625j),(-4.113487768760114+0.9956020940325866j),(0.03514932044369233-0.31018498511396725j),(1.7458755121361975-0.19669859829548317j),(-0.5991357207027127+0.14491014022328214j),(1.6171834977271833-1.9791268593401892j)
0.74,(-0.6321605244440403+0.12139392439463981j),(1.6540443011281958-2.0171739583074526j),(-0.7531100343049609-1.7351130406394693j),(0.04908808138986022-0.5535330212390315j),(1.6948802016049407-1.162672392059763j),(1.0214876151858798-1.162419482846483j),(-0.06477002039890453+0.10163806687961942j),(0.3753881099154486+0.6162756021033995j),(1.0578758066237113+1.1228211736758842j),(-0.7924134240470235+1.4215748545664646j),(-0.16001573701645766+5.0464906807799546j),(-3.248839935904954-2.3472254181987706j),(0.8388932279684681-0.7314719369188248j),(-0.756887481719896-1.0542909387785615j),(-4.128428667953711+3.180353518602873j),(-10.512148941512987+2.8697972716133804j),(-2.7188716578774934-1.6554792570188095j),(-4.033090345608606+1.20227953487133j),(0.03994989163006418-0.3266462347860254j),(1.747500257831463-0.19441613860544604j),(-0.6321605244440403+0.12139392439463981j),(1.6540443011281958-2.0171739583074526j)
0.75,(-0.667155370703115+0.09555429994787236j),(1.6947633874890828-2.056429978287377j),(-0.7795392515702426-1.737629052234673j),(0.03393418488124323-0.5587491447040223j),(1.7053988984800896-1.1828953656382315j),(1.0295557169329987-1.1959686747346545j),(-0.05995241846073146+0.096388659235128j),(0.3681727045633271+0.6069819961018018j),(1.0703185089004976+1.1022764378564776j),(-0.7529936051463662+1.3915504927844107j),(0.03721250942499103+5.197293621413482j),(-3.362996804762609-2.2801223894063334j),(0.8307510950312882-0.7388729218587633j),(-0.783976507351325-1.0749830419435897j),(-3.6661163061469617+3.539781589162932j),(-9.820150079441555+3.857914118275195j),(-2.7414679137029947-1.4735396951951647j),(-3.932375973307306+1.402079583851449j),(0.04523804901870427-0.34358794941107595j),(1.7490189411400643-0.19148832044038502j),(-0.667155370703115+0.09555429994787236j),(1.6947633874890828-2.056429978287377j)
0.76,(-0.7042161950559046+0.06709645060834644j),(1.739736608420039-2.096838968929944j),(-0.8069397119994087-1.739970906182542j),(0.018039235352149956-0.5639744147778998j),(1.7170656330155953-1.2039354791359052j),(1.0384199050375498-1.231437637971285j),(-0.05499915555987434+0.09118448554803057j),(0.3608378199394578+0.5973923040933484j),(1.0822372053035971+1.0816753786462954j),(-0.7149246350539693+1.360157806899799j),(0.2578280931698369+5.34414439418015j),(-3.478289175440596-2.2022847858736836j),(0.8219955245250731-0.7465619136514794j),(-0.8132813260733541-1.0959686480111193j),(-3.157392382736846+3.794491939579609j),(-8.975003985761555+4.664161880298447j),(-2.7467207757218373-1.2899173287307812j),(-3.8123709490562283+1.5918728695397528j),(0.05104845552823929-0.360994392364135j),(1.750394229975168-0.1879126237417857j),(-0.7042161950559046+0.06709645060834644j),(1.739736608420039-2.096838968929944j)
0.77,(-0.7434307871677154+0.035684108645018205j),(1.7894024959524244-2.138310253541232j),(-0.8353670118249923-1.7420880692441374j),(0.0013799995230263581-0.5691815853291669j),(1.7299771344456125-1.2258619304890401j),(1.0481655478806158-1.268954386201274j),(-0.049920252075871786+0.08603741164259203j),(0.3533935077746915+0.5875070633972187j),(1.0936320827578698+1.061068605571136j),(-0.6782487531782051+1.3275066112224907j),(0.503259368389501+5.4839414125055095j),(-3.5934575051134616-2.112785127043611j),(0.8125672402845804-0.7545382348073666j),(-0.844975887085323-1.1171552680573484j),(-2.635157097858179+3.941878368761327j),(-8.040705566253976+5.264578723341215j),(-2.734525285460892-1.1072755734214068j),(-3.674735873310586+1.7687652492931951j),(0.0574156321228117-0.378845102697607j),(1.7515857404070425-0.18369056367396813j),(-0.7434307871677154+0.035684108645018205j),(1.7894024959524244-2.138310253541232j)
0.78,(-0.7848740476213468+0.0009336490236742448j),(1.8442464782723895-2.1807092289348655j),(-0.8648768593761312-1.7439232894189j),(-0.016065545184841323-0.574339598213407j),(1.7442398406198316-1.248748726478131j),(1.058887865017501-1.308656821681959j),(-0.044726784716739965+0.0809594622970603j),(0.34585072846482495+0.5773280633925979j),(1.1045068981998711+1.040505767211386j),(-0.6429982984697971+1.2937090486661884j),(0.7745694633780342+5.613041045542573j),(-3.706972632691236-2.0108168419334j),(0.8024016073307645-0.7627968878598215j),(-0.8792442410766595-1.1384286541094095j),(-2.1287941177340595+3.9908730080712216j),(-7.080752405236801+5.660030095665025j),(-2.7053205611813826-0.9282518445819246j),(-3.521691365791143+1.9302541496002856j),(0.06437346673499049-0.3971147751206713j),(1.7525503574410322-0.1788280357279252j),(-0.7848740476213468+0.0009336490236742448j),(1.8442464782723895-2.1807092289348655j)
0.79,(-0.8286016629211677-0.03759242777346025j),(1.9048048736506764-2.2238459447056895j),(-0.8955245147976059-1.7454122066436304j),(-0.034317966680037296-0.579413355103305j),(1.7599713503294683-1.2726749673266506j),(1.0706933884087464-1.3506939241144704j),(-0.03943080121967012+0.0759626890271876j),(0.33822129270200846+0.566858321528387j),(1.114868845831965+1.020034964889561j),(-0.6091955093359509+1.258878213203126j),(1.072271971417957+5.727267763335838j),(-3.8170167739426475-1.8957785848847444j),(0.7914283287865461-0.7713275451076673j),(-0.9162800073331975-1.1596494554379542j),(-1.660120272350496+3.9582743557375544j),(-6.148084545355999+5.871238570849561j),(-2.6600630398096947-0.7553195185380168j),(-3.355897475864294+2.0743570517307544j),(0.07195467309642972-0.4157731952129359j),(1.7532426409043946-0.1733356495845648j),(-0.8286016629211677-0.03759242777346025j),(1.9048048736506764-2.2238459447056895j)
