t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B01_A_0000
0.44,(-3.285881759650811e-07+1.8699319419620221e-07j),(-3.7168347742430105e-12-1.7867031544206118e-12j),(-3.85422893310771e-12+4.967857366447337e-12j),(-2.562213661854776e-06+3.2624102557846396e-06j),(5.959985431845279e-15-2.3216112624349064e-15j),(-4.095096973479441e-16+4.665584420464469e-16j),(1.2415661344820544e-11-3.665422572075865e-11j),(4.485267972427132e-18-6.230638565512595e-19j),(1.412023349208029e-17+4.320880333369197e-18j),(1.0468439543007296e-07+5.914803423842638e-09j),(-3.267459134443097e-07+1.798854279723481e-07j)
0.45,(-2.675507193628551e-07+1.9329565608260298e-07j),(-3.6300469741269595e-12-1.575548600409926e-12j),(-3.193680483045402e-12+4.942894394684263e-12j),(-2.142425792043083e-06+3.993860163598021e-06j),(7.572432209696792e-15-4.723968371167217e-16j),(-3.79374464439844e-16+3.007411466006161e-16j),(1.559998024118184e-11-3.0562654331912104e-11j),(2.7035455106535446e-18+3.209131723693524e-19j),(9.618970421388756e-18+6.8055557429352674e-18j),(1.0498286124092381e-07-1.1879367347296404e-08j),(-2.6670135261137044e-07+1.8683175732655111e-07j)
0.46,(-2.148443512183688e-07+1.923391411964758e-07j),(-3.536908212344964e-12-1.3846661432064571e-12j),(-2.5902023043890548e-12+4.861501683917042e-12j),(-1.5514615215554797e-06+4.688013030457825e-06j),(8.752729574780745e-15+2.0875376531950918e-15j),(-3.346012090036204e-16+1.7739386977571886e-16j),(1.883260360138549e-11-2.553310071382153e-11j),(1.5131068648164559e-18+6.170426743243561e-19j),(5.5815947038301486e-18+7.639909455273301e-18j),(1.0225375797402869e-07-2.921108533018391e-08j),(-2.1477673833595155e-07+1.8655217913227606e-07j)
0.47000000000000003,(-1.6978480374471413e-07+1.861908980092023e-07j),(-3.4389361084709616e-12-1.212185732012173e-12j),(-2.0417593848446493e-12+4.734230657251437e-12j),(-7.876380918991565e-07+5.309435893117804e-06j),(9.266035636305064e-15+5.293262198373019e-15j),(-2.8354029689031097e-16+8.82073492113915e-17j),(2.2022245642119606e-11-2.1478649632271287e-11j),(7.663510511709546e-19+6.072349180789982e-19j),(2.2652662925304917e-18+7.298713403551032e-18j),(9.66951258077675e-08-4.563633829795131e-08j),(-1.703165902140496e-07+1.810842851406631e-07j)
0.48,(-1.3161519206023446e-07+1.7645212042525904e-07j),(-3.3373120588815255e-12-1.0563823209397241e-12j),(-1.5457658178388919e-12+4.569857368654723e-12j),(1.443567500835838e-07+5.8209446492358226e-06j),(8.878012041760138e-15+9.022496798079852e-15j),(-2.3169474012077866e-16+2.6096798946781382e-17j),(2.5083719155514263e-11-1.830919675403296e-11j),(3.302276996743579e-19+4.796667872427809e-19j),(-2.2194084746338234e-19+6.202203795183589e-18j),(8.854239439024985e-08-6.076437013670157e-08j),(-1.3259106943814133e-07+1.7200812114985064e-07j)
0.49,(-9.957108102996312e-08+1.6435079266320258e-07j),(-3.232946908397278e-12-9.156832548972116e-13j),(-1.0993934776697317e-12+4.3756370849596565e-12j),(1.233043256301395e-06+6.184521007131601e-06j),(7.36279470434652e-15+1.309335280564795e-14j),(-1.8256692024658147e-16-1.4889264461975887e-17j),(2.793929955904563e-11-1.5931756914835177e-11j),(9.817133892808802e-20+3.303870413713167e-19j),(-1.8790214853115914e-18+4.703993499509678e-18j),(7.805938535354604e-08-7.425104241576022e-08j),(-1.0086039739279979e-07+1.6053708368538175e-07j)
0.5,(-7.291988572337482e-08+1.508205243248094e-07j),(-3.1265369891206762e-12-7.886689611257676e-13j),(-6.997950283625907e-13+4.157555244811173e-12j),(2.4598043058882483e-06+6.362252619545495e-06j),(4.510827678691728e-15+1.726120088669114e-14j),(-1.3825814881782743e-16-3.96990829457288e-17j),(3.052002668620232e-11-1.4250973590258479e-11j),(-8.749598395880458e-21+2.0216212368403978e-19j),(-2.7787070983940215e-18+3.087298253697318e-18j),(6.553364870931363e-08-8.579209978971164e-08j),(-7.441400665039236e-08+1.4759516018051108e-07j)
0.51,(-5.098245491512643e-08+1.3656570588507658e-07j),(-3.0186116498040987e-12-6.740689667289358e-13j),(-3.4425701135324553e-13+3.920565660910619e-12j),(3.798588583284408e-06+6.317304299686497e-06j),(1.3743584594306672e-16+2.1214079258625416e-14j),(-9.989077940175152e-17-5.2415369226388483e-17j),(3.276691685075249e-11-1.3169875151563445e-11j),(-4.529898260401362e-20+1.085582618917222e-19j),(-3.041310976253072e-18+1.56605129410702e-18j),(5.127554802959568e-08-9.511754269457286e-08j),(-5.2592131051953915e-08+1.3388081589277746e-07j)
0.52,(-3.314264874767722e-08+1.2211417399339934e-07j),(-2.9095733543014563e-12-5.707547301650474e-13j),(-3.029618964844291e-14+3.668810610026948e-12j),(5.215639240282804e-06+6.014943457198118e-06j),(-5.906718958043812e-15+2.4566279051866703e-14j),(-6.79042671634664e-17-5.638404330217312e-17j),(3.4632040527141824e-11-1.259089931831713e-11j),(-4.703066397159478e-20+4.8529210467549887e-20j),(-2.81417294868063e-18+2.887447641551936e-19j),(3.562034761319006e-08-1.0198808843552797e-07j),(-3.479554201774146e-08+1.1991867652363915e-07j)
0.53,(-1.8849128509300027e-08+1.0785894800772491e-07j),(-2.79973133338723e-12-4.777303604860154e-13j),(2.4429018578470067e-13+3.405819881567725e-12j),(6.6692342025899735e-06+5.423657429711587e-06j),(-1.3721885447474951e-14+2.6850002288593333e-14j),(-4.2262907963972217e-17-5.432629531522909e-17j),(3.607940964315017e-11-1.2417181099456732e-11j),(-3.525040617257942e-20+1.4966860501303957e-20j),(-2.2552704115419263e-18-6.5622622443806825e-19j),(1.8932422077308475e-08-1.0619450939720433e-07j),(-2.0487575512658242e-08+1.0610052307181158e-07j)
0.54,(-7.61236846527614e-09+9.409068118678716e-08j),(-2.689329655583513e-12-3.941219883610631e-13j),(4.814117412947035e-13+3.134687228524565e-12j),(8.10943826107975e-06+4.516413452033009e-06j),(-2.3340469791950693e-14+2.750529954375892e-14j),(-2.2602843249244668e-17-4.8431674817958784e-17j),(3.708562173976573e-11-1.2554078455849545e-11j),(-2.1358973289529325e-20-5.661992912703356e-22j),(-1.519832386857636e-18-1.2342655299961358e-18j),(1.6105779011116346e-09-1.0756046085594014e-07j),(-9.191409213717271e-09+9.27171981610286e-08j)
0.55,(1.0010092957222038e-09+8.102238237816616e-08j),(-2.578571782856037e-12-3.192144612475325e-13j),(6.826188609542557e-13+2.8581877413704575e-12j),(9.47769166744273e-06+3.2722956200932733e-06j),(-3.47013550061574e-14+2.587052629567869e-14j),(-8.343467699428903e-18-4.042961807075845e-17j),(3.769678731706602e-11-1.294968184270353e-11j),(-1.0356021513366142e-20-5.480980598820418e-21j),(-7.491502333571891e-19-1.4573283688945694e-18j),(-1.5906853103598516e-08-1.0594996415817061e-07j),(-4.846733679057242e-10+7.998295052829991e-08j)
0.56,(7.375016424370874e-09+6.880786656094849e-08j),(-2.4676154458091825e-12-2.523897390506573e-13j),(8.492949975713818e-13+2.5790054047545385e-12j),(1.070685947569198e-05+1.6783530892993172e-06j),(-4.7615787438089364e-14+2.116940549659139e-14j),(1.2443569898223572e-18-3.166151122779671e-17j),(3.792266838011121e-11-1.3507749355765686e-11j),(-3.492418868423438e-21-5.249921186373657e-21j),(-6.120614244643021e-20-1.3759277336540329e-18j),(-3.3137567493694324e-08-1.0127644105508901e-07j),(6.007155765556228e-09+6.805359990578005e-08j)
0.5700000000000001,(1.1851358620456608e-08+5.755515852894513e-08j),(-2.3566024790744983e-12-1.9307417245007454e-13j),(9.827572392531798e-13+2.2998024425639566e-12j),(1.1721560946594872e-05-2.684811844753604e-07j),(-6.171887852795263e-14+1.2499687758396339e-14j),(6.974374293308375e-18-2.3118147249579228e-17j),(3.772936097808294e-11-1.4092137320964572e-11j),(-1.6019847469944212e-22-3.3224013202173514e-21j),(4.572693570536054e-19-1.069544210587859e-18j),(-4.9553640987180464e-08-9.351813784813758e-08j),(1.0617584218307214e-08+5.703973895848091e-08j)
0.58,(1.4736005689025177e-08+4.7335890799776184e-08j),(-2.245684434926904e-12-1.4077178742701374e-13j),(1.0842218047063126e-12+2.023229693122304e-12j),(1.2438411175231084e-05-2.5588343930325207e-06j),(-7.640553861887631e-14-1.1698565934148056e-15j),(9.68099084362076e-18-1.5476739523387087e-17j),(3.7116091768655635e-11-1.4592881175036918e-11j),(8.813407709484385e-22-1.4757501869981128e-21j),(7.563961373848318e-19-6.352710028916043e-19j),(-6.458549769681524e-08-8.273825571036914e-08j),(1.3645477291906255e-08+4.701603053190283e-08j)
0.59,(1.6304781555722087e-08+3.819168986375796e-08j),(-2.13503148107086e-12-9.505025006513113e-14j),(1.1548969228170254e-12+1.7519843552641316e-12j),(1.2766863978947135e-05-5.167992820194842e-06j),(-9.07474566798143e-14-2.0994738184142318e-14j),(1.0173168847326257e-17-9.144705797426916e-18j),(3.610736767778919e-11-1.4926476804398425e-11j),(8.043901859987441e-22-3.3206276887611757e-22j),(8.258267288066404e-19-1.7517790909042255e-19j),(-7.763214878535378e-08-6.91061238580356e-08j),(1.5360545233985372e-08+3.802752018634645e-08j)
0.6,(1.6807760903174394e-08+3.0138367508420683e-08j),(-2.0248383989606273e-12-5.552723642299351e-14j),(1.1960846943638552e-12+1.4888353838465239e-12j),(1.2610688095646876e-05-8.052584173418155e-06j),(-1.0338642613953957e-13-4.8234818548564884e-14j),(9.195711064387408e-18-4.301023132423869e-18j),(3.474584857204679e-11-1.5035306521409814e-11j),(4.113424197524594e-22+1.3234187870860532e-22j),(6.937571548185939e-19+2.172564023057321e-19j),(-8.807942766189922e-08-5.291906693715121e-08j),(1.600767314751261e-08+3.0093768529036645e-08j)
0.61,(1.64723571693158e-08+2.31686393765241e-08j),(-1.915327892384357e-12-2.1857352994710982e-14j),(1.209285149817548e-12+1.2366149576209212e-12j),(1.1870307962443476e-05-1.1146886000728196e-05j),(-1.123995625523042e-13-8.421049635220903e-14j),(7.39708100586973e-18-9.380600018628472e-19j),(3.308598453926118e-11-1.488622173754916e-11j),(9.865252233454162e-23+1.864583122444649e-22j),(4.2140959193767586e-19+4.70595947306333e-19j),(-9.532759014674119e-08-3.462249162007776e-08j),(1.580997199875797e-08+2.3211511159285346e-08j)
0.62,(1.5505111401457705e-08+1.7254002949822792e-08j),(-1.806751396380149e-12+6.28021363877067e-15j),(1.1962945622579147e-12+9.981753758467553e-13j),(1.0446279495561296e-05-1.435886928832139e-05j),(-1.1513205915469393e-13-1.3022301539556108e-13j),(5.30468296928184e-18+1.0943719077109827e-18j),(3.118847568239509e-11-1.4468346210762445e-11j),(-3.631950301021343e-23+9.496661334866251e-23j),(9.245059079795995e-20+5.470798415278177e-19j),(-9.882905394501674e-08-1.4824893295202362e-08j),(1.497055015792588e-08+1.7356468047257808e-08j)
0.63,(1.4092304631212899e-08+1.234631780821717e-08j),(-1.6993875811341948e-12+2.9193105204137123e-14j),(1.1592889853651246e-12+7.763123816211016e-13j),(8.244202140303175e-06-1.7566177085098e-05j),(-1.079938166889334e-13-1.8742257065968232e-13j),(3.3095193302784195e-18+2.0426014835988687e-18j),(2.9115611566373814e-11-1.379021372281322e-11j),(-4.6996606550921576e-23+1.2761968319521416e-23j),(-2.024624916946843e-19+4.501496462830762e-19j),(-9.813606152014592e-08+5.696282842464347e-09j),(1.3673116704922562e-08+1.2484839054687915e-08j)
0.64,(1.239961904712261e-08+8.379532918250415e-09j),(-1.5935387713913666e-12+4.718601752945772e-14j),(1.1008832885238379e-12+5.736582917798685e-13j),(5.181382554821703e-06-2.0612356717247014e-05j),(-8.62179105534487e-14-2.566023971363985e-13j),(1.6622369934523882e-18+2.2019362886698593e-18j),(2.692753158287039e-11-1.2876397299514871e-11j),(-1.6744567127790196e-23-1.6337176932214464e-23j),(-3.8464505704771844e-19+2.253036992228268e-19j),(-9.295660911386631e-08+2.6002534485935445e-08j),(1.2081629971469614e-08+8.534928637092822e-09j)
0.65,(1.0571160543187749e-08+5.271892078593675e-09j),(-1.489525544717466e-12+6.056948818223195e-14j),(1.0241560190424514e-12+3.925513411710731e-13j),(1.1955509376580754e-06-2.3303812885154954e-05j),(-4.3581892105632586e-14-3.378902239812818e-13j),(4.817452855727436e-19+1.8719419930350245e-18j),(2.4679419818156185e-11-1.1763819115638762e-11j),(3.8848695787085994e-24-1.0732426508784179e-23j),(-4.0697411603325474e-19-4.797299362588264e-20j),(-8.321509746907441e-08+4.50206530813185e-08j),(1.0339292906955133e-08+5.4292335455344235e-09j)
0.66,(8.728218355354201e-09+2.9288171842701794e-09j),(-1.3876798258515147e-12+6.966699406060662e-14j),(9.326315930913113e-13+2.348910691047446e-13j),(-3.7441270737897504e-06-2.540812668509984e-05j),(2.790202036805694e-14-4.3030027919080753e-13j),(-2.2403149495421565e-19+1.3183162023344737e-18j),(2.2419612851933095e-11-1.0497947425651955e-11j),(5.7448382734188545e-24+2.057434457729425e-25j),(-2.6961687461358704e-19-2.7422536890686084e-19j),(-6.911192901844789e-08+6.159162544836683e-08j),(8.567262098105527e-09+3.0771998979091005e-09j)
0.67,(6.968165849634271e-09+1.2465231873470952e-09j),(-1.2883368522076256e-12+7.482013325928848e-14j),(8.302138834754536e-13+1.019929574821927e-13j),(-9.623620596973194e-06-2.6654586361342333e-05j),(1.3831394033052032e-13-5.310994726324162e-13j),(-5.277717737099894e-19+7.4551580015078715e-19j),(2.0188561140506337e-11-9.129087004076918e-12j),(4.746122188979232e-25+3.0118510983964185e-24j),(-2.625835127251533e-20-3.686506639344517e-19j),(-5.117393766419855e-08+7.454459472028543e-08j),(6.863468974670917e-09+1.3787133715414775e-09j)
0.68,(5.363890648515802e-09+1.1626834914840568e-10j),(-1.191826439202042e-12+7.63917161003983e-14j),(7.210693515803895e-13-5.54171865423403e-15j),(-1.6368268011271565e-05-2.6737985879699114e-05j),(3.0014496107317646e-13-6.349306991763639e-13j),(-5.472377993255498e-19+2.8316072642951014e-19j),(1.8018549029388928e-11-7.708952161907184e-12j),(-1.6987186529403022e-24+3.9323473794320918e-25j),(2.247459423164789e-19-2.8754016586842622e-19j),(-3.0285485700535656e-08+8.279562804873806e-08j),(5.301940183127733e-09+2.2823781757408072e-10j)
0.6900000000000001,(3.96407704503157e-09-5.709960724995403e-10j),(-1.0984640150194635e-12+7.476666434379345e-14j),(6.094633266727807e-13-8.792344176400883e-14j),(-2.3825068741313975e-05-2.5326943444107994e-05j),(5.285654469203212e-13-7.326249167436691e-13j),(-4.1040387873033913e-19-1.2931572406344851e-20j),(1.5934049069555755e-11-6.287677831908355e-12j),(-1.9865161391341686e-25-1.0855592481013271e-24j),(3.676569224098463e-19-5.377795921528851e-20j),(-7.688851796855237e-09+8.546704079659516e-08j),(3.932943684587863e-09-4.806217474777345e-10j)
0.7000000000000001,(2.7945510125621107e-09-9.199225675242204e-10j),(-1.0085419146993238e-12+7.035071163044368e-14j),(4.995594073010307e-13-1.4622260534362694e-13j),(-3.174386171517168e-05-2.2078136990500284e-05j),(8.415784742246993e-13-8.096227145633771e-13j),(-2.27076802410279e-19-1.4697383658810667e-19j),(1.3952565986917802e-11-4.911377782283715e-12j),(7.9424071859582735e-25-2.0487932591748763e-26j),(3.1331611112938983e-19+2.345933916124408e-19j),(1.5057166328377747e-08+8.201797966012265e-08j),(2.7841791108922104e-09-8.504676293558191e-10j)
0.71,(1.8607487834687417e-09-1.0264186348952774e-09j),(-9.223214164531839e-13+6.35670057605378e-14j),(3.951984389351187e-13-1.823545990351251e-13j),(-3.975879344316664e-05-1.6657895359651736e-05j),(1.259964282866431e-12-8.439170066557306e-13j),(-7.144704795436092e-20-1.6118027524118303e-19j),(1.2085815579606928e-11-3.62030469205094e-12j),(-1.4766662616295077e-25+6.516506779156951e-25j),(4.987542558392652e-20+4.251084363934487e-19j),(3.616901833969982e-08+7.237140003800955e-08j),(1.86308524189664e-09-9.757710901468756e-10j)
0.72,(1.1512032784505506e-09-9.740613035366267e-10j),(-8.400259647372612e-13+5.485082574439587e-14j),(2.9967901008290113e-13-1.9899400212947393e-13j),(-4.737218509556867e-05-8.772454257823485e-06j),(1.8068838900724952e-12-8.034234913229501e-13j),(2.2650246722636507e-20-1.1156807499835643e-19j),(1.0341083555732556e-11-2.4476108158685052e-12j),(-5.753310119521516e-25-3.4731000639274273e-25j),(-3.194765869764862e-19+3.6812404667066184e-19j),(5.378390814185912e-08+5.7017416827315066e-08j),(1.1601727823785505e-09-9.392543755548519e-10j)
0.73,(6.41784261301018e-10-8.316177330010235e-10j),(-7.618359538028912e-13+4.464273348055365e-14j),(2.1556466828491494e-13-1.9941830775710834e-13j),(-5.3943717807964376e-05+1.7921964237434974e-06j),(2.5069638714775356e-12-6.42687690207303e-13j),(5.520571115419883e-20-4.767280169017781e-20j),(8.722617126855626e-12-1.4186571336865676e-12j),(6.482599965898968e-25-5.068957467869903e-25j),(-5.795799174131631e-19+4.641554708453881e-21j),(6.615433325238907e-08+3.706957337205415e-08j),(6.531320812990875e-10-8.093399461121821e-10j)
0.74,(3.003054961232002e-10-6.518888387397892e-10j),(-6.87885344906905e-13+3.338057085882829e-14j),(1.4454295816709656e-13-1.8729132095615717e-13j),(-5.8688703064469535e-05+1.5120671594315219e-05j),(3.3846302917113724e-12-2.988507497118057e-13j),(4.6460028825701404e-20-5.257753026532071e-22j),(7.232915649538936e-12-5.507799487078657e-13j),(3.525690988557067e-25+1.187497350685364e-24j),(-4.748677824544718e-19-5.428352293625352e-19j),(7.187648137675307e-08+1.4250407270835978e-08j),(3.113404630174996e-10-6.388929445318166e-10j)
0.75,(9.104903144270903e-11-4.719258689993685e-10j),(-6.182602664727464e-13+2.14907784847248e-14j),(8.735721056957701e-14-1.6640608533069757e-13j),(-6.068997787023976e-05+3.110970308413945e-05j),(4.461399892354858e-12+3.131742667562813e-13j),(2.1891788432524312e-20+1.9768107883581473e-20j),(5.873803625152121e-12+1.4659742605426868e-13j),(-2.2866890459377642e-24-1.4094551627887381e-25j),(1.3926730877787256e-19-9.30273000737169e-19j),(7.01257574352851e-08-9.212717887718445e-09j),(1.00326392918471e-10-4.6531966664211596e-10j)
0.76,(-2.1233051764987123e-11-3.1449025118700185e-10j),(-5.529996088803521e-13+9.37954480277953e-15j),(4.382375840998877e-14-1.4041504760415344e-13j),(-5.89284953115642e-05+4.940338372557421e-05j),(5.751775025230345e-12+1.306312367839915e-12j),(8.235723366484498e-22+1.8697900246891166e-20j),(4.647188960363291e-12+6.716202586993216e-13j),(1.7695460123882724e-24-4.832098838010938e-24j),(1.0950999151911848e-18-6.757259892745485e-19j),(6.086227244184698e-08-3.0790209820919064e-08j),(-1.424755888340546e-11-3.1190686503133366e-10j)
0.77,(-6.819557455691005e-11-1.9046781323580374e-10j),(-4.920974861162753e-13-2.5757097215067837e-15j),(1.2935815631562999e-14-1.1257931968008095e-13j),(-5.233774707054839e-05+6.932684227210003e-05j),(7.2573323051290835e-12+2.8276400342453447e-12j),(-8.51422358207405e-21+8.324543509237092e-21j),(3.55543239413439e-12+1.0295156108649068e-12j),(1.1724394574756207e-23+7.14764647368178e-24j),(1.7566286997252915e-18+5.68754646520529e-19j),(4.496270527298924e-08-4.794392117039991e-08j),(-6.344310271981983e-11-1.9012675612432432e-10j)
0.78,(-7.587049969269468e-11-1.0183994328143306e-10j),(-4.355073080030583e-13-1.403404934463128e-14j),(-6.957581804679276e-15-8.556796409855615e-14j),(-3.988648735932098e-05+8.982557530940145e-05j),(8.958553746143162e-12+5.065205475495415e-12j),(-7.574453868085218e-21-8.828792790601636e-22j),(2.601283096854233e-12+1.2320126287654829e-12j),(-2.4728879561629073e-23+3.4257423970724215e-23j),(1.0825422196499152e-18+2.556871272583639e-18j),(2.4235699241353025e-08-5.8484327002226834e-08j),(-7.296929106621115e-11-1.0252106833299083e-10j)
0.79,(-6.377355434825756e-11-4.477669332864418e-11j),(-3.831471012111057e-13-2.469754954452957e-14j),(-1.792099172383504e-14-6.133175588789671e-14j),(-2.069254139356365e-05+0.00010942039456928761j),(1.0803937161553675e-11+8.255006958248819e-12j),(-2.4301311519803843e-21-4.297255623473097e-21j),(1.7873743819602892e-12+1.296667194897724e-12j),(-1.2220275866663782e-22-7.789659225871655e-23j),(-1.870554169127333e-18+3.947693126456468e-18j),(1.288469698235224e-09-6.094254417810716e-08j),(-6.222493952712164e-11-4.573533393356862e-11j)
0.8,(-4.502333599406423e-11-1.2455340453095185e-11j),(-3.3492051314163724e-13-3.4248169608748815e-14j),(-2.2183372756637747e-14-4.106510063618053e-14j),(5.832200246936865e-06+0.00012619055579583843j),(1.2696001359706356e-11+1.2687472256104745e-11j),(1.4859750954388901e-21-2.88468480594254e-21j),(1.115273075409163e-12+1.2462135201272632e-12j),(1.9194856201013076e-22-5.001059672836218e-22j),(-6.84271851001245e-18+2.150395840233588e-18j),(-2.076646210368159e-08-5.489144312034433e-08j),(-4.434874416475743e-11-1.33079647720585e-11j)
0.81,(-2.721959382709248e-11+2.6892439446571667e-12j),(-2.9076257467467314e-13-4.227528016001457e-14j),(-2.190100281877555e-14-2.5253148251084342e-14j),(3.98088317012853e-05+0.00013779985257473534j),(1.447497839359612e-11+1.8711714446863944e-11j),(2.1726210655846793e-21-1.2067468279282754e-22j),(5.854932761409886e-13+1.1077583324823252e-12j),(2.068818191608852e-21+4.6211733822888057e-23j),(-1.0777309278609085e-17-5.826829799848926e-18j),(-3.874529131643027e-08-4.114271819494435e-08j),(-2.703442825776439e-11+2.08319190109281e-12j)
0.8200000000000001,(-1.3758812298933392e-11+7.434597501832276e-12j),(-2.504814225366583e-13-4.8896938548666764e-14j),(-1.8956922656972857e-14-1.3792487287846466e-14j),(8.070595532672611e-05+0.00014158122412099712j),(1.589986409762606e-11+2.6739080934951937e-11j),(7.677991301298616e-22+1.2835617932983652e-21j),(1.9530575039686103e-13+9.109473808219288e-13j),(3.606331697646622e-21+7.298996958871452e-21j),(-6.4643857993191975e-18-2.0703368304653454e-17j),(-4.991114899857406e-08-2.1753914528019815e-08j),(-1.3796405178245049e-11+7.0759403823018905e-12j)
0.8300000000000001,(-5.265197845557867e-12+6.966080733083438e-12j),(-2.138462258822175e-13-5.4185763855199746e-14j),(-1.485251154689476e-14-6.162011176248189e-15j),(0.0001271543157992837+0.00013469333193853034j),(1.662613549704241e-11+3.7243508439354095e-11j),(-5.918289436920351e-22+8.779278093391159e-22j),(-6.542687386088376e-14+6.867286954057146e-13j),(-1.5418911398365148e-20+2.8003699711432415e-20j),(1.6841373163504855e-17-3.587362615368002e-17j),(-5.248984451947902e-08+1.935513581438347e-10j),(-5.36756530585986e-12+6.7938269838508695e-12j)
0.84,(-8.754763288083426e-13+4.68135287118706e-12j),(-1.8062804048809604e-13-5.813897756607999e-14j),(-1.065328443788261e-14-1.5997764501042866e-15j),(0.0001767890302125633+0.00011435725147100162j),(1.6182227645457784e-11+5.075728502195589e-11j),(-7.605525768695333e-22-1.5114856817768904e-22j),(-2.1347091084855357e-13+4.634833985981858e-13j),(-1.203098310962355e-19+2.7085117635991196e-20j),(6.782586801640318e-17-3.060753457449708e-17j),(-4.6077452865090076e-08+2.1041738384230066e-08j),(-9.670864233451874e-13+4.622755721958308e-12j)
0.85,(7.862216752959305e-13+2.4140304425801663e-12j),(-1.5061890615660106e-13-6.072255408469238e-14j),(-7.001838720397425e-15+7.296863582739201e-16j),(0.00022615064893012887+7.817398893693591e-05j),(1.3946050201824407e-11+6.786127664420151e-11j),(-9.598425225102029e-23-5.821488228657602e-22j),(-2.7048929077147805e-13+2.6411586028745647e-13j),(-4.013255017318817e-19-2.3008821175928573e-19j),(1.385508999316971e-16+3.51502108264689e-17j),(-3.1835612094117454e-08+3.71758020905456e-08j),(7.286637444453521e-13+2.4101950617993174e-12j)
0.86,(9.995888831953306e-13+8.685160187945808e-13j),(-1.236428543333954e-13-6.190580705099087e-14j),(-4.184881263121114e-15+1.6022146731668707e-15j),(0.00027068024795926215+2.451181086476022e-05j),(9.123752130463719e-12+8.916841499169238e-11j),(4.1289504379148256e-22-2.2054483146073465e-22j),(-2.6087831950721467e-13+1.0432408840717996e-13j),(-6.531285018282674e-19-1.5412894311526411e-18j),(1.7735541312875404e-16+2.1622592429275337e-16j),(-1.2397777230527696e-08+4.571184145074802e-08j),(9.729831202454476e-13+8.822474728081217e-13j)
0.87,(6.710563539208998e-13+8.78475981384103e-14j),(-9.955913819472467e-14-6.16870015411667e-14j),(-2.231020774005406e-15+1.6494671430722185e-15j),(0.00030484380869560837-4.706216023930855e-05j),(7.336555917590571e-13+1.1529956454012485e-10j),(2.761735219665392e-22+2.730630667811515e-22j),(-2.0941463394007325e-13-8.050338762129782e-15j),(9.652629710112204e-19-5.736302539750612e-18j),(4.951351859354678e-17+5.526558493132228e-16j),(8.537345769480433e-09+4.511315967457901e-08j),(6.636599150287109e-13+1.0115972648457549e-13j)
0.88,(2.9750242829769746e-13-1.6389782100961393e-13j),(-7.825855902395932e-14-6.011054380852451e-14j),(-1.0146245042802771e-15+1.3246764466823412e-15j),(0.0003224152098712273-0.00013534762433630161j),(-1.2401102309556534e-11+1.4685138408567284e-10j),(-1.6183278076424467e-22+2.963292943012655e-22j),(-1.3894877008043118e-13-7.270313097786385e-14j),(1.1893702544955206e-17-1.5267261731039688e-17j),(-5.037426593262283e-16+9.912446396353051e-16j),(2.6878785908097392e-08+3.558749193724673e-08j),(2.9847530507926193e-13-1.5635252543875944e-13j)
0.89,(6.241400372058857e-14-1.5583021199920247e-13j),(-5.965424300021135e-14-5.727627392490716e-14j),(-3.457116374032865e-16+9.097418437549723e-16j),(0.0003169342450971392-0.0002371307697317275j),(-3.1647266468380767e-11+1.843565305252833e-10j),(-2.994884932879176e-22-7.142657149141899e-23j),(-6.838093845686185e-14-9.570350057575802e-14j),(5.4660400048510927e-17-2.829192566034242e-17j),(-1.8763835808097484e-15+1.2266832952032025e-15j),(3.896443929243151e-08+1.9146617162575172e-08j),(6.514028785188595e-14-1.5326511848209415e-13j)
0.9,(-2.901845290123856e-14-7.665781915508566e-14j),(-4.3668593356569445e-14-5.334141007331606e-14j),(-3.4206548913570307e-17+5.485935369575991e-16j),(0.0002823359229777576-0.00034692596479144627j),(-5.853948017667045e-11+2.2823750496950395e-10j),(-7.064889436753263e-24-2.9439817062885096e-22j),(-1.115490101099517e-14-8.764515549901096e-14j),(1.8602157090749481e-16-1.9112239735176813e-17j),(-4.5111997946178715e-15+4.289851851601189e-16j),(4.235812327913041e-08-7.252784760130619e-10j),(-2.7198287784810508e-14-7.66376273375473e-14j)
0.91,(-3.6502174575162205e-14-1.566298534234157e-14j),(-3.0218381274857836e-14-4.851579167454657e-14j),(7.413471986140586e-17+2.9083812924038227e-16j),(0.0002137209711594479-0.00045691161299655115j),(-9.473803373454747e-11+2.7875655439226775e-10j),(2.8356612478535704e-22-8.18129163572114e-23j),(2.5509926148739062e-14-6.133644227819387e-14j),(5.294351934864395e-16+1.2014692415492492e-16j),(-8.591050828705143e-15-3.1630480214173207e-15j),(3.643286392509923e-08-1.975835766843047e-08j),(-3.588568522283759e-14-1.6289204017745354e-14j)
0.92,(-1.7188207365222024e-14+8.589816538748017e-15j),(-1.9200026814256573e-14-4.3051250194142846e-14j),(8.577618361420486e-17+1.3292151616892834e-16j),(0.00010820759739384311-0.0005571260538932303j),(-1.4196381175140622e-10+3.359652066073411e-10j),(1.5972495812313527e-22+2.648820296240297e-22j),(4.048588139426905e-14-2.934162975750369e-14j),(1.3190814624543067e-15+7.286638738347715e-16j),(-1.329939712734571e-14-1.2761960151285205e-14j),(2.2581087960229405e-08-3.380930246764634e-08j),(-1.7227001322831673e-14+8.167948962500967e-15j)
