t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B01_A_0000
0.11,(-0.0001382735666246222-9.074380315251068e-06j),(4.539366324947079e-12+1.5510071767246568e-11j),(2.480768829335364e-12+3.408894008792218e-11j),(-2.171529841833978e-09+9.276905263919775e-10j),(-1.1543938034761817e-14-3.705889771867548e-15j),(-3.163258540887641e-11-3.920677745646861e-11j),(8.282009304938775e-11-6.351584035522947e-10j),(-1.2630176658505194e-10-5.653898144359576e-11j),(2.979139152125961e-13-3.425104316548948e-13j),(-2.521512265429592e-08-2.7485149098659862e-08j),(-0.00013778246131306552-9.140115362490696e-06j)
0.12,(-0.00011081767599912145+2.446949840814484e-05j),(8.01830514872464e-12+1.408811436454644e-11j),(1.1635969750508195e-11+3.3275898337681283e-11j),(-2.981978460845393e-09+2.2282229382395428e-09j),(-3.985012863759068e-15-7.075596326824235e-15j),(-2.0166198999724678e-11-2.9030872907669805e-11j),(9.175991331184448e-11-6.603710956787497e-10j),(-8.438970183506512e-11-3.032661610063227e-11j),(2.544854738261497e-13-2.3562011839255243e-13j),(-3.718311904620802e-08-1.4700588165735686e-08j),(-0.00011040301458237737+2.427720341450162e-05j)
0.13,(-8.145069483094652e-05+4.438375284089646e-05j),(1.0885350272151133e-11+1.1872634087022285e-11j),(2.0084003857324044e-11+2.972979643702523e-11j),(-3.6637635103126283e-09+4.4182706430207534e-09j),(1.4128128202834413e-15-5.345182847688359e-15j),(-1.2409538918994142e-11-2.1189360882118645e-11j),(9.948102225185844e-11-6.768017987116353e-10j),(-5.4971743684872334e-11-1.5653887403492984e-11j),(2.1059272656123618e-13-1.5410438756847396e-13j),(-4.250908906760562e-08+2.964697518025081e-09j),(-8.11410627104777e-05+4.410417824200731e-05j)
0.14,(-5.387501619548184e-05+5.3174601526805765e-05j),(1.2993302044129026e-11+9.125090498761373e-12j),(2.7010698811632058e-11+2.3930266898312213e-11j),(-3.823748410196521e-09+7.777937979388992e-09j),(3.3350217805096822e-15-1.907548333704053e-15j),(-7.312896410197731e-12-1.5256928854345642e-11j),(1.0565759510982264e-10-6.847242505608616e-10j),(-3.503913121103024e-11-7.776494700054153e-12j),(1.691549065096527e-13-9.441123073764928e-14j),(-3.9459888233936366e-08+2.2036336810370513e-08j),(-5.368184188773713e-05+5.285056196633689e-05j)
0.15,(-3.0345210752727646e-05+5.3726052154465825e-05j),(1.4293080681309938e-11+6.109416228219843e-12j),(3.186715853662848e-11+1.6568409079493605e-11j),(-2.8374907109848528e-09+1.251236189606515e-08j),(2.6196284046846132e-15+7.867220407530661e-16j),(-4.065087563434927e-12-1.0843191801373313e-11j),(1.100461526964237e-10-6.846405198498359e-10j),(-2.1922650572195802e-11-3.720807693784465e-12j),(1.3203268600345509e-13-5.2533635946065e-14j),(-2.808365486529422e-08+3.861021534145349e-08j),(-3.026454834757231e-05+5.3397381929002954e-05j)
0.16,(-1.1894347429952602e-05+4.883308768043394e-05j),(1.4816662979550958e-11+3.0625033534170333e-12j),(3.4401239436984664e-11+8.421499838240755e-12j),(1.7391271203031124e-10+1.8634941345769264e-08j),(8.75376828448353e-16+1.7997258779267277e-15j),(-2.065383916472933e-12-7.609614777958324e-12j),(1.1249749202997447e-10-6.772266226254407e-10j),(-1.3500084675117514e-11-1.7205964307486162e-12j),(1.0018337654625271e-13-2.454997692758009e-14j),(-1.017339848873834e-08+4.9220982165104154e-08j),(-1.1910603066639505e-05+4.853203655693733e-05j)
0.17,(1.3626956070207304e-06+4.090531411772959e-05j),(1.4652152030647685e-11+1.7375415793929418e-13j),(3.463415680231663e-11+2.403937246820804e-13j),(6.321094353910089e-09+2.5819816318114324e-08j),(-5.666397149975561e-16+1.3986017223920089e-15j),(-8.842936217960493e-13-5.274368269046967e-12j),(1.1295562654466117e-10-6.634338994334298e-10j),(-8.201447118801182e-12-7.778563237890484e-13j),(7.387163717623016e-14-6.950079175132549e-15j),(1.1158752078868946e-08+5.1562649522772596e-08j),(1.2721879710315826e-06+4.065411304242708e-05j)
0.18,(9.916704507898188e-06+3.182275214123429e-05j),(1.3922353757427756e-11-2.4195483609591334e-12j),(3.280810821114553e-11-7.33409258066798e-12j),(1.6847523713953215e-08+3.324305803962181e-08j),(-1.107468221944084e-15+3.929497978967218e-16j),(-2.2429663914202262e-13-3.6106528761022357e-12j),(1.1146314000186875e-10-6.441676931855399e-10j),(-4.925693487519888e-12-3.536081747643839e-13j),(5.286426538561277e-14+3.2275411101143373e-15j),(3.215891165381658e-08+4.490563722647494e-08j),(9.777248406710606e-06+3.163325384486189e-05j)
0.19,(1.4588064947610946e-05+2.2909636587240312e-05j),(1.2764732143961778e-11-4.631231487693849e-12j),(2.9318603116930565e-11-1.3821134250021036e-11j),(3.295438734059627e-08+3.9441203430000713e-08j),(-8.2751917331530415e-16-4.595722912716676e-16j),(1.1492414508761572e-13-2.440697814234795e-12j),(1.0814764517331919e-10-6.203004440282036e-10j),(-2.9298948045359068e-12-1.7071031551551455e-13j),(3.662137724227329e-14+8.349391790298793e-15j),(4.9186263207380085e-08+3.015686801760802e-08j),(1.4423918023019845e-05+2.278445109529025e-05j)
0.2,(1.6311011764608134e-05+1.4986799695009452e-05j),(1.1314747576737356e-11-6.420940717334466e-12j),(2.46402247144677e-11-1.8919215613655454e-11j),(5.554516744275795e-08+4.222377152805224e-08j),(-1.7015842927681448e-16-7.708705203882808e-16j),(2.6447016298471307e-13-1.628262957744573e-12j),(1.0320435372273141e-10-5.927298068432449e-10j),(-1.728567399729599e-12-9.391891407848987e-14j),(2.4450291496196672e-14+1.021707352011074e-14j),(5.937376428418591e-08+9.590207886260683e-09j),(1.614281198964539e-05+1.4921371266816786e-05j)
