t,S_00,S_01,S_02
0.0,0.24999999999999922,0.24999999999999925,0.4999999999999984
0.01,0.24247080399193877,0.26518310702771786,0.492470625451834
0.02,0.23481705797882949,0.2805625924961879,0.48467860747272995
0.03,0.22710061405132062,0.2961742591015457,0.476755614719823
0.04,0.2194076387873948,0.31201945228400535,0.46885893681599755
0.05,0.21161964882829107,0.32784625166179937,0.46065176814964937
0.06,0.20384968171278373,0.3437743674227867,0.45240131429291724
0.07,0.196192382918175,0.35981276595816536,0.44428501281177835
0.08,0.1885350740858937,0.37567577035638544,0.43596014303444414
0.09,0.18094629826408817,0.3914641829361645,0.42760601423719374
0.1,0.17353795647030845,0.4072484762300585,0.41946363404370923
0.11,0.1662277551665383,0.42274380446321835,0.41124629389305345
0.12,0.15902982360521575,0.43798447423436465,0.4030022157937486
0.13,0.15206064845020423,0.4531075897780368,0.3950155766959995
0.14,0.14527158305334759,0.4678828038867651,0.38708930052385915
0.15,0.13863809104767344,0.4822430951491343,0.37915110281106734
0.16,0.13225788694903443,0.4963745908816067,0.371476541336128
0.17,0.12611470518323978,0.5101464219541958,0.36397788413684734
0.18,0.120170333406267,0.523394860005188,0.356511512812364
0.19,0.11447900484834968,0.5362962377654749,0.3492686497638302
0.2,0.1090550133983883,0.5488553484673663,0.34228402995518253
0.21,0.10386571679061461,0.5608690025302147,0.33540800981784213
0.22,0.09891551377565701,0.5724069383509722,0.3286877904032951
0.23,0.09423710364453669,0.5836128596870465,0.32225780319831177
0.24,0.08981103705204074,0.5943477926426463,0.3160256692076195
0.25,0.08561399463127774,0.6045211708237923,0.3099125511358987
0.26,0.08166611885832468,0.6143092041360185,0.30404296112840423
0.27,0.07796487132806672,0.6237400558314374,0.29843135883631133
0.28,0.07449096825998333,0.6326704828035717,0.29298718558507164
0.29,0.07122860283550073,0.6410957169383048,0.2876829545773672
0.3,0.0681898442817168,0.649201861629994,0.2826287078989602
0.31,0.06536206376554056,0.6569725906764614,0.2777999580338499
0.32,0.06272861078134007,0.6642875976328992,0.27312350383075784
0.33,0.06027466094819658,0.6711530305070544,0.2685756527258449
0.34,0.058003917994877044,0.6777517289410303,0.2642433581431521
0.35000000000000003,0.05590456386251292,0.6840948552831143,0.2601122615027244
0.36,0.053963005774730385,0.6900753557596998,0.2561236459261198
