N,E [H]
1,-14.637270521163035
2,-14.645532351827896
3,-14.653194972526899
4,-14.653555272413335
5,-14.65371779795862
6,-14.653755801433045
7,-14.653764534526733
8,-14.653768591477986
9,-14.653782643745815
10,-14.653785798323671
11,-14.65378668052587
12,-14.653790103801743
13,-14.653790880821507
14,-14.653791849050535
15,-14.653792007541375
16,-14.653792403075753
17,-14.653792705164241
18,-14.653795052426801
19,-14.653798097434912
20,-14.653805346411703
21,-14.6538093662131
