N,E [H]
1,-14.631766025983133
2,-14.644702076717657
3,-14.648589335865235
4,-14.652168412217003
5,-14.65322646490122
6,-14.654210097155621
7,-14.654669987593913
8,-14.65596869997049
9,-14.656487016384872
10,-14.656790463007148
11,-14.65721690127119
12,-14.65798117183886
13,-14.65837509440584
14,-14.658481761040065
15,-14.658758569318907
16,-14.658979552266164
17,-14.65917893045325
18,-14.659215174975808
19,-14.659315564295596
20,-14.659494942514751
21,-14.659584996487547
22,-14.659589388297249
23,-14.659633306159819
24,-14.659680728161526
25,-14.659724863876788
26,-14.659784735120825
27,-14.659791620949207
28,-14.659811079285024
29,-14.659835864598168
30,-14.65990285802721
31,-14.65991038975916
32,-14.659953987563178
33,-14.65997467736166
34,-14.659995807311786
35,-14.660015768266817
36,-14.660023559138878
37,-14.660037794968947
38,-14.660040918651587
39,-14.66004284078629
40,-14.660060556369526
41,-14.66008299672164
42,-14.66008755425253
43,-14.660094934086585
44,-14.660104088376492
45,-14.660111604816484
46,-14.660116453893611
47,-14.660119689514936
48,-14.660121409751982
49,-14.660129005882904
50,-14.660131787573388
51,-14.660138378671475
