t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B01_z_0000_00
0.12,(-0.1329550414374498+0.28888811591128377j),(0.8616686745059061-0.4236171360887538j),(-0.6632333093090843+1.7049849809400535j),(-0.022095194107182886+0.2697458338152204j),(-0.5150502852007905-1.2404443193270167j),(0.21185997142029-0.028745236409991007j),(0.2105926130861694+0.04268792563605672j),(1.3415134560145932-0.7524807514589265j),(0.9104617481139966+0.14366399980146452j),(-0.907305998804977-0.3516488808611042j),(-0.311269649157456+2.6663500104922004j),(-0.1329550414374498+0.28888811591128377j)
0.13,(-0.15829294626820997+0.29265492187403325j),(0.8570405828198762-0.4050021754179425j),(-0.6274935772194385+1.7845437138603661j),(-0.04642996790079051+0.28274514526152256j),(-0.5142462000012886-1.1998115458706065j),(0.21288013921694304+0.004995854294457498j),(0.20549965369384157+0.07605458162879705j),(1.291504377696676-0.7887134115419823j),(0.911962854589641+0.16208389165308779j),(-0.8931688237703288-0.35857243434024294j),(-0.1696021300332292+2.8056759211573907j),(-0.15829294626820997+0.29265492187403325j)
0.14,(-0.18368217901866576+0.2944711507254791j),(0.8531235497648741-0.38559724428392156j),(-0.584111043667076+1.868874033253753j),(-0.07163158453736776+0.2937406299678614j),(-0.5107343618528617-1.161798589731101j),(0.21100344700870305+0.038699812031692225j),(0.1975864480884097+0.10886042023526363j),(1.2415401279871405-0.8193445485582572j),(0.9137307876291516+0.18015170020928126j),(-0.8785442325735978-0.36573840910588423j),(-0.0026394326756219973+2.948532934868771j),(-0.18368217901866576+0.2944711507254791j)
0.15,(-0.20895400137926004+0.2943745191657788j),(0.8498530382699748-0.3654517875290802j),(-0.531990231993629+1.9580015963168935j),(-0.09750349279405018+0.30270650844417857j),(-0.5047632288043249-1.1262534406182905j),(0.20624945266286365+0.07211670272553569j),(0.1869341265223392+0.14087037543854147j),(1.1921905072733359-0.844598451006927j),(0.9157910471877755+0.1978256294815264j),(-0.8634086958823973-0.37312680863206j),(0.19379710890992358+3.0927388036037518j),(-0.20895400137926004+0.2943745191657788j)
0.16,(-0.23394841983801096+0.29241460349793064j),(0.8471643548006141-0.34461329916666505j),(-0.46986630118236133+2.0518658559116854j),(-0.12385286543514391+0.30963533625396067j),(-0.4965498247585854-1.093021689387593j),(0.19866744322177918+0.10500137717243868j),(0.17365030602475887+0.17186229134094624j),(1.1439531293587761-0.864751680891797j),(0.9181708543878229+0.21506373035627252j),(-0.8477385260789664-0.38071569042539316j),(0.424451244978511+3.235024610931727j),(-0.23394841983801096+0.29241460349793064j)
0.17,(-0.258514853209105+0.28865128672221885j),(0.8449933530132706-0.32312777186357183j),(-0.396280547560385+2.1502861448774078j),(-0.1504924601514007+0.31453656282863157j),(-0.48628376157159303-1.0619476928993712j),(0.18833526630741174+0.13711747279636557j),(0.1578666396560787+0.20163016664340333j),(1.0972519646711412-0.8801176466308631j),(0.9208988023418172+0.23182381524260623j),(-0.8315099739198157-0.388480975416888j),(0.6945640973689489+3.370616400426429j),(-0.258514853209105+0.28865128672221885j)
0.18,(-0.2825125650412627+0.28315325670214064j),(0.8432770968377734-0.301040116514679j),(-0.30955421857810295+2.2529161202362085j),(-0.17724216588408173+0.3174349492072951j),(-0.4741308353261745-1.0328753753289206j),(0.17535751186593895+0.16824112190518042j),(0.13973590811232853+0.22998688824903912j),(1.0524385876650064-0.8910326873119981j),(0.924004477137532+0.2480633598531748j),(-0.814699345012203-0.3963962502680759j),(1.009666367515664+3.492692004363131j),(-0.2825125650412627+0.28315325670214064j)
0.19,(-0.30581088811998414+0.2759965843611621j),(0.841954485524027-0.27839454397864255j),(-0.20776205722221575+2.359182759478092j),(-0.2039302373386671+0.31836890476349683j),(-0.46023625455297695-1.0056487505285514j),(0.1598631229391926+0.19816425128206241j),(0.11942877059026291+0.2567663905728168j),(1.0097954892465286-0.8978439751650807j),(0.9275180500149888+0.2637393944684749j),(-0.79728313664693-0.40443256438672104j),(1.3751276354137754+3.591713626052189j),(-0.30581088811998414+0.2759965843611621j)
0.2,(-0.3282892700404723+0.2672634038082537j),(0.8409668422513725-0.255234902698794j),(-0.08870830170925048+2.4682050326798635j),(-0.2303942304513525+0.31738879697573097j),(-0.4447275516593965-0.9801122321592332j),(0.1420025357420232+0.22669738031347209j),(0.09713029868760449+0.28182520568594943j),(0.9695408521714807-0.9008993661948657j),(0.931469841725307+0.2788083878669534j),(-0.7792381985540894-0.4125582223588106j),(1.7953124194144052+3.6546855120169552j),(-0.3282892700404723+0.2672634038082537j)
0.21,(-0.34983716928670633+0.25704070974657045j),(0.8402584669553502-0.23160496756125962j),(0.05009000959433524+2.5786862011932854j),(-0.2564816594204981+0.3145552809776672j),(-0.4277172237418269-0.956110787681016j),(0.12194446456172928+0.2536718508886027j),(0.07303641706567814+0.3050433972875227j),(0.9318342568026802-0.9005391912769001j),(0.9358898600838907+0.2932261279267846j),(-0.7605419200809757-0.4207385734397441j),(2.2721500790242835+3.664488330668128j),(-0.34983716928670633+0.25704070974657045j)
0.22,(-0.37035383057065807+0.24541928159851284j),(0.8397771531258543-0.20754867693093398j),(0.21140421283135474+2.688772626318348j),(-0.28205040147688437+0.30993768769383917j),(-0.40930514385609196-0.9334899815877172j),(0.09987245492476697+0.2789414507412344j),(0.04735036811411481+0.32632489757398003j),(0.8967828707985859-0.897089881405893j),(0.9408073117421049+0.3069476037851792j),(-0.7411724460269833-0.428935800477678j),(2.8029298307844117+3.599623591712424j),(-0.37035383057065807+0.24541928159851284j)
0.23,(-0.3897479666040688+0.23249273875171575j),(0.8394746675199183-0.18311031635312475j),(0.3982662883535513+2.7958714937196096j),(-0.3069688791182658+0.3036125014055679j),(-0.3895807780736566-0.9120959452354661j),(0.07598132903199387+0.3023834200931807j),(0.020279305606496413+0.3455972885265932j),(0.8644477671565715-0.8908592571651754j),(0.9462500893426268+0.3199268952497864j),(-0.7211089248940173-0.43710871041848004j),(3.3772712645401706+3.4349663438228646j),(-0.3897479666040688+0.23249273875171575j)
0.24,(-0.4079373714342111+0.2183567271194733j),(0.8393071911092537-0.15833464888948567j),(0.6138912015437624+2.8964209578436635j),(-0.331116051397755+0.29566194985890837j),(-0.36862523869584884-0.8917753058634461j),(0.050473641788737277+0.32389885764625703j),(-0.007968893501888893+0.3628110868370756j),(0.8348501020810858-0.8821332778447999j),(0.9522442354300652+0.33211707597472684j),(-0.7003317920291218-0.44521252981997966j),(3.9736356960620594+3.14439047236914j),(-0.4079373714342111+0.2183567271194733j)
0.25,(-0.42484848798907127+0.20310823374519854j),(0.83923571886664-0.13326699352367705j),(0.8615176100443893+2.985610729906384j),(-0.35438124609865074+0.2861727228591584j),(-0.34651319911054795-0.8723751026588298j),(0.0235562541930317+0.34341256504099654j),(-0.03718852854293744+0.3779386045870219j),(0.8079769621496993-0.8711740333588527j),(0.9588133848251972+0.3434701376803011j),(-0.6788230906356671-0.4531987092446486j),(4.556550815875885+2.706124035740823j),(-0.42484848798907127+0.20310823374519854j)
0.26,(-0.44041594979668347+0.18684502361803756j),(0.8392264158477721-0.10795325443601185j),(1.1441215797477053+3.057062246013805j),(-0.3766638637019155+0.2752348290596851j),(-0.323314692186149-0.8537427147123594j),(-0.004562884854427168+0.360872387177657j),(-0.06717863501883149+0.39097246521016876j),(0.783786756565611-0.8582187658962245j),(0.9659781876573751+0.3539369433954674j),(-0.6565668337704127-0.46101474106144763j),(5.076781750856854+2.1108629843854434j),(-0.44041594979668347+0.18684502361803756j)
0.27,(-0.4545821142535485+0.16966519088042847j),(0.8392509266298004-0.08243990513514728j),(1.4639432658124163+3.1025001681898927j),(-0.39787298234044066+0.26294059516734086j),(-0.29909681263058396-0.8357258259431571j),(-0.03367767534099931+0.3762481191946849j),(-0.09774517305259228+0.40192385701626404j),(0.7622140841689609-0.8434797226113055j),(0.9737557159074341+0.363467218311325j),(-0.6335494100118425-0.4686039961754411j),(5.476990358749871+1.3707252204512756j),(-0.4545821142535485+0.16966519088042847j)
