t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B01_z_0000_00
0.5,(-0.35060199974031636-0.2566419961162379j),(0.8707080727229195+0.45162006259743115j),(0.46394787110719893-2.8289466464644772j),(-0.4859916677617065-0.18346327986548797j),(0.3265919159080736-0.28099525949822485j),(-0.6420142788772365+0.27126170937160726j),(-0.674139265668852+0.23520262810238696j),(0.7042280472139681-0.2374379148918881j),(1.2652331853570753+0.21739626674258103j),(0.053521902568717715-0.39677047759155526j),(-0.7400560123463827-2.0752582581688923j),(-0.35060199974031636-0.2566419961162379j)
0.51,(-0.32908989883640544-0.26691717193973646j),(0.8774777661613831+0.46793137720943967j),(0.2682410977140243-2.7235014521361256j),(-0.4712854306034829-0.2011700049909515j),(0.3429617657437381-0.2425784588490105j),(-0.6578087276174807+0.2544807453381845j),(-0.6875301964861217+0.2175484442583278j),(0.7076428417795801-0.20365620590760453j),(1.2754610949513479+0.1933621809396498j),(0.0820826757426799-0.37462427864197634j),(-0.7917710026760628-1.971222692494306j),(-0.32908989883640544-0.26691717193973646j)
0.52,(-0.30664348104217076-0.27570607564487076j),(0.8851774795609251+0.4832512920261486j),(0.09909620520867976-2.614047253084395j),(-0.45517614838291354-0.2179963725338996j),(0.3570411343124587-0.20311044055933974j),(-0.6724691272921325+0.2372609123902861j),(-0.6997862437621641+0.19955205449737193j),(0.710645472492725-0.1695315725021483j),(1.2845857249348815+0.168210581931566j),(0.109263506143991-0.35052053426007374j),(-0.8345236180424845-1.8734740510861472j),(-0.30664348104217076-0.27570607564487076j)
0.53,(-0.283372927367704-0.2829215568113493j),(0.8938606145616098+0.49751534832009886j),(-0.046588904375902546-2.503459409324217j),(-0.43771367630164043-0.23384872904650014j),(0.36869818361484546-0.16273776750427024j),(-0.685994264846075+0.21964971669912967j),(-0.7109088538409657+0.18125406872111044j),(0.71317386062083-0.13511599766420432j),(1.2925068207738943+0.14207021619394716j),(0.13485832681304355-0.3245124807714218j),(-0.869530070857685-1.7817946342494608j),(-0.283372927367704-0.2829215568113493j)
0.54,(-0.2593984234924748-0.28848128422434444j),(0.9035755409351572+0.5106546228574425j),(-0.171673828613061-2.3938059895514248j),(-0.4189548938195658-0.24863273991833887j),(0.37782124312685417-0.12162394970024742j),(-0.6983843771201176+0.20169128598358543j),(-0.7209002264197174+0.1626922075463508j),(0.7151766664364358-0.1004648790444279j),(1.2991353505694383+0.1150825223888216j),(0.15866289978804746-0.2966773149174401j),(-0.8978280787770877-1.6959328450394355j),(-0.2593984234924748-0.28848128422434444j)
0.55,(-0.23485026856980837-0.29230894399368224j),(0.9143645233352998+0.5225954145320149j),(-0.2787346935699113-2.286544683161341j),(-0.39896425034678296-0.2622537350230629j),(0.38432131408692916-0.07994665334499997j),(-0.7096408000855123+0.1834265908343256j),(-0.7297630446681903+0.14390155578851752j),(0.7166137715220624-0.0656364694870793j),(1.3043953854362478+0.087400155673197j),(0.1804782405061744-0.26711669101585245j),(-0.9203045855059098-1.6156186504911358j),(-0.23485026856980837-0.29230894399368224j)
0.56,(-0.20986883559898134-0.29433555538057277j),(0.9262625797396229+0.5332590246106296j),(-0.37005784588681967-2.182676315508137j),(-0.3778143176215578-0.2746171674230247j),(0.38813412155469507-0.03789447041468011j),(-0.7197656575352318+0.1648936834073098j),(-0.7375002399637031+0.12491482580024117j),(0.71745666647789-0.03069122298053121j),(1.3082257502297703+0.05918520055564782j),(0.20011422568479384-0.23595666537654378j),(-0.93771895519739-1.5405743194194448j),(-0.20986883559898134-0.29433555538057277j)
0.5700000000000001,(-0.18460435395167976-0.2945008892464903j),(0.9392962729201415+0.5425616559728993j),(-0.447652681138493-2.0828624466435333j),(-0.35558633370482096-0.2856291949935706j),(0.38922162689920964+0.004336660295666946j),(-0.728761586947861+0.14612794954915478j),(-0.7441147890414025+0.10576262811829024j),(0.7176887321582819+0.004308931934939226j),(1.3105813844444034+0.030607113155156167j),(0.2173932814332828-0.2033470345812282j),(-0.950722351765342-1.4705217990481299j),(-0.18460435395167976-0.2945008892464903j)
0.58,(-0.15921648501990057-0.2927549674405272j),(0.953482439703137+0.5504144586444788j),(-0.5132739662483955-1.987514421097858j),(-0.33237072064270334-0.2951973934834594j),(0.38757293488077305+0.04654727120283871j),(-0.7366315002359994+0.1271623711197115j),(-0.7496095415018296+0.08647374740159053j),(0.7173054058594126+0.039301367231681705j),(1.3114343620135631+0.0018404465097623252j),(0.23215403392262268-0.16946003574214324j),(-0.959873932669589-1.4051876984124352j),(-0.15921648501990057-0.2927549674405272j)
0.59,(-0.13387366367368858-0.28905961443293304j),(0.9688268671591257+0.5567237504629938j),(-0.5684478881331725-1.896860286886463j),(-0.3082675549786256-0.3032316076962707j),(0.3832045550812906+0.08853830012302112j),(-0.7433783771657495+0.10802779589685851j),(-0.753987075805601+0.06707542209600685j),(0.7163142272236908+0.07422355351813353j),(1.3107745306510645-0.026937576827617007j),(0.24425479450504775-0.1344884029715175j),(-0.9656543972872093-1.3443065673060943j),(-0.13387366367368858-0.28905961443293304j)
0.6,(-0.10875218159117417-0.28339002518665996j),(0.9853229302552082+0.561391442664149j),(-0.614498530271777-1.8109948302569179j),(-0.28338696728339297-0.3096449447151403j),(0.3761600060395679+0.1301150109426056j),(-0.7490050893698866+0.08875321298746318j),(-0.7572495821072618+0.04759362664211962j),(0.714734762462917+0.10901385473082216j),(1.3086097456584866-0.05554957304632422j),(0.25357674823878534-0.09864280304231356j),(-0.9684773444850828-1.2876229617973227j),(-0.10875218159117417-0.28339002518665996j)
0.61,(-0.08403499374400086-0.27573630602929333j),(1.0029502119149127+0.5643157002638256j),(-0.6525730097579433-1.7299168583259756j),(-0.2578494441270739-0.3143549096412944j),(0.366508779730002+0.17109077231665193j),(-0.7535142530604222+0.0693660321302607j),(-0.7593987705280005+0.028053355354794366j),(0.7125984091776867+0.14361229378380588j),(1.3049656889530343-0.0838205102381695j),(0.26002671837514363-0.062148703670752585j),(-0.9686988175322839-1.2348926470742485j),(-0.08403499374400086-0.27573630602929333j)
0.62,(-0.05991023644800992-0.26610493870758406j),(1.0216731338127634+0.5653918660236779j),(-0.6836644304223904-1.6535569100061671j),(-0.231786003463866-0.31728467987306036j),(0.35434471213910257+0.21129057352037525j),(-0.7569081087649583+0.04989236566524204j),(-0.760435803732924+0.00847890735209934j),(0.7099480880509884+0.17796126326316442j),(1.2998852804756293-0.1115801502616054j),(0.2635393913233233-0.02524275701463103j),(-0.9666253486209982-1.1858831886883248j),(-0.05991023644800992-0.26610493870758406j)
0.63,(-0.036569454526580544-0.2545201122981093j),(1.0414396344447046+0.5645136741649587j),(-0.7086323464068496-1.581797807711107j),(-0.20533821256475218-0.3183645085325336j),(0.3397838307280169+0.2505541712498321j),(-0.7591884266562346+0.030357312264610053j),(-0.760361252957468-0.011105827900248725j),(0.7068378305857512+0.2120061583490993j),(1.293427705098332-0.13866534672125913j),(0.2640789057955597+0.011831192783185255j),(-0.9625207598314041-1.1403741122362365j),(-0.036569454526580544-0.2545201122981093j)
0.64,(-0.0142055461149957-0.2410248638319103j),(1.0621799398145921+0.5615747754551815j),(-0.7282207315262736-1.5144898631937365j),(-0.17865801667657324-0.31753324146528505j),(0.3229617695719127+0.28873878130198166j),(-0.7603564363084439+0.010785241776475576j),(-0.7591750769150103-0.030677084731234802j),(0.7033322755958685+0.24569590971000446j),(1.285667092682792-0.1649221336718668j),(0.26163973558527764+0.048826347900176516j),(-0.9566119314085274-1.0981567607778386j),(-0.0142055461149957-0.2410248638319103j)
0.65,(0.00698955382285037-0.2256819669451051j),(1.0838054810816813+0.5564705884531809j),(-0.7430736065457301-1.4514620930691622j),(-0.15190734681335252-0.31473992506532916j),(0.3040308575824222+0.32572125239057365j),(-0.7604127799915215-0.008799919272122163j),(-0.7568766233104302-0.05021093531942455j),(0.6995060886803932+0.27898339862516575j),(1.2766909011936762-0.1902075499053523j),(0.25624682625703366+0.08549729725998118j),(-0.9490937104594309-1.0590339429337794j),(0.00698955382285037-0.2256819669451051j)
0.66,(0.02682741669748282-0.2085745091621711j),(1.106208022191857+0.5491004822175367j),(-0.7537485480008594-1.392530454355083j),(-0.12525747678124927-0.3099454745239533j),(0.28315699283377704+0.3613996852671348j),(-0.7593574889012435-0.02837440182801486j),(-0.7534646529794303-0.06968300386308764j),(0.6954433211569391+0.3118257379153899j),(1.266598062088552-0.21439115623913307j),(0.24795497951646817+0.12160430887306743j),(-0.9401331023449163-1.0228194384865905j),(0.02682741669748282-0.2085745091621711j)
0.67,(0.0451258416792676-0.18980610294962605j),(1.1292590681692545+0.5393702834086633j),(-0.7607283248250157-1.3375038521869544j),(-0.09888810300496156-0.30312436412724436j),(0.2605164173202455+0.3956944860065107j),(-0.7571899820152225-0.04791430835273763j),(-0.748937386968332-0.08906818109844661j),(0.6912367249294512+0.34418440739500483j),(1.25549695318132-0.23735621721778408j),(0.23684751311519425+0.15691742720521176j),(-0.9298728619489697-0.9893374094906213j),(0.0451258416792676-0.18980610294962605j)
0.68,(0.061711693252973064-0.16950068371626723j),(1.1528096305159525+0.5271950853458037j),(-0.7644309049806662-1.2861884797380032j),(-0.0729861262570369-0.29426629323941667j),(0.23629250199181778+0.42854886644717727j),(-0.7539090875598277-0.06739532695431108j),(-0.7432925771612152-0.10834033948277866j),(0.6869870402740244+0.3760252340127638j),(1.2435032666702768-0.2590005331450779j),(0.22303425609197025+0.19122023954910775j),(-0.9184345816280066-0.9584217513045561j),(0.061711693252973064-0.16950068371626723j)
0.6900000000000001,(0.07642378089108698-0.14780185952717798j),(1.176690429058304+0.5125023183405306j),(-0.7652180567726601-1.2383909077727513j),(-0.04774412202099603-0.28337777431473227j),(0.21067264179041315+0.45992882611320857j),(-0.749513087368117-0.08679244583679248j),(-0.7365276013478189-0.12747204949812332j),(0.6828022718746393+0.4073182120911049j),(1.2307378391535397-0.27923692248900733j),(0.206648967095055+0.22431319418690784j),(-0.9059213560954117-0.9299154081242605j),(0.07642378089108698-0.14780185952717798j)
0.7000000000000001,(0.08911569719658206-0.12487179213958736j),(1.200712608504383+0.4952350199397622j),(-0.7634027462721064-1.193920235522559j),(-0.0233584960682042-0.27048358314016135j),(0.18384534673502242+0.48982266719518147j),(-0.7439997847015044-0.10607966837188748j),(-0.7286395839030458-0.14643429772784128j),(0.6787969674588415+0.43803715995391157j),(1.2173245065690614-0.29799336766388146j),(0.18784628504236872+0.2560163778502858j),(-0.8924200910588578-0.9036696704676005j),(0.08911569719658206-0.12487179213958736j)
0.71,(0.09965852458371888-0.10088960657230518j),(1.2246690418492934+0.47535522136065944j),(-0.7592555076551695-1.1525895361469682j),(-2.7333786678956397e-05-0.2556280071634804j),(0.15599759882345599+0.5182401069130601j),(-0.7373665963952676-0.12522972922936274j),(-0.7196255435127995-0.16519620761536108j),(0.6750915098656939+0.46815921394225896j),(1.2033880406128667-0.31521284836579544j),(0.16679833626178883+0.28617168814166766j),(-0.8780035115037832-0.8795434669012945j),(0.09965852458371888-0.10088960657230518j)
0.72,(0.10794331845746181-0.07604934589490149j),(1.2483362806093454+0.4528473435854252j),(-0.7530099395840044-1.1142167718176514j),(0.022052034553853336-0.2388758259340958j),(0.12731252681958538+0.5452110596262566j),(-0.7296106704667155-0.14421381219260446j),(-0.7094825696255525-0.18372476413589892j),(0.6718114316333368+0.49766416142678643j),(1.189052214938024-0.33085289558728753j),(0.14369112863437353+0.31464436711123506j),(-0.8627319166234084-0.8574026585705167j),(0.10794331845746181-0.07604934589490149j)
0.73,(0.11388327755215939-0.05055750813819733j),(1.2714771929717676+0.4277214749259865j),(-0.7448674591496137-1.0786253101614334j),(0.04268571560409077-0.22031295895567748j),(0.09796743334384911+0.5707841645381597j),(-0.7207290305905825-0.16300127053547547j),(-0.6982080295272189-0.20198454400193294j),(0.6690867558488167+0.526533616878965j),(1.1744380399953864-0.3448849059322371j),(0.1187208627646639+0.3413238914633536j),(-0.8466547211320827-0.837119342405749j),(0.11388327755215939-0.05055750813819733j)
0.74,(0.11741551973671072-0.0246302219023378j),(1.2938443050376338+0.4000163833644318j),(-0.7350014257897962-1.0456441415379745j),(0.06168612949938671-0.20004672110520075j),(0.06813219217810727+0.595025134400528j),(-0.7107187490934852-0.18155935115032293j),(-0.6857998081193324-0.21993745348619406j),(0.667051364594203+0.5547500472356752j),(1.1596621954093778-0.35729325985323596j),(0.09209028232265613+0.3661242424059321j),(-0.8298118170706495-0.818571167244895j),(0.11741551973671072-0.0246302219023378j)
0.75,(0.11850239405582347+0.0015098649301349392j),(1.3151838277427341+0.3698021038884924j),(-0.723560731037537-1.015107872546194j),(0.0788750140128586-0.17820563451594712j),(0.03796801889897179+0.6180149967101557j),(-0.6995771503409987-0.19985292399873072j),(-0.6722565826159661-0.23754247648599183j),(0.6658423906815212+0.5822956518704248j),(1.1448356788897713-0.36807428906658235j),(0.06400517240443948+0.38898360120059416j),(-0.8122347842709322-0.8016406646868532j),(0.11850239405582347+0.0015098649301349392j)
0.76,(0.11713227653174343+0.027636894308433704j),(1.3352403138483857+0.3371819357136887j),(-0.7106729357950324-0.9868565531492155j),(0.09408647597918147-0.15493875848056407j),(0.007626605527554828+0.639848292497134j),(-0.6873020465780983-0.2178442189108164j),(-0.6575781344474497-0.25475543607434165j),(0.6655996239262754+0.6091511052382004j),(1.1300626813673602-0.37723513792004654j),(0.03467109752921149+0.409863534972529j),(-0.7939479749972733-0.786214597282085j),(0.11713227653174343+0.027636894308433704j)
0.77,(0.11331981739326566+0.05352520560884096j),(1.3537618475266329+0.30229368887372954j),(-0.6964470248237664-0.9607353813351834j),(0.10716999904092567-0.13041451524786846j),(-0.022750399922532794+0.6606312895839135j),(-0.6738920084251075-0.2354925722897998j),(-0.6417657006545004-0.27152877348609006j),(0.6664649187733006+0.6352941702047117j),(1.1154396896932797-0.38479256123914j),(0.004290450621086791+0.42874774997374365j),(-0.7749694950472302-0.7721833255431058j),(0.11331981739326566+0.05352520560884096j)
0.78,(0.10710562960487918+0.07895273716665298j),(1.370505626280102+0.2653100358304941j),(-0.6809758380185772-0.9365943191541445j),(0.11799330991828559-0.10481900892817793j),(-0.05303159521910589+0.6804802580109222j),(-0.6593466723129436-0.252754186889918j),(-0.6248223669531608-0.2878113492749578j),(0.6685815844881439+0.6606981903408021j),(1.1010548111190164-0.3907716975498778j),(-0.026940136026613666+0.44564049697686875j),(-0.7553120996056149-0.7594401940084794j),(0.10710562960487918+0.07895273716665298j)
0.79,(0.09855543143613962+0.10370431749966966j),(1.385243754696316+0.22643785233860161j),(-0.664338229872786-0.914287646866182j),(0.12644500320936783-0.07835385613482987j),(-0.08309573779948418+0.6995198457650202j),(-0.6436670871464509-0.2695819085300451j),(-0.6067535044197907-0.3035482722467901j),(0.6720937339767444+0.6853304705141073j),(1.0869873080176835-0.39520485197182087j),(-0.0588319876522058+0.46056471543348537j),(-0.7349840208780872-0.7478809376318467j),(0.09855543143613962+0.10370431749966966j)
0.8,(0.08775867788323732+0.12757474777370256j),(1.3977690357325903+0.1859164725067826j),(-0.6466009997370363-0.8936734741862977j),(0.13243682785406455-0.05123356914523529j),(-0.11283140382485612+0.7178815835728567j),(-0.6268561023926341-0.2859250243831521j),(-0.5875672513668047-0.3186807627151958j),(0.6771455625017967+0.709150557537996j),(1.0733073269517441-0.3981303178773437j),(-0.09120617985749951+0.47356000099249995j),(-0.7139897422930137-0.737403109576073j),(0.08775867788323732+0.12757474777370256j)
0.81,(0.07482673553633669+0.15037158798111605j),(1.4079005217880278+0.14401483421311623j),(-0.6278206324063081-0.8746132279937988j),(0.1359055469571557-0.023682553969868767j),(-0.1421364257315971+0.7357025387413147j),(-0.6089187995778668-0.3017290883406894j),(-0.5672750414163797-0.33314605762902844j),(0.6838805220107478+0.7321084333330206j),(1.0600758031860942-0.399591260963637j),(-0.123894932211395+0.48468047487315963j),(-0.6923307317498177-0.7279055312818172j),(0.07482673553633669+0.15037158798111605j)
0.8200000000000001,(0.05989067178446481+0.17191757435617827j),(1.4154885782145565+0.10102754976508649j),(-0.6080448811330745-0.8569711284528095j),(0.13681429659996178+0.0040681948193015145j),(-0.17091714027611635+0.7531241301154258j),(-0.589862968817158-0.3169357798846328j),(-0.5458921779994201-0.3468773661655752j),(0.6924403520566631+0.7541426373594755j),(1.047344519971396-0.3996346839701633j),(-0.156742620437924+0.4939926254656023j),(-0.670006147893383-0.7192877676529431j),(0.05989067178446481+0.17191757435617827j)
0.8300000000000001,(0.04309874118154504+0.19205261361899645j),(1.4204192186469629+0.0572699987373652j),(-0.587314221748141-0.8406136655210225j),(0.13515338797144025+0.031784604903342104j),(-0.1990874764883561+0.7702911093320478j),(-0.5696996314598608-0.33148280389705936j),(-0.5234384544767543-0.3598038854445349j),(0.7029639232661248+0.7751783389160931j),(1.0351563012204492-0.39831048512259826j),(-0.18960643561990134+0.5015731821031951j),(-0.6470135300565779-0.7114496292306615j),(0.04309874118154504+0.19205261361899645j)
0.84,(0.024613658909297217+0.21063531946429068j),(1.422617495658223+0.013072600195437406j),(-0.5656632025064444-0.825409086231298j),(0.13094051941517293+0.05923313410829536j),(-0.22656790944299487+0.7873507077307925j),(-0.5484436091814897-0.34530383987992497j),(-0.49993881775263227-0.3718508870403925j),(0.7155858451238555+0.7951253863777532j),(1.0235453163861912-0.3956706186596519j),(-0.22235672583979582+0.5075070704523434j),(-0.6233494779850987-0.7042907037693006j),(0.024613658909297217+0.21063531946429068j)
0.85,(0.004609753342916918+0.2275440769452158j),(1.4220497710956002-0.03122552537622688j),(-0.5431217107204476-0.8112269020148634j),(0.12422038947763013+0.08618436154849869j),(-0.2532843016249988+0.8044519435372793j),(-0.5261141388565124-0.3583285501082913j),(-0.47542407162254213-0.3829398859326319j),(0.7304347862107375+0.8138763683885115j),(1.012537477232555-0.39176836160961837j),(-0.2548770601390592+0.5118854876966683j),(-0.599010334852614-0.6977099219848792j),(0.004609753342916918+0.2275440769452158j)
0.86,(-0.016729912883201758+0.24267763969968192j),(1.4187247455227467-0.07528325324457993j),(-0.5197161744915041-0.7979374248007647j),(0.11506372718464021+0.11241644904533611j),(-0.2791666491069921+0.8217450800212976j),(-0.5027355312596122-0.3704826572888099j),(-0.4499316140426781-0.3929889043327293j),(0.7476314527761359+0.8313047326974315j),(1.0021509075837856-0.3866576873871151j),(-0.2870640566690674+0.5148041255002413j),(-0.5739928789002612-0.6916051620319852j),(-0.016729912883201758+0.24267763969968192j)
0.87,(-0.039216370601900266+0.25595528224248093j),(1.4126931913337828-0.11876423492656829j),(-0.4954707190587041-0.7854113428896188j),(0.10356577978202337+0.13771836695291106j),(-0.30414774550778756+0.8393812226693901j),(-0.4783378700124346-0.3816881032507043j),(-0.4235062001649105-0.40191284340837596j),(0.7672861709357659+0.8472630212022421j),(0.9923964688739698-0.38039274379440224j),(-0.31882701661718715+0.5163615591773036j),(-0.5482950294922718-0.6858728979607783j),(-0.039216370601900266+0.25595528224248093j)
0.88,(-0.06265744784888044+0.2673165440749827j),(1.4040464039558518-0.16134348048968838j),(-0.47040828619601005-0.7735193437956863j),(0.08984431952038165+0.1618927909387751j),(-0.32816177140874697+0.8575120410020619j),(-0.45295774525510746-0.39186330102949735j),(-0.3962007202163326-0.4096239761639827j),(0.7894960196974509+0.8615812954382766j),(0.9832783262479268-0.3730274306213201j),(-0.35008740390041476+0.5166578130942964j),(-0.5219165757076626-0.680407899756715j),(-0.06265744784888044+0.2673165440749827j)
0.89,(-0.08686028911227643+0.27672061355462446j),(1.3929134541776127-0.20271347478573634j),(-0.4445517302606196-0.7621317947508657j),(0.0740372484272945+0.18475859327247474j),(-0.3511428123045616+0.8762895982111726j),(-0.4266390141809507-0.4009234933042482j),(-0.36807697813729-0.41603257453597087j),(0.8143414675984745+0.8740658453470952j),(0.9747945419627254-0.36461507020587586j),(-0.3807782077266018+0.5157931054418055j),(-0.4948599292337977-0.6751029922840829j),(-0.08686028911227643+0.27672061355462446j)
0.9,(-0.11163364318200554+0.28414540709651936j),(1.3794573862447848-0.2425895914109304j),(-0.4179249011693786-0.7511184923875114j),(0.05629989249587568+0.20615287237152985j),(-0.37302330509875503+0.8958662726600768j),(-0.3994335778592431-0.40878123044514997j),(-0.3392064533389566-0.4210476829628395j),(0.8418824760164223+0.8844982951740052j),(0.9669376848066635-0.35520816299173796j),(-0.4108432214252945+0.5138667698060743j),(-0.46713090557538417-0.6698488826568142j),(-0.11163364318200554+0.28414540709651936j)
0.91,(-0.1367898865921336+0.2895864033865294j),(1.3638705560185307-0.28071461464264924j),(-0.3905537164346534-0.7403484912243795j),(0.036802083626708025+0.225932486351606j),(-0.3937324055386184+0.9163947500811956j),(-0.37140216058507736-0.41534698126690783j),(-0.3096710243036322-0.4245780492300517j),(0.8721540487091235+0.892635243330589j),(0.9596954461142219-0.3448582192391627j),(-0.4402362669060738+0.5109763465351228j),(-0.43873953493326845-0.6645340662006162j),(-0.1367898865921336+0.2895864033865294j)
0.92,(-0.16214676309975012+0.2930552932544766j),(1.3463693376849823-0.3168622362983627j),(-0.36246722965707107-0.7296900244746498j),(0.01572512918169909+0.24397507835816354j),(-0.4131942692608733+0.938028069753994j),(-0.3426150746384742-0.42052988891171794j),(-0.2795636287410637-0.4265332209392878j),(0.9051612314442633+0.8982085968938581j),(0.9530512546581155-0.33361565754928046j),(-0.4689203899347299+0.5072168337535152j),(-0.409700900757029-0.6590448223103864j),(-0.16214676309975012+0.2930552932544766j)
0.93,(-0.18752883203514323+0.29457850402292485j),(1.3271884444751505-0.35083945611036493j),(-0.33369869348117537-0.7190105288930979j),(-0.006741234614804316+0.260179602382045j),(-0.4313262298566663+0.9609196992169442j),(-0.3131529495853613-0.4242386828360393j),(-0.24898883106883973-0.42682481259480254j),(0.9408735993647216+0.9009267843260702j),(0.9469848842092169-0.3215297606866127j),(-0.4968670472137367+0.5026800856564619j),(-0.38003600370142876-0.6532653125902094j),(-0.18752883203514323+0.29457850402292485j)
0.9400000000000001,(-0.21276862913803107+0.2941956531019268j),(1.3065751086666155-0.3824878754706955j),(-0.30428661497362514-0.7081767871027308j),(-0.030401817217163264+0.27446637681961444j),(-0.4480368572237457+0.9852236182572821j),(-0.283107401231066-0.42638275558052174j),(-0.2180632644311319-0.42536794382048687j),(0.9792193145406083+0.9004770493709304j),(0.941473048854255-0.30864867927354034j),(-0.5240553023312688+0.49745434443264097j),(-0.3497726448614359-0.6470777942884749j),(-0.21276862913803107+0.2941956531019268j)
0.9500000000000001,(-0.23770755237236052+0.2919579799149867j),(1.2847833504924895-0.4116839304973525j),(-0.274275797966381-0.6970552008261328j),(-0.05505879956481606+0.28677670834350083j),(-0.4632238737343869+1.0110943844189457j),(-0.2525816115723302-0.42687340983712335j),(-0.18691591109976896-0.42208284330564394j),(1.0200788930940659+0.8965290412997522j),(0.9364899822455837-0.2950194742313312j),(-0.5504710440415477+0.4916238915646685j),(-0.31894631920729133-0.6403629624425783j),(-0.23770755237236052+0.2919579799149867j)
0.96,(-0.26219649213596513+0.2879267985920725j),(1.262068537436651-0.4383381575640412j),(-0.24371836160586294-0.6855122078553763j),(-0.08051434826085602+0.2970721401285717j),(-0.47677189979112755+1.0386871504266213j),(-0.22169078725746533-0.42562527679070694j),(-0.15568818289017877-0.4168966063321554j),(1.063278890606262+0.8887399170565234j),(0.9320079978331443-0.2806881893098027j),(-0.5761062371084974+0.48526880424154917j),(-0.2876011070002382-0.6330004341403979j),(-0.26219649213596513+0.2879267985920725j)
0.97,(-0.2860962303089286+0.2821720065956738j),(1.2386823984680218-0.46239362028926734j),(-0.21267472154955827-0.6734148551013852j),(-0.10657297024782496+0.30533338610555266j),(-0.4885499986772114+1.0681576015669985j),(-0.19056246079534264-0.42255790122228315j),(-0.12453376199264544-0.40974508521819736j),(1.1085857950785887+0.8767611536767524j),(0.9279980278100544-0.2656999456429603j),(-0.6009582131310225+0.4784648030268165j),(-0.255790547073685-0.624869387672951j),(-0.2860962303089286+0.2821720065956738j)
0.98,(-0.3092776357120146+0.27477067714185655j),(1.214868616029286-0.48382365043971143j),(-0.18121451568157204-0.6606315384751619j),(-0.13304357540945405+0.3115590166838611j),(-0.49840898331927097+1.0996617738934735j),(-0.1593365963666335-0.41759748195873847j),(-0.09361816311189702-0.4005748831201378j),(1.1557005053044827+0.8602472281892902j),(0.9244301390096789-0.2500990509585134j),(-0.6250290063659774+0.47128317764392585j),(-0.22357847180628979-0.6158493680083608j),(-0.3092776357120146+0.27477067714185655j)
0.99,(-0.3316216851027322+0.2658057562928004j),(1.1908590758039148-0.502629066469458j),(-0.14941745180271374-0.6470329179886238j),(-0.15974122909521388+0.31576396166833376j),(-0.5061784437274705+1.1333557049786624j),(-0.12816546065494255-0.4106787481498023j),(-0.06311798037008512-0.38934541128630723j),(1.2042538631331308+0.8388662504839068j),(0.9212740243467564-0.2339291168280659j),(-0.648324737559997+0.46379077866739665j),(-0.19103977938558916-0.6058212677841592j),(-0.3316216851027322+0.2658057562928004j)
1.0,(-0.35301933911415984+0.2553648791219072j),(1.1668708136367716-0.5188350337035036j),(-0.11737405045043954-0.6324930130542126j),(-0.18648858972464852+0.31797789343891714j),(-0.5116634479369924+1.1693948603701199j),(-0.0972132195011711-0.4017469428249049j),(-0.03321978726917675-0.3760309598966809j),(1.2538037914311908+0.8123125266688476j),(0.918499468623467-0.21723317814990276j),(-0.670855047164493+0.45605006396079745j),(-0.15826111471157317-0.5946684897486142j),(-0.35301933911415984+0.2553648791219072j)
1.01,(-0.37337130169118427+0.24353931356413233j),(1.1431036629028128-0.5324877213869478j),(-0.08518625202505786-0.6168904785101574j),(-0.21311703795755932+0.318243548603961j),(-0.5146408630302673+1.2079332660152415j),(-0.06665522335036844-0.3907598751279567j),(-0.004118665816105201-0.36062272220813696j),(1.3038346525935507+0.7803208829637364j),(0.9160767876481998-0.2000538098884958j),(-0.6926325780026512+0.448119189815339j),(-0.1253414262312763-0.5822782921462067j),(-0.37337130169118427+0.24353931356413233j)
1.02,(-0.3925876899155867+0.23042303567398748j),(1.1197385756804092-0.5436508962295326j),(-0.05296785385920872-0.6001100561583848j),(-0.23946751321297+0.31661503972429444j),(-0.514855237955212+1.2491222553275079j),(-0.03667694915962504-0.3776899924449322j),(0.023983648696744242-0.34313070293745707j),(1.3537594689147963+0.7426823941644408j),(0.9139772396749705-0.18243323695253524j),(-0.7136725064438976+0.44005213786532055j),(-0.09239236240635282-0.5685433128341442j),(-0.3925876899155867+0.23042303567398748j)
1.03,(-0.4105876390036952+0.2161119358992597j),(1.0969365680511485-0.5524025720158867j),(-0.020844740206315736-0.5820441896415751j),(-0.2653910802675818+0.31315620112705067j),(-0.5120141836168789+1.2931087235669723j),(-0.007472573726198596-0.3625264134276431j),(0.05088100715005635-0.32358543427394604j),(1.402925617608247+0.6992609435404848j),(0.91217340814632-0.1644134338871188j),(-0.733992120377759+0.4318988699501139j),(-0.05953846873780863-0.5533632608910627j),(-0.4105876390036952+0.2161119358992597j)
1.04,(-0.42729886471005135+0.2007031526599543j),(1.0748382237786036-0.5588318124978052j),(0.011045133297169437-0.5625947822981753j),(-0.2907492535443205+0.3079390048981917j),(-0.5057831808057592+1.3400327470356055j),(0.020756836327830888-0.3452768536762778j),(0.07636545424970963-0.30203941843472787j),(1.4506245116520604+0.6500098082918255j),(0.9106395547414181-0.14603621198073882j),(-0.7536104417033274+0.42370550414488606j),(-0.026917144689663493-0.5366467561949122j),(-0.42729886471005135+0.2007031526599543j)
