t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B01_A_0000
0.49,(-1.5039704138958432+1.779788331837251j),(-0.012847541763544983+0.014684215014667797j),(3.5173369204356814e-06+1.0085909346147669e-06j),(1.585802882541129-0.33848351854687403j),(0.40575467759225997-0.400787800668568j),(-1.2777645882971684+0.20845896573400774j),(1.21683140771126-0.6193024466740592j),(0.001163748977563054+0.09892369024206994j),(0.0019362175094269913+0.004843592468525999j),(-0.8386277118596555-0.23253795502902264j),(-2.6589216784200545e-05+4.133559644686502e-05j),(-0.3488787320986603+0.2071271707337562j)
0.5,(0.469512867259064+2.4100452007419215j),(-0.004484347182480013+0.018766910941107093j),(5.915867747524577e-06+2.855166866740826e-06j),(0.7239365848096607-1.5054140223826609j),(0.04899910652031496-0.6680367566789683j),(-0.6279313205250728+1.1233396970829521j),(0.28126802101587567-1.3258647642411603j),(0.06552862286216277+0.10164972162783806j),(0.0030666223130956702+0.0044975870357739315j),(-0.8572653590543209+0.5151185580571624j),(-3.2892166020959224e-05+7.187424942066985e-05j),(-0.07702129186111639+0.4140876269553575j)
0.51,(2.277941756986842+1.2157841083478886j),(0.004743894152847801+0.018511775737196864j),(9.733848887043802e-06+6.025753256170335e-06j),(-0.7604993608952564-1.5432421020394034j),(-0.4687206427648345-0.6198432219894996j),(0.4838760382480716+1.1844413182951685j),(-0.8468384815792325-1.0469720303959138j),(0.13288953520953217+0.06158207945921505j),(0.00414755922747175+0.003931147907798382j),(-0.24577908580142005+1.1108717628487588j),(-3.0441945925537774e-05+0.00011975510629351397j),(0.2705650001327892+0.3443765796124808j)
0.52,(2.5033053757625545-1.0362771888819189j),(0.012720939297068638+0.014067106273907653j),(1.5980283136140797e-05+1.0950972487473784e-05j),(-1.7317538472501006-0.3739930324510556j),(-0.8722218391195418-0.17752809451901722j),(1.220808380610023+0.36036183467824356j),(-1.3395451647760594-0.0041214788208132624j),(0.17396304978094196-0.023025375928458547j),(0.005134023884991759+0.0031509108609036017j),(0.7190035329266714+1.0617896355562149j),(-6.551091018744369e-06+0.00018804200638145388j),(0.4552959709526256+0.025724332013748626j)
0.53,(0.8391330814649215-2.7088603153396016j),(0.017694836399667655+0.006555118742330118j),(2.6390379045866034e-05+1.7865757224830713e-05j),(-1.4160987138562815+1.1497209263978054j),(-0.8712055792819139+0.5025943024829758j),(1.0409321644955438-0.7235790679391085j),(-0.8471029288942746+1.0315024169321785j),(0.15927149261551002-0.1332417266728199j),(0.005978286125344172+0.0021730665270846493j),(1.4147059218878602+0.23016242173641271j),(5.8304830190668085e-05+0.00027353953159908577j),(0.33447090829558274-0.3378401408593415j)
0.54,(-1.6057354138418891-2.4870140759524384j),(0.018689816349964118-0.0022554619484307773j),(4.372850176187024e-05+2.6344028356239798e-05j),(0.0009758183575021562+1.8773829961093222j),(-0.3546737074095785+1.062487213762039j),(0.08864742968316575-1.2613195204207934j),(0.2617465368811459+1.306667507516418j),(0.07411864709799723-0.23065745194155474j),(0.006631431010982927+0.0010251433653392476j),(1.261767709143649-0.9679178731026019j),(0.0001888867087712955+0.0003601037408765419j),(-0.032100738704489644-0.49503325204686666j)
0.55,(-3.0564482523004206-0.39120322211041825j),(0.015684229440139984-0.010422844614667519j),(7.196483095498133e-05+3.442864461988129e-05j),(1.4945297920007814+1.2231168420121312j),(0.48349651635304114+1.1290582969575167j),(-0.925340942666095-0.8602285383852489j),(1.1774127159882433+0.6260912530850304j),(-0.06876401594054465-0.26953703356761455j),(0.007046224096034499-0.0002540448583363969j),(0.17440551529907167-1.7441506402239348j),(0.0004084134591049684+0.0004108745988572328j),(-0.4083406707782687-0.31871909674492044j)
0.56,(-2.361190312661932+2.1562939571634114j),(0.009525982203010938-0.016304677356333428j),(0.00011600065151366026+3.724464487348886e-05j),(1.947722596240421-0.38265233242575913j),(1.1999617868828736+0.5612071092202072j),(-1.2523189554581913+0.17902676607523904j),(1.2348224414226618-0.5146749148514325j),(-0.22681717641339044-0.21682450259773067j),(0.007179944125324434-0.0016148685866415585j),(-1.2631727731022477-1.4467693225794052j),(0.0007242698804856148+0.00036290134561635807j),(-0.5325238699071757+0.09610372735076302j)
0.5700000000000001,(0.11426189670347586+3.305894260659822j),(0.0016406674027817341-0.01889870519164804j),(0.00018039512001662999+2.5170893962864937e-05j),(0.9788811278120342-1.7871750760104803j),(1.3440047743230523-0.40704402597997097j),(-0.6514964692778842+1.0896692414656857j),(0.38854687679621913-1.2883757080310798j),(-0.33988213692866764-0.07131323185327437j),(0.006998040247905906-0.002997881599280625j),(-2.0913076217529203-0.07460049480875744j),(0.0011058828359515364+0.00013037028631344982j),(-0.29699424671679464+0.48108197189832563j)
0.58,(2.6685859626551403+2.1246133920614843j),(-0.006359024055029198-0.01798008815796084j),(0.00026637522773467683-1.7929472249360735e-05j),(-0.7570755570427161-1.9462685239141606j),(0.7534018780268105-1.2534675372197681j),(0.4381020788560863+1.1997366964479823j),(-0.7546717217393416-1.1283470571855463j),(-0.35423584752035225+0.1285298878297282j),(0.006478146177365954-0.004335189786701159j),(-1.610275602467629+1.5960257315878144j),(0.0014591177464015168-0.00037554159417438815j),(0.1654057083580615+0.5669943371114042j)
0.59,(3.44278979124541-0.6645011890027406j),(-0.013044299930554644-0.014034213579196129j),(0.00036650637816097357-0.00011519383572188599j),(-2.0197492455370702-0.693590672898914j),(-0.2967291603215963-1.4664059270864778j),(1.2175379485554543+0.4205861116419472j),(-1.3664792622615318-0.13632846450754676j),(-0.2482872141941386+0.31464347402897175j),(0.005614331110797998-0.005551589535305785j),(0.06172432530063285+2.4406840977676567j),(0.0016087728535439133-0.0012036156195180505j),(0.5547133506642165+0.26959351175901425j)
0.6,(1.77686952779604-3.1228566333991714j),(-0.017432725888366595-0.00804171932284628j),(0.0004570899205639155-0.0002938296000029472j),(-1.8724587016564347+1.1120011469567173j),(-1.2209445124242075-0.8782526514010027j),(1.1071839061678195-0.6858489627545957j),(-0.9885739570318733+0.9817190938109452j),(-0.04706447353036747+0.41532543726141513j),(0.0044213122979682795-0.006566425873238349j),(1.9415466342247747+1.7458934047996895j),(0.0013083641654961678-0.00229729643625105j),(0.5977418625562548-0.2385473022675595j)
0.61,(-1.2438925309158746-3.4532216667755113j),(-0.019102385674282484-0.001198006301982575j),(0.0004899906850511733-0.0005759708775861746j),(-0.373935656229765+2.1816883779241536j),(-1.4738101430880506+0.19569023785061151j),(0.17083109364603688-1.3089617261375226j),(0.13024668358850144+1.4113939143052605j),(0.18342798221203271+0.38623701671822136j),(0.002938062611707478-0.007296358913729937j),(2.7618280313888586-0.21725777114966438j),(0.0002995290115591555-0.003423238521843997j),(0.23729285377892476-0.6275414875978246j)
0.62,(-3.4966564691228887-1.3218901369251541j),(-0.018164793050247874+0.0053523471644648275j),(0.00038827053658917123-0.0009609545394666792j),(1.4348328561179564+1.721810364099306j),(-0.9030354087731023+1.1303113752851421j),(-0.9200019696453481-0.9758390414090647j),(1.194709203371812+0.8143202469664759j),(0.3613269389657322+0.23168301498297184j),(0.0012309466349460334-0.007660622781788357j),(1.8392962285739034-2.258220317794465j),(-0.0015650555631813367-0.004130219675068172j),(-0.31351042421677094-0.62417261487536j)
0.63,(-3.3257618876399135+1.8296449935090298j),(-0.01513719700241888+0.010713131972168399j),(5.308592974303584e-05-0.001399339945688696j),(2.2597714698787406+0.025633369292462405j),(0.13926543424031396+1.3807291314806527j),(-1.3622898744972707+0.09593160414464363j),(1.420248678234947-0.4113066017756041j),(0.42285619368894767+0.005072984687255561j),(-0.0006048638758572159-0.007588528114998667j),(-0.3736787638899071-3.007028440547658j),(-0.004147679582172615-0.0037919843994969503j),(-0.6975749508902478-0.20131008789610375j)
0.64,(-0.7733702437876044+3.764271959650687j),(-0.010765311934163125+0.014339147766330952j),(-0.0006089608851330248-0.0017648931701839418j),(1.4895681275391792-1.7109986771112504j),(1.017406281750922+0.8318407008100235j),(-0.8050239924744321+1.1376292054405064j),(0.6028484704902631-1.3907175579403597j),(0.3491941830674411-0.21262535709252514j),(-0.0024456462136917823-0.007029947690561489j),(-2.4980505624422307-1.8632616147581769j),(-0.006857171864446029-0.0017859636184589787j),(-0.6457738970774124+0.3878128316750939j)
0.65,(2.3882259234206376+3.056363636213953j),(-0.005847336510221079+0.01605044796161058j),(-0.0016314524670824144-0.0018394554417981617j),(-0.3417560392709158-2.2408614241373126j),(1.2233160475518545-0.13472374163822454j),(0.3779732662134814+1.374119552318847j),(-0.7061062174688015-1.3880955877705357j),(0.1735085303450201-0.3466896740698787j),(-0.004143487574694559-0.0059673536818786845j),(-3.122238873064957+0.5218150101535217j),(-0.008591339836611055+0.0021779578970920243j),(-0.16316037671620134+0.7625905677823086j)
0.66,(3.899333826198572+0.16047358719314486j),(-0.0010913056257685016+0.015976245169370632j),(-0.002910537094505792-0.0013340948013182675j),(-1.9228415342939011-1.177154418598851j),(0.6966886577422563-0.904343837100966j),(1.3342368778139138+0.5933885047418859j),(-1.564559550681878-0.35136208823160325j),(-0.0349758882972568-0.35872592721778424j),(-0.005534901408410308-0.004428442118696984j),(-1.7854079931644964+2.624118150016095j),(-0.00791966144845305+0.007646407750746436j),(0.45870543168967914+0.6620257331823483j)
0.67,(2.6544504681496655-2.8753283196350803j),(0.002972518548609874+0.014461281703979683j),(-0.004127048814250221+2.83263418934805e-05j),(-2.1163392248920636+0.7098555347510677j),(-0.16412923024443854-1.0374653777679632j),(1.3397744513892857-0.6722753589130751j),(-1.308898248428748+1.0117438562506198j),(-0.2015668251924764-0.25934862306420947j),(-0.006455930066471324-0.0024968427104189177j),(0.6631815992622928+3.0696459520729933j),(-0.00359498679792133+0.01310700349386806j),(0.8202117480841616+0.12441223300148009j)
0.68,(-0.47037982855218785-3.880754348739657j),(0.00602756450591653+0.011960313922830472j),(-0.004715420621674279+0.002357867635069301j),(-0.7980431333529131+2.0504954779218663j),(-0.7958006741594048-0.5366121465950326j),(0.34025375489542387-1.50345468803043j),(-0.058589789280992344+1.7088986639743504j),(-0.2764005188897155-0.09878455348866501j),(-0.006762749586446725-0.0003180089866329453j),(2.6237916562021675+1.5880742409278363j),(0.0046508822998290785+0.01603257293016153j),(0.6722747698573612-0.5234380255401164j)
0.6900000000000001,(-3.2422464910376783-2.146858018636626j),(0.007959468038365971+0.008944241005956165j),(-0.003942954245777514+0.00539362049921004j),(1.0503601208241786+1.8869569183937291j),(-0.8483201175267993+0.20140330838984424j),(-0.9737083648681575-1.2542416170742823j),(1.3224918655370654+1.1768976032846958j),(-0.250769970002943+0.05820268680509607j),(-0.00635746411754752+0.0019030174360330386j),(2.84741312183983-0.799975927065815j),(0.015286872119226292+0.013532761608719511j),(0.08638393929168689-0.8680396516508256j)
0.7000000000000001,(-3.7006691727498113+1.0612076363930718j),(0.00881800383973141+0.005830606383732182j),(-0.0011524766384036476+0.008329230216495266j),(2.076474182782114+0.3796601215035873j),(-0.38275683180467696+0.6886914268551891j),(-1.6375486353870312-0.046667728267476005j),(1.81517571882533-0.27402014542548986j),(-0.15389630973489277+0.15990945247133312j),(-0.005215050227091522+0.003915277253258593j),(1.2857992317328435-2.508365478597683j),(0.02460905407536831+0.0036680820914209195j),(-0.5795801094658806-0.6756269797940764j)
0.71,(-1.576452406090045+3.4480439893080415j),(0.008763594216035193+0.0029418450653586692j),(0.0038334468468838546+0.009797222424569355j),(1.566693922122744-1.330072998998153j),(0.2266071531563227+0.6714016618531207j),(-1.1133786944458057+1.2751285451657979j),(0.9881788811294799-1.6301510798062233j),(-0.03451744550515935+0.18523118030763056j),(-0.0034069869631538+0.005448604639887432j),(-0.9235499986760343-2.4917246469549714j),(0.027349941732428384-0.012890448592540503j),(-0.9038231064046798-0.04987518515847854j)
0.72,(1.5553207519622556+3.370618169424294j),(0.008015275164928382+0.0004916107724512921j),(0.0102511735388843+0.008153179038199032j),(-0.040371941960864466-1.9929286489677214j),(0.5813546889246359+0.25396746634011746j),(0.2841818367502039+1.7286300997059723j),(-0.6418740579675875-1.8752711152837196j),(0.06191022693083792+0.14521236467521345j),(-0.0011144903968777673+0.0062530567830693315j),(-2.3024206601891923-0.9243828386522659j),(0.01857151694172402-0.03160762851314069j),(-0.6709378758479032+0.6253206380455352j)
0.73,(3.4725785461169663+0.9941281040475494j),(0.006805991656792922-0.0014103264248288036j),(0.01610102113476631+0.002132393614779451j),(-1.5204756810686786-1.1831117951496262j),(0.5161490074196492-0.23086188886309034j),(1.568313980826587+0.9147824047348906j),(-1.92532091695763-0.7418427947293026j),(0.10967540873556876+0.07123495766975843j),(0.0013750764987182631+0.006146902734204993j),(-2.0604870481867574+1.0143932009104464j),(-0.003442295541586597-0.04423953149748124j),(-0.015011661175293182+0.9256944352980859j)
0.74,(2.921636025900466-1.9123630485365668j),(0.005350827608096035-0.0027387799105802824j),(0.01831609573036913-0.008216894299609007j),(-1.807144264745642+0.4229407274006025j),(0.15789071616513456-0.47613983434451657j),(1.7697223130933297-0.6475194874639607j),(-1.8829918469623588+1.03780585717938j),(0.10731507054175515-0.0020552450547345474j),(0.0036942398780547823+0.005065640835418595j),(-0.5614418959611133+2.0340125076823945j),(-0.03436698408040617-0.04118772367525136j),(0.6596822186780671+0.6569396247237267j)
0.75,(0.4469587400849039-3.323396478281504j),(0.003828342366772446-0.0035300850610366316j),(0.013638400652525818-0.020654345545525137j),(-0.7724268366518171+1.6069313864577262j),(-0.21469233254764503-0.38738993660486115j),(0.6575265998790557-1.8451291081203107j),(-0.4400062498617017+2.198824068422513j),(0.07132994830025272-0.05053492357107055j),(0.005445449654011848+0.003101118409546719j),(1.053649300812255+1.6122815934169048j),(-0.06278250424007145-0.016010483724889918j),(0.9324043936367955-0.01870327268975292j)
0.76,(-2.118086177789097-2.3977122866688134j),(0.002372778301342259-0.003858161955067451j),(0.00020846724816658314-0.03045938693933032j),(0.7375087271164704+1.541576136095781j),(-0.3775878199508277-0.09374846780119461j),(-1.038284082764462-1.7548687723084104j),(1.4533604781841138+1.8344903466016345j),(0.0246973821668137-0.06629568053728557j),(0.006271495959483378+0.0005183065818779244j),(1.730881460284294+0.2444127934636635j),(-0.07253568317771986+0.0292579506744748j),(0.6325095152105791-0.6825731219155579j)
0.77,(-3.0331883974236895+0.03139663036957108j),(0.001074763390370697-0.0038147409479167976j),(-0.020530778904138614-0.03130670595778019j),(1.5927960696299706+0.37120838264369727j),(-0.2857459229175817+0.18403390580414214j),(-2.0981696778890027-0.3408368889880054j),(2.442502877028869+0.08669274212322198j),(-0.0135518509196966-0.055323773802059405j),(0.005935939549292493-0.0022611840371230697j),(1.1927081349100879-1.0340596835279634j),(-0.04912976408754402+0.08058991223842617j),(-0.052149804500281394-0.9235193303245424j)
0.78,(-1.8462932600784074+2.1838911921990456j),(-1.3024339850860713e-05-0.003494609112295154j),(-0.04247045670315675-0.01760955145640171j),(1.2283981552172434-0.9684816897525101j),(-0.055655413714518+0.28989720345940667j),(-1.6780729564993755+1.4523992551761786j),(1.7274347376529704-1.8799687983984925j),(-0.03383681392775771-0.030665705628003782j),(0.0043971471175116815-0.004715178990308339j),(-0.0004354184717696441-1.4191125320755877j),(0.011250020101767183+0.11331615136975332j),(-0.6946573593413851-0.5969942591531138j)
0.79,(0.4233594197854465+2.6491895878523586j),(-0.0008680798048562925-0.002985838258346093j),(-0.05514799129043057+0.011981451629482085j),(0.009048734923219538-1.4966934915181827j),(0.14638749144378563+0.20853093500426576j),(0.0376053192123198+2.3203324834025953j),(-0.31362054525610084-2.6488528842363963j),(-0.0360938620320015-0.005309348880034278j),(0.0018552503356852425-0.006314166758796105j),(-0.9620066445280566-0.8300476102655963j),(0.09380161161070273+0.10034867534534546j),(-0.8994901171456104+0.08620928836940782j)
0.8,(2.1371666855716582+1.3097846933596122j),(-0.0014896685876431496-0.002364685434581291j),(-0.04671400401353547+0.051126406487050455j),(-1.1150447942989539-0.9016032108706751j),(0.21550161368384937+0.0358112432707749j),(1.887077530602951+1.5315576059816667j),(-2.3091445935383224-1.5594910688233932j),(-0.026309007135337778+0.012340095986498581j),(-0.0012472238034642706-0.0066381402956926655j),(-1.1210034659838881+0.1671448870752973j),(0.16354397399060697+0.026411373329409602j),(-0.5504920562420568+0.6970801230361533j)
0.81,(2.2195548093305972-0.7239497133199462j),(-0.001891563447699063-0.0016936488694826591j),(-0.00968876427695867+0.0844177319186743j),(-1.344588411624451+0.2946820049955352j),(0.1512436245710298-0.10828215567736962j),(2.5033025741026607-0.4825898294755916j),(-2.8096518584677472+0.7567197041101129j),(-0.01215773801458879+0.01962494024107706j),(-0.004283965395024902-0.005493148868179286j),(-0.536813105952401+0.8525592315489009j),(0.1747650257472714-0.09666298525419256j),(0.12140010935234463+0.86158872591173j)
0.8200000000000001,(0.8200041298297405-2.0086859767373677j),(-0.0020961251216086232-0.0010217794347744426j),(0.051919948522025375+0.09038381220135847j),(-0.5898017002573923+1.185654293830302j),(0.026873296305483907-0.15491687289618244j),(1.3043187885066383-2.3396144963025742j),(-1.3271305446583854+2.7313135979747765j),(0.00026557881847733694+0.018292596181469955j),(-0.006562378770451971-0.0029958543401865604j),(0.2633797599062389+0.8528680388938708j),(0.09230051220161359-0.22219267571294357j),(0.6911458046167178+0.49398221509795j)
0.8300000000000001,(-0.93538226961313-1.782771721192547j),(-0.002130031792319026-0.00038619354301767874j),(0.11752811017029963+0.05023233405882056j),(0.5304611467308148+1.160962638863391j),(-0.07418546135286544-0.10905335771564663j),(-1.000611443954396-2.635499566497133j),(1.2378555081961975+2.914162672995579j),(0.007852062988240953+0.012143868771129716j),(-0.007481855371262062+0.0004048796699655685j),(0.7231457364286976+0.31387278038964167j),(-0.08138029018373992-0.27787592645414627j),(0.8117173550782809-0.15762534748789161j)
0.84,(-1.8237710333476136-0.39650095609622715j),(-0.002021546958503891+0.00018592398551595945j),(0.15168397486353502-0.038976361829500636j),(1.1915771604593637+0.311802765385492j),(-0.10728343906294611-0.023211572949936456j),(-2.8047117737640583-0.982041758752822j),(3.133493911058099+1.0256325123189802j),(0.010274604365261923+0.004940148913091398j),(-0.006698102439220475+0.003990144432798384j),(0.624280027694192-0.3033268392884485j),(-0.28707774991096235-0.19652225579245286j),(0.4292744892876718-0.6780569396858417j)
0.85,(-1.3636862127238933+1.0628178754412239j),(-0.0017988948025850146+0.0006753296529702815j),(0.11658518831974639-0.15215050930358087j),(0.9630504954715273-0.6966190923014166j),(-0.07778027502759301+0.04645531711427158j),(-2.7005645327223897+1.596904105865132j),(2.947985350230873-1.7493246886638478j),(0.008925888499980907-0.0007941254030882435j),(-0.004246769624827361+0.00691732952632582j),(0.15484201650473306-0.5892050755799291j),(-0.4153214899777245+0.038553959499022114j),(-0.1941401074851155-0.752170713755824j)
0.86,(-0.04834156551852287+1.5995663056050278j),(-0.00148955972700702+0.0010690321675094427j),(-0.005085065461372731-0.23416221215276778j),(0.07577278766798434-1.1430911142862032j),(-0.021190138251970782+0.07104207600051979j),(-0.5494503605060326+3.2711369054649424j),(0.6509809061734817-3.4970009767359898j),(0.005741781419278438-0.004040532089882901j),(-0.0005822591883334091+0.008424059771285365j),(-0.30274701450474406-0.43877291840787236j),(-0.34999257329298405+0.3552453728940071j),(-0.6587844410155071-0.3587911699256411j)
0.87,(1.1121719868662119+0.9756067027367454j),(-0.0011201552891657303+0.0013590516701963398j),(-0.1855446142898729-0.217071934319224j),(-0.7972370018230446-0.7601095595853301j),(0.02580946133400242+0.05430310997313902j),(2.2706145134121263+2.6778629184800247j),(-2.277331349882756-2.8940207946583625j),(0.0023650562938511864-0.004945510419038668j),(0.003495624224212796+0.008039364642894451j),(-0.4623731880695687-0.04953049022706635j),(-0.041606590255793274+0.5927211071683146j),(-0.6854011621435037+0.2296925666670029j)
0.88,(1.3470145402148044-0.22200123609804645j),(-0.0007165321933079248+0.0015417283810111617j),(-0.34231728733818984-0.05813476156601565j),(-1.0489447123051505+0.11807609075325715j),(0.04445458368419835+0.018919943630212505j),(3.719436420670056-0.004533905295365015j),(-3.7970547989502044-0.20365885116186133j),(-0.00022213452761688958-0.004259457109605519j),(0.00702351168766013+0.0057383906252350915j),(-0.2952507819464182+0.2762995371294822j),(0.4241354434324609+0.5632369931551758j),(-0.28526431537330504+0.6340755014526183j)
0.89,(0.6256189602286578-1.0895857157642979j),(-0.00030397195119135896+0.0016175029631734345j),(-0.3616642890257635+0.2151127973744765j),(-0.556620533109603+0.8396752984333893j),(0.03657875830572711-0.01186928332814227j),(2.546233762092255-3.0094868490844098j),(-2.7363836469489757+2.7996009502578j),(-0.0016909492966976046-0.0028424851525498986j),(0.009123698972808134+0.0019845567315997835j),(0.013674091228377636+0.3502538417765741j),(0.8158217357663716+0.16721881365515776j),(0.26280369337550935+0.6138360511395095j)
0.9,(-0.4149406134916398-1.074939607026006j),(9.288293842433582e-05+0.0015911079237337779j),(-0.16002094004997633+0.4822275296134567j),(0.2728521684874803+0.9174421316124779j),(0.015822183754635132-0.025862128240297443j),(-0.6795141008635306-4.122410873456533j),(0.3066395684915566+4.005819579647936j),(-0.002161567972345134-0.0013659546675158117j),(0.009250573283274971-0.0023689331132603648j),(0.23631344639971952+0.18948113853365167j),(0.8450160145938155-0.49353713505606656j),(0.6045499997643556+0.21141304919779635j)
0.91,(-1.0023582287214179-0.31955545292027593j),(0.00045039336203264485+0.0014720170807059688j),(0.23897725453771693+0.5622632474398169j),(0.8321452915510641+0.35637406277669714j),(-0.003568455060361638-0.023404954139250856j),(-3.7864386533042564-2.2910036359264656j),(3.2859310803915065+2.467235047869333j),(-0.0019606623001500057-0.00021143892124476785j),(0.007354623045772193-0.006300432359779762j),(0.25683066325613185-0.04626711242195829j),(0.34226802235053594-1.091205223229574j),(0.5397442889271219-0.2920522986138912j)
0.92,(-0.7938804517556741+0.531991521581216j),(0.0007468246975948601+0.001275014657753024j),(0.6620784931935888+0.3106914016146875j),(0.7574377514032582-0.3909104922760227j),(-0.013697710153390021-0.012162291715445667j),(-4.449956576147661+1.457017001288513j),(4.0994212618565316-0.8574321374682621j),(-0.001434594801636777+0.0004970400232485772j),(0.0039041089489279036-0.00890287409943928j),(0.1153739367161643-0.19225992493425711j),(-0.5678835094940932-1.2014175060071537j),(0.1396749941375286-0.570816707007588j)
0.93,(-0.06462416745871707+0.8607031621111838j),(0.0009638783397411808+0.0010206673553621263j),(0.832838740207739-0.25629344032681856j),(0.1651811030482803-0.782071864487254j),(-0.014040272672757918-0.0005466922535005444j),(-1.912367838068194+4.560803452641509j),(2.0940333509425346-3.702599971676517j),(-0.0008478629034826315+0.0008028835848597458j),(-0.0002521984654129568-0.009638981327941538j),(-0.0585270148871901-0.18306692755031473j),(-1.427466963425593-0.5648198166892473j),(-0.31632135314247123-0.465144364108954j)
0.9400000000000001,(0.5762359578973933+0.5181420606833579j),(0.001088858263646476+0.0007352583474845779j),(0.5209695234413366-0.8921591109776962j),(-0.4720811700928814-0.5788867908707584j),(-0.008560814847194408+0.006410437155540424j),(2.2978995553967776+4.6772359103266234j),(-1.4136048819437117-4.066670521942747j),(-0.00035438918688257066+0.0008246321245556081j),(-0.0041425117492548845-0.008480360062244568j),(-0.15056702936754324-0.06610614455416328j),(-1.635883144179075+0.657797827919574j),(-0.5335510565290812-0.07201482892029024j)
0.9500000000000001,(0.6792109762215777-0.1309934540661305j),(0.0011172854060490722+0.00045011423388663526j),(-0.2670173676815571-1.1890953264076383j),(-0.6960591246767874+0.008580702684595515j),(-0.002011389029374353+0.007834200766059366j),(5.285027436019494+1.4312015830051272j),(-4.019827023739694-1.6433787257002805j),(-1.3164122092107174e-05+0.0006894211549938239j),(-0.006962743826863864-0.005880672761666084j),(-0.12764257238777088+0.058780956093211205j),(-0.8268871368521167+1.8360117412212353j),(-0.3917388966007211+0.33492526872485623j)
0.96,(0.26508620170533337-0.5541749829079778j),(0.001055912857886382+0.0001994967740820376j),(-1.1839800215918-0.8022536669268905j),(-0.393035277329294+0.5144984362381896j),(0.002486717564869439+0.005556514416584028j),(4.793108452047912-3.146323005718301j),(-3.915096928829164+1.9323009074782382j),(0.00017901036891523967+0.0004978668249000141j),(-0.008299801737756723-0.002588585976197785j),(-0.03507196402047949+0.11480911815759723j),(0.7797114448604405+2.150089228433718j),(-0.009828438972027046+0.49351481577322004j)
0.97,(-0.2609911250295934-0.4767754125873679j),(0.0009253382666403221+1.697616023513604e-05j),(-1.6473500587995098+0.2711014914925041j),(0.15521064796401748+0.5811903857926591j),(0.0040463472085759756+0.002120355990817957j),(0.888925273243715-5.914524518167645j),(-1.158428205820352+4.218863766786455j),(0.0002556186920031967+0.00031374096809958163j),(-0.008202295629735288+0.0006292521600351584j),(0.0530704981926864+0.08781685621759468j),(2.3307271111226413+1.1162364180062068j),(0.3476452695572533+0.32086734274958123j)
0.98,(-0.4773667781792888-0.05198957585240123j),(0.0007615859078181727-7.021680454747237e-05j),(-1.1661251168543885+1.5484824403654216j),(0.5170119238310259+0.2122579755441342j),(0.0033697008417311273-0.0006101127234811878j),(-3.9392973351912834-4.8046136688668195j),(2.37095082677925+3.670700352561075j),(0.0002575189085606437+0.00016814643687660785j),(-0.007073386855216133+0.0032480552317748785j),(0.08625656628012482+0.016592805782816286j),(2.744860015692512-0.9531966716892863j),(0.45151531985060905-0.046066206105771834j)
0.99,(-0.2745295122783186+0.32435400494440936j),(0.0006155566790085014-4.870263950737809e-05j),(0.26736947130866867+2.222552518638955j),(0.44655114910069305-0.26589096038589305j),(0.0017259431903580494-0.0019025232177273803j),(-6.41642095713151-0.3407156268006495j),(4.295042387872982+0.6902628296212807j),(0.0002202421671254847+6.938902876955217e-05j),(-0.005430390629301091+0.005120584746999779j),(0.060296364630355676-0.04525566190488328j),(1.4194549693810938-2.9258477993356182j),(0.2534854833377295-0.35466603336166586j)
1.0,(0.10809754339740865+0.3624351494372854j),(0.0005487806423978295+7.231777362030588e-05j),(1.993520383395305+1.6236272609738356j),(0.049160758093508526-0.4816740354286067j),(0.00017479035772809007-0.0019225590556685161j),(-4.73487722412208+4.618022439135471j),(3.370496743874408-2.6949084123185476j),(0.00016922449946368736+1.2962103064204105e-05j),(-0.0036350392136771654+0.006427640395834521j),(0.006273543779572011-0.06463861418853152j),(-1.1965273062375141-3.4205668978029227j),(-0.0953773176366694-0.4083381701018562j)
1.01,(0.32733370914225096+0.09235818886281744j),(0.0006245760447094709+0.00025283190162034806j),(2.9258600335105274-0.25209046176353794j),(-0.33507046392481504-0.30370861212711775j),(-0.0007532533440302717-0.0012440881706759716j),(0.1558673564713784+6.773231452791842j),(0.2861172993814971-4.255041601905524j),(0.00011985384108418728-1.0875252282308834e-05j),(-0.0017224794280404053+0.0074617985869651375j),(-0.03744090246940267-0.0419095202007j),(-3.6325631072419733-1.7255423470342448j),(-0.3564662627507908-0.1901671739869707j)
1.02,(0.22894917304459778-0.20947696381398107j),(0.0008933754710006422+0.00041657017663015327j),(2.1847114002401553-2.520978137986777j),(-0.4150381462647879+0.08518088006638652j),(-0.001009503290845553-0.0004321852079968604j),(5.136904445962417+4.614577879484773j),(-2.882252360438983-3.050272204198038j),(7.966231347059082e-05-1.2436028637661254e-05j),(0.0005799284608911529+0.008340526143501389j),(-0.04888056723601737-0.0010139569338499348j),(-4.17709511247534+1.52150503847588j),(-0.3646697520208509+0.1382355375595263j)
