t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B01_A_0000
0.11,(-0.3790052943602225-0.2301884731096128j),(0.0010440890379455271-0.0008533427950150129j),(-1.2291374238073341e-05+1.2868667900147048e-05j),(-0.27751472533340715-0.20738755630168104j),(1.3465662138080324e-05-1.3997341436184755e-05j),(0.19740609585592997-0.32844504231033556j),(-0.13913108705766136+0.5190880084061347j),(-2.1512920748920044e-06+3.0255724994589202e-05j),(0.0012388284879099667-0.0017412533254202941j),(2.612173675137603e-05+0.00024159719176011636j),(1.7662483259712282e-07+6.824945827992534e-07j),(-0.5843595440609717-0.27207495256601766j)
0.12,(-0.3823905247830899+0.09887076059049835j),(0.0007213435838746685-0.0013030882998132359j),(-6.836733937306313e-06+1.3729956052753177e-05j),(-0.3784188096054817+0.07168744054184982j),(7.807740132322131e-06-2.641179770321996e-05j),(-0.10325311895491326-0.4322734407208307j),(0.3030823158254259+0.5331018649934406j),(-3.0408188737206352e-06+3.3176400592457517e-05j),(0.0003814208506097713-0.00215919304565061j),(0.00022535313307895543+0.00019927185530329138j),(1.694977682767344e-07+4.970667651988568e-07j),(-0.5698726502728602+0.2384327877925619j)
0.13,(-0.17566195005450758+0.30022117417505156j),(0.0001697757196219362-0.0015942434017172j),(-2.2563901274247692e-06+1.259530024190345e-05j),(-0.22071824211229957+0.36207712046124446j),(-8.380161686877323e-06-3.7651689100673485e-05j),(-0.42989040035973-0.2673118137252709j),(0.6633911942017698+0.18243832561734558j),(-3.011930492849258e-06+3.571630316326547e-05j),(-0.0006032388167418285-0.0021234369287692883j),(0.00036944684485636716-8.083604450210743e-06j),(1.374721119039713e-07+3.489742630298992e-07j),(-0.19731857495221847+0.5577069092923187j)
0.14,(0.07290449492065064+0.2940623159457946j),(-0.000519031843403503-0.0016024465690534j),(9.523398887397901e-07+1.0279416095481085e-05j),(0.13462661075205248+0.44279910147605495j),(-3.640382495554378e-05-3.9040101397112426e-05j),(-0.5522508763770498+0.12839768250004316j),(0.6582558805740921-0.38020805336346253j),(-1.8935207050120336e-06+3.780093023544648e-05j),(-0.001464214900676677-0.0016159018038968108j),(0.00032230368232628116-0.0003149577772744006j),(9.79985641424043e-08+2.3709867412492892e-07j),(0.26989329050802546+0.497839746645149j)
0.15,(0.21895359097740524+0.1432104163345164j),(-0.0011814049323519238-0.0012629644236244373j),(2.7468161100366383e-06+7.564332796580286e-06j),(0.45609969834134667+0.20750851635497874j),(-7.043857154140423e-05-1.9226462161296895e-05j),(-0.3280985235074424+0.5321703047142351j),(0.20338291855217366-0.8029007015710063j),(3.127920235090314e-07+3.929771889879093e-05j),(-0.0019717247599601397-0.0007588358003876562j),(2.1683180752287902e-05-0.0005451702659718346j),(6.196430739819798e-08+1.5606774534789813e-07j),(0.5271184461046005+0.12616225881057638j)
0.16,(0.2236157142187961-0.030402049574117962j),(-0.0016241010410561274-0.0006143050827237765j),(3.3856804932085708e-06+5.023830383745943e-06j),(0.4900127984685614-0.2233351242699692j),(-9.413199171114266e-05+2.9873903559294012e-05j),(0.1634724449353568+0.6594973283040986j),(-0.47158331668394826-0.7560552542157226j),(3.396583517565009e-06+4.0069249949094176e-05j),(-0.0019941703367962827+0.0002166477297704751j),(-0.0004332706591429246-0.0004923490164205519j),(3.44142038878057e-08+9.93360154956635e-08j),(0.4263601494112619-0.29564822259735596j)
0.17,(0.13697382170040517-0.14259129572078397j),(-0.0016942214651601566+0.00019004932430722666j),(3.252303366428485e-06+2.970803864068934e-06j),(0.16021285269116436-0.5519789947989532j),(-8.228176348029993e-05+0.00010340277646062252j),(0.6300691803948147+0.3659847763333224j),(-0.9287027275726394-0.18852305773480244j),(6.9236206659548916e-06+4.012333351219195e-05j),(-0.0015451386059936332+0.0010422653196769586j),(-0.0007798205533618641-6.604246664090393e-05j),(1.6238790518519586e-08+6.088351382648723e-08j),(0.06011073631349732-0.4932137168814443j)
0.18,(0.024993699218275267-0.17931164585782194j),(-0.0013505665853454306+0.0009199046238038321j),(2.7156676898673496e-06+1.4963614565702202e-06j),(-0.33634836845056487-0.508393756830495j),(-1.14418910495465e-05+0.0001746451353301123j),(0.7413790443624698-0.21488512381211983j),(-0.8117294165029142+0.5793529438961753j),(1.0345019116400054e-05+3.978150928112361e-05j),(-0.0007812904571161677+0.0014999127281787946j),(-0.0007194594831789535+0.0005844658393699044j),(5.9226617521876926e-09+3.5819485613765854e-08j),(-0.31531993013329473-0.3567728932692704j)
0.19,(-0.08059136837491776-0.1590931817711649j),(-0.0007009762831722841+0.0013521603148552424j),(2.0551530666514548e-06+5.477696416118345e-07j),(-0.6387275664570521-0.07226899677625331j),(0.00012089404712190468+0.00019521015929295317j),(0.3682476791485382-0.719887994705661j),(-0.1275648641906877+1.0316866633539228j),(1.3287801848830302e-05+3.989052938159928e-05j),(4.941442572447592e-05+0.0014931471602497711j),(-0.0001317376973824429+0.0010816083406655647j),(1.0157418289211172e-09+2.0300374869875543e-08j),(-0.45671599761802667-9.492880173032618e-05j)
0.2,(-0.16908281381681206-0.08631447103086687j),(2.3697580947994477e-05+0.0013696664722011199j),(1.44292646233053e-06+5.467301895585258e-09j),(-0.48500137490409867+0.468502471405449j),(0.0002767545339143059+0.00011224027006866698j),(-0.28862150050603547-0.7873271446856474j),(0.7028533121749597+0.8125610741805124j),(1.6021937577553492e-05+4.190316677995048e-05j),(0.000690943754816684+0.0010768548002747542j),(0.0007642177611182368+0.0010156727091539025j),(-8.415739189765043e-10+1.1298564485300108e-08j),(-0.29007366283798885+0.3289736454806284j)
