N,E [H]
1,-15.508602652783262
2,-15.524972046273811
3,-15.525187445307223
4,-15.525337124554651
5,-15.526901883061946
6,-15.527107996919494
7,-15.527389200231397
8,-15.528593290771807
9,-15.529430601982554
10,-15.52969586766337
11,-15.531107029981417
12,-15.531628257599403
13,-15.531680377207024
14,-15.533208844125113
15,-15.533535143291566
16,-15.533731896387424
17,-15.534237131670597
18,-15.534458254435137
19,-15.5345390169687
20,-15.534695920697438
21,-15.536854869554382
22,-15.53685790123546
23,-15.537591282079802
24,-15.537817110612645
25,-15.537871103205271
26,-15.538236309371417
27,-15.538368804751471
28,-15.538375679651997
29,-15.53850030352959
30,-15.53865081936282
31,-15.53868752132747
32,-15.539072794280662
33,-15.539239201656684
34,-15.53931661087639
35,-15.539428012199066
36,-15.540096688729244
37,-15.543103282927218
38,-15.543205496955439
39,-15.54331709699741
40,-15.543324123581716
41,-15.543624143822099
42,-15.543653128810055
43,-15.54378756087639
44,-15.54382214165853
45,-15.543861134072523
46,-15.544238689506937
47,-15.544623547975469
48,-15.544624571995886
49,-15.544670278558801
50,-15.54522709926058
51,-15.545311515431084
52,-15.545552344107236
53,-15.545859785962177
54,-15.546691210331794
55,-15.54791323149217
56,-15.547988508087412
57,-15.548173772642755
58,-15.548440515934098
59,-15.5484927618424
60,-15.54861903415526
61,-15.549078887956128
62,-15.549221492678214
63,-15.549385474951537
64,-15.549999051434398
65,-15.55010100898072
66,-15.550235883634077
67,-15.550327407272558
68,-15.550456282540617
69,-15.550541484332618
70,-15.55057649954099
71,-15.550622140677204
72,-15.550626986161221
73,-15.550740233918065
74,-15.550945565653082
75,-15.55107109832891
76,-15.551075842988325
77,-15.551100060157038
78,-15.55127640899142
79,-15.551439264286389
80,-15.551503471278366
81,-15.551537181177538
82,-15.551918049303149
83,-15.551938330112106
84,-15.551948542751026
85,-15.551997735254119
86,-15.55200649543532
87,-15.5520538019411
88,-15.55216644000565
89,-15.55220829240339
90,-15.552318335515963
91,-15.552342104822092
92,-15.552364979467097
93,-15.552388427940581
94,-15.552389582205238
95,-15.552432239113
96,-15.552436499691053
97,-15.552462816584919
98,-15.552559493290282
99,-15.552591887065136
100,-15.552645209050542
101,-15.552656511135293
