N,E [H]
1,-14.634002746588315
2,-14.644538526245794
3,-14.651696620497768
4,-14.65543379564813
5,-14.657586823151512
6,-14.658696345660443
7,-14.660186449865447
8,-14.66019338008661
9,-14.661210904889453
10,-14.661493627549415
11,-14.661569010947295
12,-14.661765137843418
13,-14.661980516153083
14,-14.661980570976427
15,-14.662426957075409
16,-14.662429689060897
17,-14.662470544205846
18,-14.662709514437813
19,-14.662715988242741
20,-14.662794715965791
21,-14.662983008769471
22,-14.663124089694648
23,-14.66323987837513
24,-14.663258956547649
25,-14.663258998676543
26,-14.663264901938227
27,-14.663302444378537
28,-14.663377015921508
29,-14.66337991684682
30,-14.663386260065558
31,-14.663400937866308
32,-14.663407694071948
33,-14.6634222749993
34,-14.663465011321495
35,-14.663510621830856
36,-14.663511728536935
37,-14.663535453031
38,-14.663593006865092
39,-14.663621380257924
40,-14.663629481610746
41,-14.663667431335739
42,-14.663667547164497
43,-14.663674912420245
44,-14.663680103629314
45,-14.66368238498574
46,-14.66368522343816
47,-14.663694227921214
48,-14.663698713651216
49,-14.663698738316244
50,-14.663704016633512
51,-14.663705077600738
