N,E [H]
1,-146.75576245297364
2,-146.75775734430334
3,-146.75931687469023
4,-146.7593888736267
5,-146.76063902997953
6,-146.76366482313247
7,-146.76373577682756
8,-146.76385340171785
9,-146.76569863313924
10,-146.7658267540388
11,-146.7661125090081
12,-146.76619878512545
13,-146.77057367593397
14,-146.77069805262778
15,-146.7707360351399
16,-146.7715720728004
17,-146.77157397834023
18,-146.77158686239633
19,-146.77173556984627
20,-146.771946428727
21,-146.77196371735292
22,-146.77502822915022
23,-146.77625036452224
24,-146.77668741260965
25,-146.77673878738545
26,-146.78118368099737
27,-146.78161084256325
28,-146.78164341306154
29,-146.78186602789424
30,-146.78251785833666
31,-146.78281896762314
32,-146.7833895833799
33,-146.78358545170383
34,-146.78382555610645
35,-146.78443536402355
36,-146.78493479054765
37,-146.78503903088827
38,-146.78549473257902
39,-146.78569828884292
40,-146.78594676785755
41,-146.78624349146227
42,-146.78677982965752
43,-146.78822773969273
44,-146.78824233945232
45,-146.79070628075783
46,-146.7909457385939
47,-146.7910917691713
48,-146.79152186613868
49,-146.79177614727644
50,-146.79184180345092
51,-146.7919663478755
52,-146.79200407090826
53,-146.7922946632371
54,-146.79308704058332
55,-146.79458213463312
56,-146.79529742978534
57,-146.79544389214615
58,-146.7957172808614
59,-146.79574928589565
60,-146.79578964148618
61,-146.7957901742717
62,-146.8045468215736
63,-146.8045709083664
64,-146.80477734103107
65,-146.8050655577673
66,-146.80509408337505
67,-146.80517477331045
68,-146.8052808971099
69,-146.8053617562999
70,-146.805813440449
71,-146.80591244843998
72,-146.8061057424394
73,-146.80611995707793
74,-146.80613566380302
75,-146.80614918009036
76,-146.8062408669452
77,-146.80647203620177
78,-146.80654958211665
79,-146.80665661842846
80,-146.8066974557764
81,-146.80763105804257
82,-146.8076427054498
83,-146.8076431121719
84,-146.80774168976936
85,-146.80786740463932
86,-146.80787202984828
87,-146.80798721915622
88,-146.80804774651716
89,-146.80823926665812
90,-146.80839450071406
91,-146.8083976004952
92,-146.80880807262417
93,-146.80898838574163
94,-146.8094148730268
95,-146.8094341511227
96,-146.80948182002106
97,-146.80957531653564
98,-146.80984400996803
99,-146.80985216884957
100,-146.8099230543017
101,-146.80996254378132
