t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B00_z_0011_00,B00_z_0012_00,B00_z_0013_00,B00_z_0014_00
0.12,(1.8926086392826482+1.7746312214703377j),(0.601802501587461+1.252178189145963j),(0.42176096484686665+1.6491559231091166j),(1.0174340605937047+0.21027772410945528j),(0.9005102558231062+1.3012749052157295j),(0.20286247357798118+1.1037893875555331j),(0.7002206602177248+1.5094493279121888j),(1.2085177803082974+0.07957267517297156j),(0.4325820590988495+1.5166598376455265j),(0.3210359570977995+0.9993556609163972j),(1.6615439577509479+0.504350933347878j),(0.7040519675321333+1.2903681716754296j),(-0.8429580984780003+0.39083157484477976j),(0.5375217243979841+0.923129945271759j),(0.28697297673903044+1.5320099012394246j)
0.13,(1.8286484505506106+1.7401558206413434j),(0.5890663854061912+1.219315183350378j),(0.4179707090771881+1.5985312226962787j),(1.0118118932393816+0.20939731813363893j),(0.879781134777421+1.2690218842533008j),(0.19904055244116817+1.0743609430212435j),(0.6852806120594239+1.4664141389760792j),(1.2061756832677026+0.08135886282099214j),(0.42697100177025454+1.472019084741115j),(0.313233057121489+0.9737948401341329j),(1.643680082285134+0.5086575207208752j),(0.6886649250650023+1.2567335621075968j),(-0.8347469642894615+0.3835315909637903j),(0.5253373397331426+0.9016038988837743j),(0.2868539452849743+1.4865561391085411j)
0.14,(1.7698095552449622+1.7057221292414444j),(0.5768595979223269+1.1881216947801312j),(0.414070634334993+1.550961288317259j),(1.0063201550343015+0.2084835979387981j),(0.8602626213067691+1.238280122770196j),(0.19499836709580676+1.0463303796577383j),(0.6711802978273921+1.4257794195024538j),(1.2038313260915539+0.08301180703936213j),(0.4213741814004047+1.4299453853460675j),(0.3054993667351278+0.9494007500672738j),(1.6262374130077117+0.5121826207416937j),(0.6740439687733849+1.2247973063531195j),(-0.8269995062163202+0.37606757771420124j),(0.5135429799878496+0.8810114534416197j),(0.2862699642204027+1.4437126117257282j)
0.15,(1.7156930973895999+1.6715800844691608j),(0.5651495832738564+1.1585140835190724j),(0.41008594645308843+1.5062320504151858j),(1.000962722424424+0.20754352566358195j),(0.8418686054817387+1.2089889454265703j),(0.19076290710789304+1.0196323055985779j),(0.6578537011278808+1.3873990931651203j),(1.2014929008133437+0.08452893328525982j),(0.4158031580733854+1.3902729203511113j),(0.2978390635297225+0.9261244572550857j),(1.6092569767837306+0.5149655627738812j),(0.6601368328563377+1.1944759044786475j),(-0.8197054102092795+0.36846781942135487j),(0.5021212554566408+0.8613224822955599j),(0.2852790075946832+1.4033111788796628j)
0.16,(1.6659259498276335+1.6379262572792015j),(0.5539061940327276+1.1304139245634748j),(0.406038285165433+1.464148937255783j),(0.9957427593753905+0.20658412010832722j),(0.8245201131233926+1.1810896604146934j),(0.18635821658522728+0.9942048684439j),(0.6452415128207145+1.351138361224618j),(1.199168332399298+0.0859083953417958j),(0.41026762150946877+1.352849748428687j),(0.29025536052379663+0.9039193949136411j),(1.5927738731296692+0.5170470191076327j),(0.6468955642703355+1.1656908004746422j),(-0.8128530053472859+0.36075882405480314j),(0.4910552990722984+0.8425077937005528j),(0.28393189870427366+1.365197528907431j)
0.17,(1.6201613675175635+1.604912833166003j),(0.5431014345652938+1.1037475662205285j),(0.4019461983283462+1.424534630379496j),(0.9906627330480505+0.20561238697545534j),(0.8081446059305885+1.1545255804876389j),(0.1818056856937723+0.9699894880959997j),(0.6332902690950792+1.3168725984867584j),(1.1968652106318705+0.08714904099933815j),(0.4047756172024186+1.3175363169926406j),(0.28275060173968+0.8827411801031437j),(1.576817464542556+0.518468359053002j),(0.6342760608511424+1.1383680003059005j),(-0.8064294696445561+0.35296529613397026j),(0.4803287489632243+0.8245390623409556j),(0.2822732286698956+1.3292297385949976j)
0.18,(1.5780787291362661+1.5726552574321608j),(0.5327092316108578+1.0784457201337116j),(0.39782553856916403+1.3872271052135636j),(0.9857244339507037+0.2046352532183888j),(0.7926753470832046+1.1292420092401951j),(0.17712431133825673+0.9469306004909761j),(0.6219516062702218+1.2844863594754317j),(1.1945907289645967+0.08825037376263516j),(0.3993337370900738+1.2842041448468275j),(0.27532634824887164+0.8625474367411526j),(1.561411622862689+0.5192710807008613j),(0.6222376595147485+1.1124377110631913j),(-0.8004210219729458+0.34511012733981816j),(0.4699257298230515+0.807388758230079j),(0.2803421387447272+1.2952769905075727j)
0.19,(1.5393826617016748+1.5412386945304994j),(0.5227052291725016+1.0544430805133944j),(0.3936897963146829+1.352077915145608j),(0.9809289998368144+0.20365950588984374j),(0.7780508267388737+1.1051862001820059j),(0.17233093082637044+0.9249754124527283j),(0.6111816149544318+1.2538724826601786j),(1.192351630782711+0.08921251167795076j),(0.39394728094797704+1.2527346535790216j),(0.26798345600490836+0.843297624700349j),(1.5465750172700747+0.51949632103482j),(0.6107427689000066+1.0878340006682765j),(-0.7948130995389884+0.33721440225682187j),(0.4598308337170883+0.7910300737025856j),(0.27817298874994467+1.263218428299624j)
0.2,(1.5038017679657807+1.510723452654934j),(0.5130666051447347+1.0316779703834118j),(0.38955038047745594+1.3189506842346708j),(0.9762769426230403+0.20269173578136773j),(0.7642142421417668+1.0823072948606944j),(0.1674404318581799+0.904073667781726j),(0.6009402790271794+1.2249312820438427j),(1.1901541633424175+0.0900361443388545j),(0.38862039357416245+1.2230181282511563j),(0.2607221466072652+0.8249528752007035j),(1.5323214310147781+0.5191844428831658j),(0.5997565414788326+1.064494477482129j),(-0.789590520729183+0.32929741688317843j),(0.4500291008304617+0.7754368491888851j),(0.2757959300879076+1.2329421332141333j)
0.21,(1.4710871177853821+1.4811495174049265j),(0.5037719073897756+1.0100920128716255j),(0.38541685594808056+1.2877197793786102j),(0.971768177622765+0.20173828605488386j),(0.7511130273969451+1.0605562452222952j),(0.16246594175945356+0.8841774246119981j),(0.5911909872387959+1.1975698167129856j),(1.1880040395126883+0.09072248906892327j),(0.38335618192188964+1.1949527908583604j),(0.2535420719834078+0.8074758326870184j),(1.5186600956438787+0.5183746954965409j),(0.5892465807404463+1.0423599891083182j),(-0.7847376334437282+0.32137670777767424j),(0.44050600055821454+0.760583498432816j),(0.2732373985759322+1.2043442072699966j)
0.22,(1.4410106196732027+1.4525403262070304j),(0.4948009072257344+0.989629825774508j),(0.3812971453384483+1.2582691374085708j),(0.9674020544229721+0.20080520598462684j),(0.7386984283155433+1.0398857245046917j),(0.15741899850423932+0.8652408440176469j),(0.5819001071461201+1.1717012301002443j),(1.1859064073094907+0.0912732471984325j),(0.3781568155951017+1.168443972480101j),(0.24644237383730366+0.7908305033712123j),(1.5055960332063518+0.5171049442844587j),(0.5791826795657585+1.0213743396593797j),(-0.7802384492833717+0.31346808994775405j),(0.4312474132476025+0.746444933786753j),(0.2705205397282291+1.1773279506075565j)
0.23,(1.4133633546096231+1.4249059009420868j),(0.486134468511652+0.9702387378125272j),(0.37719770105421785+1.2304912264316095j),(0.9631773887752498+0.1998982098546253j),(0.7269251180921493+1.0202500302183717j),(0.15230970574342317+0.8472199898183372j),(0.5730366126980904+1.147244151718804j),(1.1838658270950326+0.09169056125442575j),(0.37302361351641755+1.14340337210966j),(0.23942173859040794+0.7749821106122744j),(1.4931303986082467+0.5154114643881853j),(0.5695365863568476+1.001484024754584j),(-0.7760767641428562+0.30558570181618244j),(0.42223961282674305+0.7329964921916383j),(0.26766557697471727+1.1518031221603147j)
0.24,(1.3879539286524734+1.3982454415819714j),(0.4777544307114179+0.9518685251647871j),(0.37312365267509673+1.2042861239417209j),(0.9590924949230767+0.1990226409928545j),(0.7157508499278422+1.0016049821531827j),(0.1471468737675917+0.8300726395162736j),(0.5645717581143318+1.1241221550194642j),(1.1818862562146413+0.09197697377357934j),(0.3679571190841115+1.1197483918899034j),(0.2324784484342566+0.7598969573037343j),(1.4812608158921499+0.5133287922488223j),(0.5602817958832181+0.9826379835359694j),(-0.7722362659043902+0.297742055826574j),(0.41346925049079164+0.7202138624230475j),(0.2646901315517452+1.1276852742847048j)
0.25,(1.3646068820003032+1.3725494695784115j),(0.46964350449516384+0.9344711670284862j),(0.3690789337349389+1.1795606968872367j),(0.955145217845446+0.1981834408681494j),(0.7051361430548395+0.9839078178390439j),(0.14193814808010496+0.8137581062909135j),(0.5564787918119372+1.1022632658037594j),(1.1799710407611812+0.0921353883292177j),(0.36295716573253195+1.0974015399580723j),(0.22561042902113268+0.745542295437305j),(1.4699817036847989+0.510889629086173j),(0.5513933621588446+0.9647873670202752j),(-0.7687006300226167+0.28994809345622247j),(0.4049233395660514+0.7080730141581161j),(0.2616095013586215+1.104895153242651j)
