t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014
0.36,(-4.992274192213845e-07-2.894115692185892e-07j),(0.0007743113347581348-0.0017732351341194596j),(-0.00029699108717975064-3.7094564332161684e-05j),(0.00039368632132344623-0.0006459872256805455j),(-0.00010558149181709404-0.00028966708887812287j),(0.025549408103545043+0.03910598790997219j),(2.5934623405381983e-05+0.00015148173908188035j),(-1.3951715845800384e-05+0.00010071689930842211j),(-0.000431565052772518+4.908818538039325e-05j),(-0.022587882226491253-0.05808652705379979j),(6.113203891021466e-06+3.9895630246611384e-06j),(0.0003769216155584982+0.0005047628097230136j),(-0.0022405152799956467+0.0006311398653563426j),(-0.0015258138758263646+0.010028516589731964j),(0.0014472121221255287+0.0005261206408727917j)
0.37,(-6.395110913118231e-07-2.445165110893174e-07j),(0.0004781268048696908-0.0020741316556038432j),(-0.00030362767064815967-1.7308080737435866e-05j),(0.0002407910060742937-0.0007490681746798111j),(-0.00018189316166749938-0.0002769613954785707j),(0.034650747383213124+0.04012086513272308j),(2.6919603663446363e-05+0.00015102639723617162j),(8.777342984000179e-06+0.00010426939650887025j),(-0.00047288680162571313+0.0001335656591730975j),(-0.03568913851381183-0.062423745783350255j),(7.357301869447053e-06+2.955311899092327e-06j),(0.00047791503654183925+0.0004633233513673637j),(-0.002275329626435135+0.0007337932211651794j),(0.00087161262475663+0.012551555902713132j),(0.0016657651934814707+0.0005426975417708105j)
0.38,(-7.862428781762181e-07-1.6563479635384268e-07j),(8.536571697643157e-05-0.00232979301964517j),(-0.0002982812690357252+2.7159100111478476e-07j),(6.44577587331602e-05-0.0008157224372137837j),(-0.00026074379072644116-0.00023808537756272996j),(0.04479430927710476+0.0396136510340087j),(1.9672127290302055e-05+0.00014847130856842305j),(3.190294627715782e-05+0.00010279980209729391j),(-0.000501263290749727+0.00023424564498807175j),(-0.0509892986655794-0.06466288571674413j),(8.434959069814442e-06+1.6239966361922796e-06j),(0.000566799501707438+0.0003972020360291557j),(-0.0022995221549370766+0.0008481629037472721j),(0.004267849827251508+0.014775378876872533j),(0.0019030528594303183+0.0005560548713354477j)
0.39,(-9.323467537207043e-07-4.839593130311031e-08j),(-0.0004009063712510513-0.0025137610061712265j),(-0.00027933969524433246+1.135341796141778e-05j),(-0.00012668579398697211-0.0008415187385192389j),(-0.0003347005143625222-0.00016956228074286225j),(0.05576753314351558+0.03726952130461519j),(1.4550462915313573e-06+0.00014616774235820464j),(5.4361968505536474e-05+9.64078948713398e-05j),(-0.0005123023002665481+0.00034932600499590333j),(-0.06822802369223649-0.06418558099975932j),(9.284540856354482e-06+2.4524829405357892e-08j),(0.0006355338854828063+0.00030918410721595405j),(-0.0023118748146683343+0.0009733520702095002j),(0.008677893747605577+0.016415251381729837j),(0.0021620263776881165+0.0005676657791867419j)
0.4,(-1.0693934546242038e-06+1.1040690837944117e-07j),(-0.0009711238091812532-0.0025987236958675605j),(-0.0002461952709957732+1.063527232325941e-05j),(-0.00032344465052922423-0.0008239876441616382j),(-0.0003948012493645652-6.972290093172962e-05j),(0.06728540771060793+0.03279817865301081j),(-3.015518504178654e-05+0.0001476321773480464j),(7.517308764329889e-05+8.539508978600413e-05j),(-0.0005018589934547219+0.00047585130995763503j),(-0.08700248126989739-0.060393629888248666j),(9.850497294889044e-06-1.8030775110392985e-06j),(0.0006764427645139297+0.0002044956828741215j),(-0.0023112226389328033+0.0011082118697006442j),(0.014046887802575682+0.01716529422255826j),(0.0024474367076772635+0.0005787513720753614j)
0.41000000000000003,(-1.1877804926801317e-06+3.1255732114891634e-07j),(-0.0016087579662566-0.002558024981528174j),(-0.00019962005788944784-8.033690700254677e-06j),(-0.0005164567510857398-0.0007625961332424832j),(-0.0004309605982485845+6.079418345205284e-05j),(0.07899316852773419+0.02594822604297056j),(-7.690811176885992e-05+0.00015758122908765155j),(9.346545186119579e-05+7.023143400300645e-05j),(-0.0004663449792902743+0.0006097460759319742j),(-0.10676711262699792-0.05273818536964628j),(1.008488032726286e-05-3.8092440351114404e-06j),(0.0006828863513147801+9.081944088322506e-05j),(-0.002296499259130954+0.0012513553838129053j),(0.020242628199657733+0.016714173477100268j),(0.002766099854509131+0.0005896512259220446j)
0.42,(-1.276933064863148e-06+5.581860739674505e-07j),(-0.0022901897200617266-0.0023672879139979095j),(-0.00014212562345644825-5.138735270388364e-05j),(-0.0006965435438696071-0.0006586592916285413j),(-0.00043250404852505464+0.00021863187227382048j),(0.0904713925620856+0.016520915102741705j),(-0.00013948522808019593+0.000181875570374629j),(0.0001084975108280697+5.152222478098881e-05j),(-0.0004030316589997596+0.0007459356655318143j),(-0.126838623001331-0.04074900482068604j),(9.94839680106301e-06-5.936473924776623e-06j),(0.0006499616221324127-2.1850309186751738e-05j),(-0.002266782085081077+0.001401179350002598j),(0.027051212996542805+0.014762499429691073j),(0.003127008724766103+0.0005990524400910175j)
0.43,(-1.3255281979777936e-06+8.455799492827191e-07j),(-0.0029849477122494915-0.002006146243337275j),(-7.828891117823145e-05-0.0001263631252745157j),(-0.0008550097522346833-0.0005152133803523719j),(-0.00038883098498617964+0.0003974200212569111j),(0.10124352163522041+0.0043830603218734665j),(-0.00021708943636974056+0.0002273586073363455j),(0.00011966775242013732+2.9976540918204968e-05j),(-0.0003103259787805827+0.0008785432050187787j),(-0.1464064263696079-0.024063172044873037j),(9.411127343246191e-06-8.120831045280975e-06j),(0.0005751827079977913-0.00012155111738775821j),(-0.0022213351809917473+0.0015558937623589846j),(0.03417652963322513+0.011041982878389868j),(0.003541230915676024+0.000603085111418827j)
0.44,(-1.3217093784279284e-06+1.170997880246319e-06j),(-0.0036563409959565005-0.0014599018610775708j),(-1.500701272326285e-05-0.00023962449338572948j),(-0.0009838968074314931-0.0003368604797052298j),(-0.00029014927250522516+0.0005876316694993109j),(0.11078513704117879-0.010521373883184689j),(-0.0003070459691267278+0.00030158665097520284j),(0.0001265194038907571+6.378745333267949e-06j),(-0.00018799585680217542+0.001001169218154681j),(-0.1645477874994203-0.0024521042567787615j),(8.452956829873887e-06-1.0293286679270236e-05j),(0.0004591074924508981-0.00019484648408522716j),(-0.0021596477377270134+0.0017135588217839421j),(0.041243593618555556+0.00533457300247369j),(0.004021557666957203+0.0005943687239421457j)
0.45,(-1.2533109528385923e-06+1.5284819259970529e-06j),(-0.004262430439045418-0.0007210916596553756j),(3.8334592419780335e-05-0.00039699017622500703j),(-0.00107619491161033-0.00012960143230406366j),(-0.00012826839987550487+0.0007765913533105453j),(0.11853486099885704-0.028160882178209414j),(-0.0004044344381006323+0.000412445360899605j),(0.0001287409243897471-1.8436262920731855e-05j),(-3.7323211065257524e-05+0.0011072299882117658j),(-0.180247439057137+0.024153258298822228j),(7.0638799346126205e-06-1.2380832531674898e-05j),(0.00030588265880149615-0.0002274947288547128j),(-0.002081466306572647+0.001872128494730402j),(0.0478056255625414-0.0025082970049722575j),(0.004581869903833439+0.0005610409421663988j)
0.46,(-1.1080763798548532e-06+1.9096433850313936e-06j),(-0.004757370458377442+0.00020916660184065717j),(6.981039961846534e-05-0.0006027867737154049j),(-0.0011260234628941083+9.933968668987515e-05j),(0.00010259088404304355+0.0009486595367135997j),(0.1239066536915762-0.048407400211902867j),(-0.0005017781013695994+0.0005676569372861776j),(0.00012616404885786492-4.3604211971545315e-05j),(0.000138830621109614+0.001190348292920421j),(-0.19242156706788122+0.0556398663363098j),(5.244266557272763e-06-1.4307390601044615e-05j),(0.0001236566828557204-0.0002052454030292155j),(-0.0019868191864530244+0.0020294993321726576j),(0.05335527191923513-0.012547743592134272j),(0.005236200040689012+0.0004858634033909334j)
0.47000000000000003,(-8.739202545574371e-07+2.303413199967304e-06j),(-0.005093006174015971+0.0013200189254589246j),(6.502872224155808e-05-0.0008591335007942493j),(-0.0011287886093858004+0.000341688676113615j),(0.00040497590747130504+0.0010855815220200563j),(0.1263035553498764-0.07102845487130416j),(-0.0005888095465682759+0.0007741752774038708j),(0.00011876088954238095-6.824918211715902e-05j),(0.0003360596076438952+0.0012447565565429151j),(-0.19994591884117702+0.09169257321228741j),(3.005278084594193e-06-1.599453535557501e-05j),(-7.515309460785628e-05-0.00011479173322021065j),(-0.00187603167048666+0.002183563083354633j),(0.05733951924514834-0.02474036941235298j),(0.005997479698958121+0.0003454347887564183j)
0.48,(-5.392484082774513e-07+2.6957549822613444e-06j),(-0.00522074750034651+0.00258996722078509j),(7.357603926439068e-06-0.001165175236785421j),(-0.0010813304625060763+0.0005882959756033423j),(0.0007773981925791552+0.0011670227327702225j),(0.12513289839472036-0.0956806539296342j),(-0.0006523414588445524+0.0010374746277841572j),(0.00010664137031381862-9.14988672289076e-05j),(0.0005485467366341341+0.00126569318677262j),(-0.20168814407721317+0.13177741987660105j),(3.6952142678464815e-07-1.736215428758923e-05j),(-0.00027379637107632064+5.5156947247194825e-05j),(-0.0017497312893317116+0.002332261133572026j),(0.05917881663772429-0.038923130485530734j),(0.00687596222237451+0.00010960503046375503j)
0.49,(-9.334508844219513e-08+3.0692974253653277e-06j),(-0.005093631589635346+0.003986379681426986j),(-0.00012167489557885305-0.0015163059450191453j),(-0.0009820621460233593+0.0008293223052136861j),(0.0012136111090506171+0.0011712855133851738j),(0.11982269717599664-0.12190453791452158j),(-0.0006762684857425017+0.0013607510227906707j),(9.005155448139372e-05-0.00011249867361195013j),(0.0007693123875010677+0.0012497840293313705j),(-0.19654382163753906+0.17512904787875175j),(-2.6280587639534964e-06-1.832914126436371e-05j),(-0.0004513208869333043+0.00031276248449519826j),(-0.0016088427380098957+0.002473638513563129j),(0.05828937981883971-0.05480179644191049j),(0.007877387030229431-0.00025879181034134087j)
0.5,(4.730953914698395e-07+3.4029264307346863e-06j),(-0.004668541006411734+0.00546529454156828j),(-0.0003417945587019174-0.001903384253548654j),(-0.0008311103185062296+0.0010544363021640472j),(0.0017019536810773295+0.001076213741219036j),(0.10983981917027646-0.14912092767713847j),(-0.0006417262948029704+0.0017440350855608823j),(6.937337552513773e-05-0.0001304255989181767j),(0.000990559499434816+0.001195360900278887j),(-0.18347658701104153+0.2207424552809238j),(-5.938910921734459e-06-1.881429086164647e-05j),(-0.0005829542753571783+0.0006618710631959224j),(-0.001454572609057918+0.0026058955752174956j),(0.05410913861292203-0.07194244841383676j),(0.00900087035785261-0.0008038534282713756j)
0.51,(1.167269715868049e-06+3.671326389939572e-06j),(-0.003908517481781781+0.0069716691629798854j),(-0.0006731846244549759-0.0023119900030460216j),(-0.0006304553054199742+0.0012530393315947894j),(0.002224829896061638+0.0008602893110852024j),(0.09470989521825837-0.17662913940665864j),(-0.0005274410156320056+0.0021832438395229096j),(4.512556920722121e-05-0.00014450341865154695j),(0.0012041167146609772+0.001102709322999222j),(-0.16156204299701962+0.2673704422569294j),(-9.499297161954928e-06-1.8737569595061493e-05j),(-0.0006407424224353081+0.0011008467485618804j),(-0.001288384673814154+0.002727435123687515j),(0.04612648309244258-0.08976786861069766j),(0.010236619071130253-0.0015760446550527655j)
0.52,(1.9932850469640575e-06+3.844534997153667e-06j),(-0.002785105159592649+0.008439885052342073j),(-0.0011354710808981964-0.0027217240607211772j),(-0.0003840725622839236+0.0014145232885841574j),(0.002758303943030063+0.0005039178885746494j),(0.07403916427658061-0.2036074568716204j),(-0.00031029905289460817+0.00266916996428005j),(1.7965367765288087e-05-0.00015402027846629534j),(0.0014019512428320037+0.0009741911317288116j),(-0.13003495116191116+0.3135270779500412j),(-1.322835865709487e-05-1.8021978602217855e-05j),(-0.0005944777083013644+0.0016213713444678288j),(-0.0011119667006835793+0.0028369032631703757j),(0.03391160938110671-0.10755784035433415j),(0.011563464073953759-0.0026311681068026203j)
0.53,(2.950891600621636e-06+3.8875429352549705e-06j),(-0.0012807325798887958+0.00979474869225039j),(-0.0017464516192935034-0.0031056316157087663j),(-9.806329139684883e-05+0.0015285825914177287j),(0.003271922831507694-9.07530756302235e-06j),(0.0475382617485953-0.22911651550892556j),(3.381072033945931e-05+0.0031864641110583114j),(-1.1310218297439917e-05-0.00015835012426859672j),(0.0015767404745857107+0.0008142521140151915j),(-0.08833960181809482+0.35749914270252603j),(-1.7026053701101375e-05-1.659624082307328e-05j),(-0.00041294881639733114+0.002207371571110322j),(-0.0009271905748202946+0.0029332221896598413j),(0.0171498435357827-0.12445619590627892j),(0.012946366733972176-0.004028663862652189j)
0.54,(4.0338222226693785e-06+3.7600242314465794e-06j),(0.0006089913890631043+0.010952892266483154j),(-0.0025205648038865856-0.0034297851679278356j),(0.00021923958011226178+0.0015855864796963978j),(0.003728791967378502-0.0006897653830870796j),(0.01504776888025444-0.25210624202074106j),(0.0005288487788604086+0.003712637738427376j),(-4.176509763603489e-05-0.00015697868141880243j),(0.0017224807497381895+0.0006292733942496144j),(-0.03618198361627567+0.39736636488396265j),(-2.0771110084701894e-05-1.4398508850942272e-05j),(-6.550177251953525e-05+0.0028340710269682363j),(-0.0007360674663766992+0.003015613823171933j),(-0.004324441762070037-0.139484183717367j),(0.014333983240457582-0.005829246590701568j)
0.55,(5.227717778251709e-06+3.416341038776482e-06j),(0.0028730289228385162+0.011824679019948835j),(-0.003467074802491683-0.0036531213227136723j),(0.0005572093003525131+0.0015770269387998417j),(0.00408601134331702-0.0015422599711429727j),(-0.0234344619797954-0.27142754331810154j),(0.0011971125353400804+0.004217168539827577j),(-7.232869659508796e-05-0.0001495347203122653j),(0.0018350829028077114+0.0004272641581600855j),(0.02641664857265129+0.4310325103592725j),(-2.4319338240422628e-05-1.1381362163158043e-05j),(0.00047603415075741563+0.003467311508700808j),(-0.0005407002028767415+0.003083613645100332j),(-0.03049367409409425-0.15156209060968653j),(0.01565646247041766-0.00809171469316639j)
0.56,(6.507514156785042e-06+2.8059866314411307e-06j),(0.005482871145610698+0.012316424976812278j),(-0.0045879859271021105-0.0037275693990702513j),(0.0009029340664277999+0.0014960372611846197j),(0.0042954828784277175-0.0025616990711431835j),(-0.06772531542165448-0.2858492037817514j),(0.0020573305790149133+0.004660748229094933j),(-0.00010180707276642202-0.00013582613817541823j),(0.0019129297222352886+0.00021734960426831413j),(0.09906782080569235+0.456267300876213j),(-2.7502629860111735e-05-7.518197012838789e-06j),(0.0012350975054370528+0.0040630970016887575j),(-0.0003432347471374904+0.0031370743271538428j),(-0.06112482551481822-0.15953744832431802j),(0.016823552552152513-0.010869049311267509j)
0.5700000000000001,(7.834324420005366e-06+1.8747162891609942e-06j),(0.00839064043955949+0.012333079728941248j),(-0.005875675543550582-0.003598609906866438j),(0.0012413285163688445+0.0013379855900645453j),(0.004305231903208903-0.003732144181521816j),(-0.11742823316179063-0.2940810376419674j),(0.003122301730786878+0.004994807407408256j),(-0.00012890320942918117-0.00011588019726434716j),(0.0019573279247791474+9.065729884119881e-06j),(0.180966506285394+0.4707608444299356j),(-3.012924743519363e-05-2.811156024872249e-06j),(0.002227770706882468+0.00456755149601684j),(-0.00014581302084939083+0.0031761593651977614j),(-0.09573960575981955-0.16222180600071107j),(0.01772325080353565-0.014203626951081613j)
0.58,(9.15187807226705e-06+5.666145355721018e-07j),(0.011527534341910214+0.011781490070956128j),(-0.007310301661175491-0.0032064165489371806j),(0.0015553905153095982+0.0011011284787822546j),(0.004061378947353985-0.005024483906424145j),(-0.17190608474726407-0.2948042480507162j),(0.004396070720661581+0.005161478555320138j),(-0.00015224955836717454-8.998596828238561e-05j),(0.0019728191259035556-0.00018852761036697687j),(0.2708475277346055+0.4721920191544212j),(-3.198611546257498e-05+2.699508794767679e-06j),(0.0034598867305096898+0.0049174602797298714j),(4.94709492176241e-05+0.003201327314957942j),(-0.13359034118174704-0.15843686289338244j),(0.01822136219060516-0.018121544754722354j)
0.59,(1.0382644724619354e-05-1.1724893899979782e-06j),(0.014802559056121004+0.010574118562379331j),(-0.008857054752831797-0.0024877075160394772j),(0.0018266393834651083+0.0007872986468598956j),(0.0035108299105722184-0.006394466968944284j),(-0.23025667603773098-0.28670983467719663j),(0.005870635712746228+0.005094165849148989j),(-0.0001704555923248143-5.873588590730818e-05j),(0.0019672395693238905-0.0003679024648586978j),(0.3669506290315294+0.4583106884909399j),(-3.2843894106954473e-05+8.924845500607959e-06j),(0.004923866115157397+0.00504148684595144j),(0.00024061012657455768+0.0032133077721959156j),(-0.17364246435499178-0.14706909857463066j),(0.018162161128724433-0.022626138613084955j)
0.6,(1.1423873340218073e-05-3.3898937706245254e-06j),(0.018101789134885256+0.008633214892908173j),(-0.010463390451950022-0.0013784492187878849j),(0.0020357747110949925+0.000402575941275992j),(0.002604756740044372-0.007781070565062376j),(-0.2912930201962825-0.26854492221269227j),(0.007522249065329091+0.004718919059527024j),(-0.0001821725979489554-2.30614825571215e-05j),(0.0019514957157888509-0.0005242652038611561j),(0.4669985999940832+0.4270327120891091j),(-3.2465673903867675e-05+1.5716026789146707e-05j),(0.006595452291453764+0.004862163325455982j),(0.0004257174807194509+0.0032130700894875967j),(-0.21456707220551446-0.12713140506119036j),(0.017370478520850156-0.027690899066118727j)
0.61,(1.214397788985309e-05-6.1186859403116274e-06j),(0.021288125175937457+0.005895333973690261j),(-0.012056399350141677+0.00018244068151454951j),(0.0021635801550414263-4.2117831578619485e-05j),(0.0013029111674658011-0.009105395357618633j),(-0.3535302089291503-0.23916674161808402j),(0.009307388779484116+0.003956849603132485j),(-0.0001861765264754487+1.5742633192154504e-05j),(0.0019389461989427564-0.0006568654867187766j),(0.5681913260906519+0.37654579471614j),(-3.0620139139969005e-05+2.2853464980854777e-05j),(0.008430396183035227+0.00429876546519589j),(0.0006030520545707443+0.0032017862449113476j),(-0.25474431084844223-0.09783010217169814j),(0.01565543638485605-0.03325195555445447j)
0.62,(1.2380102038077464e-05-9.367843999372388e-06j),(0.024201784694072664+0.0023164974408007586j),(-0.01354063805408808+0.0022481527101245284j),(0.0021921002458962333-0.0005305766559306751j),(-0.0004211172653934091-0.010270466953737465j),(-0.41518131959955484-0.19760479279556298j),(0.011158640900582406+0.0027279466014053944j),(-0.00018146856104819917+5.601348210977561e-05j),(0.001944313079186833-0.0007702415099574659j),(0.6672201224332134+0.3054267974812643j),(-2.7100127450019835e-05+3.0037672213392687e-05j),(0.01036143012437372+0.003271416758005588j),(0.0007710374652219402+0.0031807896188980342j),(-0.2922820762210046-0.05863837919116527j),(0.012816543895604755-0.03920039071012546j)
0.63,(1.1937788077894718e-05-1.3109410589229743e-05j),(0.026661522733754432-0.002122338777307972j),(-0.01479675837212308+0.004857781870128206j),(0.002106074271883569-0.0010411252913591468j),(-0.0025738653474640496-0.011162250155054605j),(-0.47416515078115756-0.14312920847702537j),(0.01298077997942746+0.0009565128894231658j),(-0.00016738992352208375+9.574167542312934e-05j),(0.0019820407442488045-0.0008753082274173675j),(0.760306325445412+0.21276464903508752j),(-2.174691612857068e-05+3.688379132202038e-05j),(0.012295706742119043+0.0017063515139123103j),(0.0009282730345644346+0.0031515310339136214j),(-0.3250505926051859-0.009370791569261752j),(0.008652166458684416-0.045375004695468395j)
0.64,(1.0594165612752936e-05-1.7262737252066808e-05j),(0.02846683812627316-0.007409402921713598j),(-0.01568143828361324+0.008028803409521414j),(0.0018945921524676263-0.0015468038261075012j),(-0.0051353288238824854-0.01165233687062202j),(-0.5281283569567152-0.07532368513453344j),(0.01464753908153954-0.0014214924987133292j),(-0.00014374446058109321+0.00013262891514921236j),(0.002064091080756899-0.000990068924009269j),(0.8432680369485803+0.09828526611037797j),(-1.4480177169613375e-05+4.292233333543518e-05j),(0.014113152399078755-0.00045752178193913303j),(0.0010735377845720187+0.0031155334919627953j),(-0.35073605266214775+0.04974359298325795j),(0.002970777417605399-0.05155618737055258j)
0.65,(8.106235264490223e-06-2.1676058795806464e-05j),(0.029401283124196584-0.013496222700891838j),(-0.016029099776434252+0.011748398627285155j),(0.001552877339052373-0.0020160356262937064j),(-0.008052084514605299-0.011602662607169804j),(-0.5744836328323744+0.005840576069878187j),(0.015999627085567066-0.004449102839084482j),(-0.00011091804172563773+0.00016418826001832955j),(0.0021971792275847024-0.0011398434711807329j),(0.911616509992205-0.037529772849488385j),(-5.332451791083629e-06+4.760894046308707e-05j),(0.015666022254774405-0.0032609715513058496j),(0.001205787958296223+0.003074346584058287j),(-0.3669122306997127+0.11799606228186646j),(-0.004395226229547158-0.057461712546394275j)
0.66,(4.226576610849693e-06-2.6106524461767855e-05j),(0.029236949802857553-0.02029134472354217j),(-0.015656178453365165+0.015963787005336905j),(0.0010840880676369932-0.002413877828761835j),(-0.011230576956668493-0.010872748030051595j),(-0.6104666793043795+0.09993182791993203j),(0.016844878430429158-0.008136798749736973j),(-6.998138372165091e-05+0.00018789148315655197j),(0.002379496915271535-0.0013565329953389082j),(0.9606848437762664-0.19333372722011594j),(5.513719362677946e-06+5.034638357249233e-05j),(0.016780294450800027-0.0067154983344445375j),(0.0013241491562149563+0.0030295022430024596j),(-0.37113281131508163+0.19414141589867373j),(-0.013572762826027242-0.06274540539974659j)
0.67,(-1.2715185548521463e-06-3.02006055475212e-05j),(0.027740384930767286-0.027654170898910875j),(-0.014368561915116717+0.020572203191845738j),(0.000500939229603973-0.002703934178715639j),(-0.014531422844731016-0.009329741094221883j),(-0.6332127666885617+0.2059911692350439j),(0.016961466230875008-0.012449069060068613j),(-2.2757693115336514e-05+0.00020136389457314785j),(0.0025971464442708695-0.001676767437994544j),(0.9857885181283924-0.3668257332674937j),(1.7689933476015855e-05+5.0521681267253466e-05j),(0.017259346927937225-0.010793648041439508j),(0.001427904276868291+0.0029824723114244196j),(-0.36104185011311357+0.27635850364942827j),(-0.024629183749729087-0.0669998839202442j)
0.68,(-8.557230450493472e-06-3.347820154278682e-05j),(0.024679908498293095-0.035388652499035715j),(-0.011972942468448646+0.025411302616119846j),(-0.00017307499376848965-0.00285095170604376j),(-0.017765558469356683-0.006861467421103069j),(-0.639853521410062+0.3224770003977042j),(0.016105371095473234-0.017289470299898954j),(2.8164766054912792e-05+0.00020262025033359845j),(0.002820597232228183-0.002138457379787409j),(0.9824158502433776-0.5546893006819023j),(3.061257989590634e-05+4.756052822030901e-05j),(0.01689049849483315-0.015418767166011474j),(0.0015164787826025307+0.0029346289043138086j),(-0.33450070658481584+0.36223071755055336j),(-0.03755194800320362-0.06976449232018125j)
0.6900000000000001,(-1.7692703831183052e-05-3.532505174810802e-05j),(0.019835048505995483-0.04323770141288689j),(-0.00829245085790517+0.030251304288686727j),(-0.000903143061638852-0.0028240480944459277j),(-0.02069364555063994-0.0033923499415646524j),(-0.6276320496922276+0.4472262826279071j),(0.014023194296690484-0.022485389085223746j),(7.949620698111371e-05+0.00019032662848165j),(0.003001683842188856-0.002775829809128764j),(0.9464435360087087-0.7525695839751443j),(4.346746438675818e-05+4.0999330548943304e-05j),(0.015454914518370829-0.020455358133709446j),(0.0015894244359837262+0.0028872076730818205j),(-0.2897265739500623+0.4487561679214472j),(-0.05222837372718181-0.07053946343868063j)
0.7000000000000001,(-2.8570500062169027e-05-3.4999829728488934e-05j),(0.013007741368717667-0.0508780250474834j),(-0.003186890313436533+0.034790344975213446j),(-0.0016435452016296086-0.0026004114769657936j),(-0.02302982470687235+0.0010983178801310862j),(-0.5940345896438782+0.5774379655624541j),(0.010471464084238963-0.027773803231095365j),(0.00012740140261097998+0.0001640642597954102j),(0.0030717111315430577-0.0036125255002336047j),(0.8743698333206547-0.9550954408547156j),(5.521660123524823e-05+3.0572716596932324e-05j),(0.012741147058279598-0.02570049489294171j),(0.0016464033619019958+0.0028412748003773325j),(-0.22543667771913217+0.5323873325714241j),(-0.06842715708389366-0.06880698450268773j)
0.71,(-4.084060161013669e-05-3.1663924156418185e-05j),(0.004036217595729334-0.057915786297482535j),(0.0034226610608688018+0.03865505905020935j),(-0.0023392763183209004-0.0021692164613035573j),(-0.024451364529691055+0.006556658624403714j),(-0.5369354016541055+0.7096841345618572j),(0.005243305447426603-0.03279039289218992j),(0.0001677583091000536+0.0001245622842060907j),(0.0029416362509853628-0.00465290021866539j),(0.7635582751661473-1.155954157154308j),(6.46364248874469e-05+1.6310797772637205e-05j),(0.00856278422696133-0.03087772152814471j),(0.00168717387382108+0.0027976981449318126j),(-0.1409941391435288+0.6091058509517246j),(-0.08578386447151576-0.06405967429464884j)
0.72,(-5.38327068723026e-05-2.444229841291813e-05j),(-0.00718884415300567-0.06388347180368156j),(0.011525919598774335+0.04140852217944311j),(-0.002929069851108875-0.0015353466149534232j),(-0.02461523324672269+0.012834714221820748j),(-0.4547466196520851+0.8399543814404034j),(-0.0017972767365698958-0.03706461249107447j),(0.00019651729271508132+7.385816196403338e-05j),(0.0025051396568765445-0.005871865865584792j),(0.6124744579471922-1.3480241921801905j),(7.039546911986233e-05-1.3643725729486981e-06j),(0.002779668594388003-0.03563441972758104j),(0.0017115793161152227+0.002757122367308874j),(-0.03654177034319617+0.6745313784118074j),(-0.10379360841888854-0.055835446845307404j)
0.73,(-6.648469032442492e-05-1.2523959803542175e-05j),(-0.02070448414856418-0.06823879656491523j),(0.020993946107158584+0.04256783528527086j),(-0.003349898152755563-0.0007224418795436417j),(-0.02318286332773439+0.019673300444467j),(-0.34656735826588814+0.9637357029394821j),(-0.010674079555313423-0.04002450989700237j),(0.0002101421753133339+1.534251144436871e-05j),(0.0016457298517737187-0.007204158770164748j),(0.42090656020220807-1.5235671068460341j),(7.117697737455532e-05-2.1558173294533067e-05j),(-0.004677309089313849-0.03954460251855372j),(0.0017195411083351726+0.0027199488230857808j),(0.08687929595466737+0.7240663311060802j),(-0.12181324669958149-0.04375759041659052j)
0.74,(-7.729359355955343e-05+4.6926134729040835e-06j),(-0.036451860522241114-0.07036762485461319j),(0.03155123664634503+0.041633271583895584j),(-0.00354285280679953+0.00022531985455598465j),(-0.019853557244299585+0.02669051072205514j),(-0.21232374744471194+1.0761302245342292j),(-0.021252657045187976-0.04101523582268663j),(0.0002060956227039495-4.6351853942111234e-05j),(0.0002485366760469816-0.008534490842618293j),(0.19015368350392092-1.6744798103564624j),(6.584627990233459e-05-4.285847042663592e-05j),(-0.013779399246589863-0.04211915625264149j),(0.001711056891085417+0.0026863206366463267j),(0.22723865709779223+0.7530766903215257j),(-0.1390759962979655-0.02757756432564905j)
0.75,(-8.431033205113386e-05+2.7408448194507667e-05j),(-0.054249305035659334-0.06959102471525655j),(0.042753369568648066+0.03812999293514624j),(-0.0034600508331209742+0.0012432988340649329j),(-0.014405337288253595+0.033379083525424735j),(-0.05288781649461244+1.1720105502846991j),(-0.03319291959402338-0.03933463359224487j),(0.00018331165312513475-0.00010564492778856084j),(-0.0017826118309620972-0.00969001889162412j),(-0.0768375477661063-1.7925976493084061j),(5.3654257260697566e-05-6.33483445691533e-05j),(-0.02437279910054041-0.04282396506785751j),(0.0016862046109661186+0.002656113262806602j),(0.3814617418270793+0.7570956806192192j),(-0.1547204173999153-0.007215729375876528j)
0.76,(-8.520531564529447e-05+5.519572907253008e-05j),(-0.07376099406545567-0.06517884751562203j),(0.053975301785772783+0.03166253293381073j),(-0.003072010224399932+0.002248837840486318j),(-0.0067417870843886635+0.039116377351972306j),(0.12983280609197084+1.2462100481262715j),(-0.0459060469727689-0.034289612072284675j),(0.00014258302307603829-0.00015649485837524168j),(-0.00450258016594484-0.010437599252100182j),(-0.3753980318316674-1.8700414260056115j),(3.445858473614079e-05-8.069809570053813e-05j),(-0.03615294315660547-0.041107926330478405j),(0.0016451530062096874+0.002628931877153117j),(0.545414184779339+0.7320493557377192j),(-0.1678346503685656+0.01720448391064252j)
