t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014
0.1,(7.726164897181234e-11-3.04210447560214e-11j),(-5.137096056039785e-06+5.57078141516391e-07j),(2.006301428272648e-09-2.543764819094913e-07j),(4.899658593500103e-05+0.00014434130895168228j),(-5.958478084833458e-08+2.8152280541300766e-07j),(-1.7556659577404737e-05-1.8704288699119955e-05j),(-1.4802272539865403e-07-1.9970436525847655e-08j),(-2.871255277453462e-05+1.6559990429039684e-06j),(7.690550706482922e-07+9.740285705470403e-09j),(0.00010346746481941641-0.00011338835988487835j),(-9.80286918533893e-08+2.272679345395834e-07j),(1.9943281881488032e-06-6.290040411084167e-07j),(-7.720954924764438e-05+0.00040497894309419325j),(-0.00013433629998084616-0.00010909782859065682j),(7.722973691785236e-07+5.042942939044555e-07j)
0.11,(8.539564392328546e-11-9.83410365437349e-11j),(-7.24177688774284e-06+2.1163216433345486e-06j),(-2.026120523133587e-08-4.273052663467715e-07j),(0.00011604081499381247+0.00011896360868699803j),(6.8572461099459275e-09+4.3325449888858235e-07j),(-3.395140339417053e-05-2.7507939395492278e-05j),(-2.429981493281701e-07-1.0391982510187484e-08j),(-2.862860135231287e-05+1.1663184262066607e-05j),(1.186052761511391e-06-9.611742873643811e-08j),(0.00011290428234298869-0.00016377071186588488j),(1.765584142186991e-11+2.943985529677411e-07j),(2.6582596485299684e-06-1.539910820293702e-06j),(-0.00014557592439095815+0.0004372799308404222j),(-0.0002079754228006437-9.642962624333259e-05j),(1.2223227906219253e-06+8.373550891302557e-07j)
0.12,(4.8611139153263067e-11-1.9415081935068176e-10j),(-9.761079860946078e-06+4.793496309511773e-06j),(-6.938677626016794e-08-6.955764570981497e-07j),(0.0001694457954675423+6.437376533503289e-05j),(1.2986253445425359e-07+6.1660540422979e-07j),(-6.075372451011078e-05-3.897015954628891e-05j),(-3.843049949759276e-07+1.5651697149557563e-08j),(-2.4997951673814197e-05+2.1944221362076146e-05j),(1.7714068476534606e-06-3.1472675031076324e-07j),(0.00011237091981136513-0.00022220837283943925j),(1.359160720664623e-07+3.21897242884785e-07j),(3.2651585532512346e-06-3.006749132312375e-06j),(-0.00022164074377914995+0.00046309390552974264j),(-0.00029257442072719796-5.5430086240651904e-05j),(1.8870544372064087e-06+1.3546159256299496e-06j)
0.13,(-6.518158862783906e-11-2.9451100663705845e-10j),(-1.2550503228591793e-05+9.05162317370627e-06j),(-1.6468024420996412e-07-1.0997722416347312e-06j),(0.00019724844795995466-1.197425086340737e-05j),(3.1893074597749975e-07+8.317714307956578e-07j),(-0.00010313922561058013-5.277710552903434e-05j),(-5.890884225198687e-07+6.857424972980019e-08j),(-1.758656324298127e-05+3.115111240487196e-05j),(2.563133999833451e-06-7.156587126901e-07j),(9.895539004823234e-05-0.0002831610366364327j),(2.939628487033428e-07+2.909818568265523e-07j),(3.6052046886402136e-06-5.180296494623032e-06j),(-0.00030436208224894455+0.000481747764262648j),(-0.00037876579492338226+2.2256224701138892e-05j),(2.847148151468642e-06+2.14165206085254e-06j)
0.14,(-2.806232476350279e-10-3.479318639627954e-10j),(-1.5306022051181003e-05+1.543798544546571e-05j),(-3.3492727583053784e-07-1.6925611728261204e-06j),(0.00019151657357905166-9.808070987669934e-05j),(5.816329108662455e-07+1.0892431043432162e-06j),(-0.00016814375822850894-6.74740093296496e-05j),(-8.800793401395672e-07+1.6292064914556113e-07j),(-6.732453566752235e-06+3.7813454733558045e-05j),(3.5935582379194884e-06-1.3948310761209892e-06j),(7.259090885113263e-05-0.00033784455342577516j),(4.499415818075277e-07+1.8937280876457908e-07j),(3.361785118877279e-06-8.172576896448016e-06j),(-0.0003926045554480988+0.0004928733404809256j),(-0.00045259974038821735+0.00014185888394006646j),(4.206985086908236e-06+3.3175148124427746e-06j)
0.15,(-5.948267767747387e-10-2.725673076678008e-10j),(-1.7504424426540646e-05+2.4555308035753085e-05j),(-6.216122842673942e-07-2.5405093000708894e-06j),(0.00014988752612900548-0.00017951218815396804j),(9.316978977916097e-07+1.4182706834412905e-06j),(-0.00026488933529781434-7.962340911284643e-05j),(-1.2875611766268615e-06+3.1936577123455406e-07j),(6.615331874416442e-06+4.0606049388321466e-05j),(4.880783306682429e-06-2.4783560568935297e-06j),(3.830060853249971e-05-0.00037485494311293897j),(5.74082116907489e-07+1.4885609327980901e-08j),(2.1057532107008665e-06-1.2008561530460516e-05j),(-0.00048520005622147255+0.0004964165747911029j),(-0.0004965847636724067+0.00030313441725082275j),(6.101767717803771e-06+5.044787720332455e-06j)
0.16,(-9.517799600462109e-10+3.439860453437605e-11j),(-1.8341791821302756e-05+3.700754618455267e-05j),(-1.0829474967020198e-06-3.725570672720611e-06j),(7.60491954902835e-05-0.00024192152542535422j),(1.4048869476685e-06+1.8722239463716593e-06j),(-0.00040457761551178513-8.268441105626922e-05j),(-1.8514423078070102e-06+5.681492642453707e-07j),(2.098802974658944e-05+3.8612795735638605e-05j),(6.417345455534243e-06-4.124599804561831e-06j),(8.542615373270001e-06-0.0003819229595377495j),(6.354187399679509e-07-2.2245488367148184e-07j),(-6.915954147845176e-07-1.656853704780911e-05j),(-0.0005810037136460536+0.0004926317004407786j),(-0.0004918840789027703+0.0004983590104510112j),(8.707921560409115e-06+7.540793178220316e-06j)
0.17,(-1.2170322363643705e-09+6.708928064943291e-10j),(-1.6678270523866145e-05+5.331504511383595e-05j),(-1.7989923914881164e-06-5.345867178449683e-06j),(-2.0868661521338464e-05-0.00027347648566177423j),(2.082017924733394e-06+2.5253825501653646e-06j),(-0.0006000877177493557-6.563606147648359e-05j),(-2.622671807943909e-06+9.54495844999094e-07j),(3.460031162335683e-05+3.152525029538798e-05j),(8.156163424150461e-06-6.523343779482714e-06j),(5.129980511014312e-06-0.0003490055691923739j),(6.067721899356074e-07-5.002510032127091e-07j),(-5.620784610175402e-06-2.1528113767051438e-05j),(-0.0006789416257671974+0.00048206252112767374j),(-0.000421554927595911+0.0007112277677749545j),(1.2258389544277308e-05+1.1088469422580517e-05j)
0.18,(-1.1617242272884821e-09+1.6856561554909057e-09j),(-1.100225734231271e-05+7.37957537849562e-05j),(-2.8779275212120786e-06-7.515048893576459e-06j),(-0.00012780452944821818-0.00026676047267499436j),(3.115010335547365e-06+3.4559144308730723e-06j),(-0.0008650198773744122-1.1475121739040013e-05j),(-3.66270379339769e-06+1.5460526734592376e-06j),(4.562005082233861e-05+1.9732948603475752e-05j),(9.994064783796377e-06-9.890930127355936e-06j),(6.01131195940038e-05-0.0002726321898642164j),(4.6948262803678346e-07-7.855787031871683e-07j),(-1.3268327632827075e-05-2.6306136996511725e-05j),(-0.000778047776262205+0.0004655134118492184j),(-0.0002744428435793748+0.0009171535769658152j),(1.7063271133095422e-05+1.6044748699009048e-05j)
0.19,(-4.66740742828692e-10+3.018281191756489e-09j),(5.715202771547717e-07+9.841460426301847e-05j),(-4.463538298189773e-06-1.0359326848006348e-05j),(-0.00022984321242464358-0.00021985720579439195j),(4.748606428462723e-06+4.711247145915743e-06j),(-0.0012120422461389163+0.00010424445379944737j),(-5.0395277694470725e-06+2.4418653509303524e-06j),(5.2448570443902804e-05+4.2914350371827965e-06j),(1.175371647119365e-05-1.445994390917857e-05j),(0.00021495332473282083-0.00016121674021385708j),(2.171129935590757e-07-1.0385521196280268e-06j),(-2.4123661648490516e-05-3.003269796500302e-05j),(-0.0008774887572981943+0.00044401308837889j),(-4.911157628838237e-05+0.0010853143998776579j),(2.353656379477353e-05+2.2843285589932103e-05j)
0.2,(1.2428936770740168e-09+4.432324141469222e-09j),(2.0253677374459574e-05+0.00012660661714087348j),(-6.7437215273759685e-06-1.4010612463475682e-05j),(-0.000312461491613136-0.00013650917568035575j),(7.32725962732049e-06+6.255475082300389e-06j),(-0.0016504194092096772+0.00031455146071935464j),(-6.818422698812594e-06+3.7815541354762283e-06j),(5.395807430635547e-05-1.3219776506135914e-05j),(1.3165234523454364e-05-2.0462455537961534e-05j),(0.0005173510867689885-4.0677571333237634e-05j),(-1.424402875699973e-07-1.2170307060674257e-06j),(-3.8465047995499954e-05-3.155019514404275e-05j),(-0.000976575811394418+0.0004187740274003936j),(0.00024298521849044528+0.0011825273466147639j),(3.22278453495151e-05+3.198622359350338e-05j)
0.21,(4.327612194955181e-09+5.455936779454164e-09j),(5.0463875143601725e-05+0.00015709128465440944j),(-9.95847267164049e-06-1.8594626893648797e-05j),(-0.00036355916233042916-2.541638350537529e-05j),(1.1276215450045285e-05+7.905768766973845e-06j),(-0.0021828110599650813+0.0006615282038831909j),(-9.046768031354665e-06+5.751742641331322e-06j),(4.964669664320976e-05-3.091672343049239e-05j),(1.3849274386127569e-05-2.810508501066447e-05j),(0.0010155784949052759+4.060645314820033e-05j),(-5.86677969987009e-07-1.2817466455802687e-06j),(-5.623627578165857e-05-2.9457402732798912e-05j),(-0.0010747646802281964+0.00039115017044847445j),(0.0005758936864163841+0.0011785665447961336j),(4.3855373129665816e-05+4.402310278279701e-05j)
0.22,(9.02781319256087e-09+5.3477264625956916e-09j),(9.363743258862907e-05+0.0001876999030830828j),(-1.4405775010865563e-05-2.421269613169146e-05j),(-0.0003749849678675699+0.00010111989510182996j),(1.7048555917566826e-05+9.268994496661434e-06j),(-0.0028014540913327453+0.001195792824150342j),(-1.1733054019314623e-05+8.58669810435498e-06j),(3.969236911903411e-05-4.686381097244159e-05j),(1.3304637464576237e-05-3.7535086418010333e-05j),(0.0017503122380150742+8.503074517863759e-06j),(-1.0800267468130456e-06-1.2011594958599027e-06j),(-7.693017084727893e-05-2.2202947831714955e-05j),(-0.0011716444632976664+0.0003625950765934689j),(0.0009097282576331889+0.0010523132683231717j),(5.933675244108291e-05+5.9512765751319716e-05j)
0.23,(1.5333342552562634e-08+3.1057119206234827e-09j),(0.00015194698916889108+0.0002152471539137231j),(-2.0441786126283525e-05-3.091695560734345e-05j),(-0.0003433915582304953+0.0002289238766639495j),(2.5035891266098613e-05+9.696437001893202e-06j),(-0.0034840847131719244+0.001974638900943174j),(-1.4822340558148527e-05+1.2559090556557668e-05j),(2.4907445058560708e-05-5.9315632083954564e-05j),(1.0903513368678111e-05-4.8797592574129164e-05j),(0.002744603927414551-0.000237386710545077j),(-1.5768709855934687e-06-9.55460857917622e-07j),(-9.949875657142911e-05-8.227826718474271e-06j),(-0.001266917190857531+0.00033462211654444366j),(0.0011937586542164606+0.0007977966966166517j),(7.980814945514718e-05+7.896943754888576e-05j)
0.24,(2.2845792452687727e-08-2.4674473144175548e-09j),(0.00022695123283899491+0.0002354790710474942j),(-2.847250560123445e-05-3.867964557642978e-05j),(-0.0002703879061332306+0.00034375387168422754j),(3.544794650168647e-05+8.273884375015584e-06j),(-0.004189982592110616+0.0030586731667891394j),(-1.8171972003006823e-05+1.795848452380976e-05j),(6.613436182166807e-06-6.691327986116903e-05j),(5.899003710196859e-06-6.178496148976807e-05j),(0.00399281055666105-0.0008206818270429723j),(-2.025673835764113e-06-5.393183377421693e-07j),(-0.00012230908001114007+1.3850680767698337e-05j),(-0.0013603703082030814+0.00030876769769622864j),(0.0013719739365729746+0.00042914901390722756j),(0.00010662700654955294+0.00010279342422694353j)
0.25,(3.0657731594491026e-08-1.2637254746277036e-08j),(0.00031918915163972524+0.00024312739598170052j),(-3.893324745182405e-05-4.7358353695851697e-05j),(-0.0001620632531311413+0.00043293519774827935j),(4.817432464494861e-05+3.86405358761719e-06j),(-0.004856649262131825+0.004506848410362525j),(-2.1532788333731576e-05+2.5056088035471767e-05j),(-1.3536056605520956e-05-6.88132066479592e-05j),(-2.550670864449104e-06-7.618148071923786e-05j),(0.00544975111038714-0.0018810113653840144j),(-2.373669098064057e-06+3.686847358258577e-08j),(-0.00014316200219776357+4.5028688538073816e-05j),(-0.0014518443478955109+0.00028655795898403953j),(0.001390703569079377-1.6508363031891155e-05j),(0.0001413500654104476+0.00013119028138248957j)
