N,E [H]
1,-107.4959750091581
2,-107.50266082771634
3,-107.52084300368813
4,-107.52111785533292
5,-107.53396587586255
6,-107.53584269250592
7,-107.5361122421984
8,-107.54413195505204
9,-107.5560862823175
10,-107.56016806308797
11,-107.56020956481177
12,-107.56090688431519
13,-107.56262900708515
14,-107.56268709494914
15,-107.56607161000547
16,-107.56909300685892
17,-107.56943792530197
18,-107.57313282744344
19,-107.5741322522007
20,-107.57507646204857
21,-107.57524905253135
22,-107.57525536644401
23,-107.57554676508126
24,-107.57727104076626
25,-107.578774952871
26,-107.58026531874572
27,-107.58075307082495
28,-107.58174299960272
29,-107.58180068550378
30,-107.58183980230758
31,-107.58211803381502
32,-107.58451519716466
33,-107.58487627067326
34,-107.58747639237312
35,-107.58747726771668
36,-107.58772222102247
37,-107.58829408086956
38,-107.5892033621759
39,-107.59074839539443
40,-107.59144456655483
41,-107.59159974591552
42,-107.59162174140523
43,-107.59177091664539
44,-107.59267792568816
45,-107.59365871500292
46,-107.59386324227653
47,-107.59409192502359
48,-107.59538946702487
49,-107.59567971621527
50,-107.59600569076717
51,-107.59661090351042
52,-107.59673436448317
53,-107.59689660621025
54,-107.59700331568075
55,-107.59769475094394
56,-107.59816030136953
57,-107.59866686649545
58,-107.59882272795033
59,-107.59907102105676
60,-107.59970213598747
61,-107.60012708477943
62,-107.60101558029444
63,-107.60232225097062
64,-107.60261046696189
65,-107.60282095124525
66,-107.60319597739235
67,-107.6042616759588
68,-107.60448356024703
69,-107.60456211525633
70,-107.60457319875276
71,-107.60529210964498
72,-107.60576949764128
73,-107.60577636685173
74,-107.60608857285256
75,-107.60614395145333
76,-107.60661081144964
77,-107.6067113363936
78,-107.60693172708714
79,-107.60716432852982
80,-107.60751283916049
81,-107.60782036000089
82,-107.6078812774228
83,-107.60793784570964
84,-107.60802215351632
85,-107.60822313061679
86,-107.60826146212413
87,-107.60849626022139
88,-107.60883663097418
89,-107.60883916252905
90,-107.60886168639688
91,-107.60963503878064
92,-107.60974769710273
93,-107.60991455025076
94,-107.60994634816598
95,-107.61060148434554
96,-107.6106390863175
97,-107.61088504064487
98,-107.61090972958382
99,-107.61118728316771
100,-107.6114056167218
101,-107.61141285729087
