t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00
0.1,(1.0000047818370463-3.2604757126540446e-05j),(1.2610874076236347-1.3612547684140675j),(0.12351517001327629+0.22122176821479686j),(0.40221421304278854+0.2754981765625803j),(-0.28954667941809187+0.33052055625348664j),(0.8112938842653179-0.964387052328794j),(-0.9541178770735744-0.33306535534566206j),(-0.6708924664526981-0.811635462555266j),(-0.8921150337727063-1.0872550996940606j),(1.0000047818370463-3.2604757126540446e-05j)
0.11,(1.0000057301326497-3.565699835381187e-05j),(1.302434958603616-1.3845468887966375j),(0.12117546501823466+0.2078211392500469j),(0.397755225307526+0.2649725147716841j),(-0.2889556042075873+0.31456023731641136j),(0.8313924519479524-0.9837866093207781j),(-0.9630675930824606-0.3356172658931241j),(-0.6868059175854981-0.8280788960770907j),(-0.9229042273629683-1.1035455417208202j),(1.0000057301326497-3.565699835381187e-05j)
0.12,(1.000006747652519-3.865426227779099e-05j),(1.3450872720812856-1.4073420256223792j),(0.11898678043233052+0.1946841210401134j),(0.3935157481234974+0.2546724462803682j),(-0.2884748295107111+0.2989006635143719j),(0.851929620715332-1.0031815179260088j),(-0.9720620133863747-0.3378357718342961j),(-0.7033358278588935-0.8442008309430328j),(-0.9548670116113142-1.1189821519044603j),(1.000006747652519-3.865426227779099e-05j)
0.13,(1.000007829276451-4.1593466391168944e-05j),(1.3889934607392753-1.4295524996765432j),(0.11694602608891688+0.18181833728846042j),(0.3894899379004839+0.24460733618353034j),(-0.2880947914337092+0.2835459719775415j),(0.8728797787652511-1.0225442743649484j),(-0.9810795870868863-0.33971876642089527j),(-0.7204687411008468-0.8599576707401401j),(-0.9879642426878386-1.1334685670293814j),(1.000007829276451-4.1593466391168944e-05j)
0.14,(1.0000089696909995-4.4471949257287644e-05j),(1.4340901258690915-1.4510920910673282j),(0.11504987264069079+0.16923095029634513j),(0.3856715692837559+0.23478588899736533j),(-0.28780622887061685+0.2684997661898875j),(0.8942138036379578-1.0418477301009887j),(-0.9900986400116911-0.3412659253417537j),(-0.7381874079200572-0.8753058187101914j),(-1.0221462772507592-1.146909259502683j),(1.0000089696909995-4.4471949257287644e-05j)
0.15,(1.000010163440383-4.72874767625938e-05j),(1.480301150499026-1.4718774779428658j),(0.11329478137894329+0.1569286346191538j),(0.3820540891132004+0.22521612527861246j),(-0.28760019829795236+0.2537651270192378j),(0.9158990902398348-1.0610653634205571j),(-0.9990975711412731-0.34247870458032953j),(-0.756470728836243-0.8902020681761937j),(-1.0573527717530962-1.1592108279518103j),(1.000010163440383-4.72874767625938e-05j)
0.16,(1.0000114049773388-5.003824341355734e-05j),(1.527537755747462-1.4918297533102505j),(0.1116770326837713+0.14491754639415177j),(0.378630668885547+0.2159053577653222j),(-0.28746808586532346+0.2393446175973502j),(0.9378996352926544-1.0801715595657395j),(-1.0080550511822883-0.3433603141745592j),(-0.7752937545230691-0.9046040183967675j),(-1.0935126848064332-1.1702833698226016j),(1.0000114049773388-5.003824341355734e-05j)
0.17,(1.0000126887133058-5.272286890866252e-05j),(1.5756988511605512-1.5108759765728919j),(0.11019275306248037+0.13320328899603137j),(0.3753942554996809+0.2068601671442402j),(-0.28740161697448396+0.22524028235765364j),(0.9601761827649338-1.0991418936589517j),(-1.01695021985641-0.34391566780912886j),(-0.7946277491788518-0.918470508768416j),(-1.1305445066107416-1.1800419030992413j),(1.0000126887133058-5.272286890866252e-05j)
0.18,(1.000014009067367-5.534039029318281e-05j),(1.6246717011426965-1.52895070866968j),(0.10883794078356497+0.12179087577007279j),(0.37233762009108184+0.19808637762397435j),(-0.2873928635367132+0.21145364068892053j),(0.9826864337088647-1.1179534100212762j),(-1.0257628784400588-0.34415130874504457j),(-0.8144403218549986-0.9317620629313356j),(-1.1683567333881584-1.1884077978197813j),(1.000014009067367-5.534039029318281e-05j)
0.19,(1.000015360513433-5.789025006389109e-05j),(1.6743329184795073-1.5459974738630093j),(0.10760849015430311+0.11068469065280855j),(0.36945340478658495+0.18958903255738122j),(-0.28743424909967613+0.19798567579165324j),(1.0053853225532092-1.1365848910514171j),(-1.0344736741634049-0.3440753131654831j),(-0.834695629058525-0.9444413331453592j),(-1.2068485968711031-1.1953101727968363j),(1.000015360513433-5.789025006389109e-05j)
0.2,(1.0000167376252205-6.037228064406366e-05j),(1.7245497828409129-1.5619700880184324j),(0.10650021452006818+0.0998884475189003j),(0.3667341672345495+0.18137237040977508j),(-0.28751855203828913+0.18483681942639696j),(1.028225360324612-1.1550171086479257j),(-1.0430642732552113-0.34369717256765125j),(-0.8553546501341972-0.9564735343693128j),(-1.245911049444997-1.2006872094060086j),(1.0000167376252205-6.037228064406366e-05j)
0.21,(1.0000181351186375-6.278668568859505e-05j),(1.7751818677467035-1.576833793258175j),(0.10550886808269486+0.08940514909422521j),(0.36417242278784756+0.17343980141087775j),(-0.28763890700747413+0.1720069333173828j),(1.051157043537378-1.1732330512608784j),(-1.0515175196972595-0.3430276573357603j),(-0.8763755348770891-0.9678268568748956j),(-1.2854279949561518-1.2044873329495176j),(1.0000181351186375-6.278668568859505e-05j)
0.22,(1.0000195478912608-6.513401870361495e-05j),(1.8260829447033928-1.590566142551403j),(0.10463016664413843+0.07923704625371616j),(0.3617606842377239+0.16579388525767572j),(-0.2877888048560389+0.15949528802055465j),(1.0741293256689914-1.1912181200742404j),(-1.0598175771172225-0.34207866407014953j),(-0.8977140206021221-0.978472846019046j),(-1.3252777440433932-1.2066702132985392j),(1.0000195478912608-6.513401870361495e-05j)
0.23,(1.00002097105866-6.741515948038936e-05j),(1.8771031191478063-1.6031575852336721j),(0.10385980738134944+0.06938559848352086j),(0.3594914990155663+0.15843631025275992j),(-0.2879620911986225+0.147300540083525j),(1.0970901463002412-1.2089602885530535j),(-1.067950051686631-0.3408630496050539j),(-0.9193239135964403-0.9883867380330091j),(-1.365334661833455-1.2072075404556315j),(1.00002097105866-6.741515948038936e-05j)
