t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B01_A_0000
0.56,(0.027373782719510627-0.006368531269764714j),(-2.1343340536086744e-07-2.555846844521273e-07j),(-0.016867212074783006+0.06652254301067982j),(0.007979159751006694-0.1074163172568162j),(0.010107150773626441-0.005091745450480982j),(-3.7969796751219464e-06-1.0507076779805817e-05j),(0.00010333833891367815-3.144809659155275e-06j),(-8.506856074250149e-06+2.59048747059018e-05j),(1.3935862269912847e-06+3.175275264673357e-06j),(0.029995869954761844-0.008729659165811188j)
0.5700000000000001,(0.026796494627832818-0.00839058268049769j),(-2.3309719393258658e-07-2.1300224355301897e-07j),(-0.012718692294601737+0.0680763145199943j),(0.00039304076076726244-0.10955326138065331j),(0.00987741755330128-0.0055821007692681245j),(-4.356593570970061e-06-9.48342967538951e-06j),(0.0001083102468489809+4.257734911869816e-06j),(-1.0557853840240052e-05+2.4854875157237836e-05j),(9.541194092571237e-07+3.3517846779697723e-06j),(0.029239549164022712-0.010999782883196838j)
0.58,(0.026056985229380623-0.01039693199577374j),(-2.466855730572128e-07-1.6906039209961748e-07j),(-0.008427224279978645+0.06932761415508451j),(-0.007485799184633577-0.11113451846439627j),(0.009618354892952152-0.006052278012211252j),(-4.806127315371525e-06-8.446287235430285e-06j),(0.00011283596292391577+1.2329223568175788e-05j),(-1.255091264485688e-05+2.357824006381493e-05j),(4.811643139352122e-07+3.4719317587094964e-06j),(0.028294014455941797-0.013243188345504399j)
0.59,(0.025149618432231007-0.012377625847260602j),(-2.539919291120023e-07-1.2448609679358204e-07j),(-0.004014123331827249+0.07025996754806549j),(-0.015624358770841597-0.11212386829715681j),(0.009331663912890668-0.006499553021518344j),(-5.145677747650637e-06-7.40519277870398e-06j),(0.00011681749083345249+2.1087491443638093e-05j),(-1.4460501129724281e-05+2.2067720386571668e-05j),(-1.9925849099189117e-08+3.528349791122967e-06j),(0.027153316917775974-0.01544723250710206j)
0.6,(0.024068738418788437-0.014320946897335388j),(-2.5487010338743304e-07-8.009458582178675e-08j),(0.0004972976680594644+0.07085790848831748j),(-0.023985440282497064-0.11248526756657523j),(0.00901925684982285-0.0069213295740248575j),(-5.375738953176444e-06-6.370529883868881e-06j),(0.00012014581883670016+3.0541133630541594e-05j),(-1.6257126068275635e-05+2.0319146682615655e-05j),(-5.422048341738997e-07+3.5136024407624864e-06j),(0.02581169143207707-0.017597214398291677j)
0.61,(0.022808977706525038-0.016213222856415764j),(-2.492668350888422e-07-3.67899318348582e-08j),(0.005081667332530834+0.07110722563755767j),(-0.03252719389082875-0.11218325273578872j),(0.008683243532191985-0.007315160819085048j),(-5.497557994082485e-06-5.353502447647923e-06j),(0.0001227012429788094+4.0686814537561914e-05j),(-1.7907504013947626e-05+1.8332437838215136e-05j),(-1.0769042887509609e-06+3.4204652033988244e-06j),(0.024263935674761747-0.01967617695040496j)
0.62,(0.021365619302252576-0.01803867064604682j),(-2.3725717133796864e-07+4.44346621095409e-09j),(0.009711521869445995+0.07099524104043549j),(-0.041202678098839984-0.11118345469348764j),(0.008325915527125353-0.007678770052141403j),(-5.5134959984772056e-06-4.36602098511172e-06j),(0.00012435411663229575+5.1506330571616526e-05j),(-1.9374947007906722e-05+1.6112673199137163e-05j),(-1.6132328011415116e-06+3.24228897109188e-06j),(0.02250585156158222-0.021664755749197177j)
0.63,(0.01973501352850557-0.019779287213249917j),(-2.190807906976041e-07+4.256007401859712e-08j),(0.014357305324696283+0.0705111191143901j),(-0.049959455216302004-0.10945323224899134j),(0.007949728065763708-0.00801007071002905j),(-5.427374093444623e-06-3.4204900387008734e-06j),(0.00012496612121511166+6.296347983623121e-05j),(-2.062000071122124e-05+1.3671193273718791e-05j),(-2.1382235500350564e-06+2.9734509827650523e-06j),(0.020534748627617387-0.02354108889280901j)
0.64,(0.01791504809314611-0.021414800252028514j),(-1.9517649334774688e-07+7.648431842860047e-08j),(0.01898741156767725+0.06964620355897609j),(-0.05873924376687789-0.10696242934653785j),(0.0075572798625443745-0.008307185486232915j),(-5.244779931314824e-06-2.5294958553248244e-06j),(0.00012439215505090663+7.500081851302055e-05j),(-2.160136985075098e-05+1.1026680872358053e-05j),(-2.636655204611196e-06+2.6098946837548674e-06j),(0.018350006184233002-0.025280804038458737j)
0.65,(0.015905665627688373-0.022922694395392112j),(-1.6621124568457808e-07+1.0515394466708797e-07j),(0.02356819331233058+0.06839439731775353j),(-0.06747757000087061-0.10368429482391486j),(0.007151305268345331-0.008568470126950308j),(-4.9732993477917e-06-1.7054052089234074e-06j),(0.00012248197378965955+8.753658017324842e-05j),(-2.227713468086572e-05+8.206020025132654e-06j),(-3.091075607683411e-06+2.1497337370833936e-06j),(0.01595368766435837-0.02685710029975857j)
0.66,(0.013709416155384672-0.024278328744616568j),(-1.3309971740807453e-07+1.2757497672743867e-07j),(0.028063697032664377+0.06675257835097974j),(-0.0761032058618896-0.09959668388257994j),(0.0067347323369229516-0.008792514604779854j),(-4.622635944306598e-06-9.598937363919383e-07j),(0.00011907931968248215+0.00010045896268477598j),(-2.260582946996463e-05+5.24474840004225e-06j),(-3.4818907877598836e-06+1.593881362601881e-06j),(0.013351196319534369-0.02824094367579742j)
0.67,(0.01133206388590026-0.025455150916237308j),(-9.70124192317316e-08+1.4289092606851777e-07j),(0.032436624615624736+0.06472082445008287j),(-0.08453892552107947-0.0946828872164974j),(0.006310533916462338-0.008978094772743235j),(-4.204717964055581e-06-3.033421798671628e-07j),(0.00011403642016708338+0.00011361999317576416j),(-2.2548528741194608e-05+2.18929884792186e-06j),(-3.787652764078606e-06+9.470653587365763e-07j),(0.010551956403480929-0.029401394889646687j)
0.68,(0.008783185479508994-0.02642504856750146j),(-5.936294245970019e-08+1.5045542219889387e-07j),(0.03664829638336592+0.06230303874344132j),(-0.09270134260197162-0.08893306500516777j),(0.00588174125901061-0.009124289470927006j),(-3.73352627953733e-06+2.5570021143711216e-07j),(0.00010721539818850505+0.00012683891060444712j),(-2.2071618185652315e-05-9.036238507799514e-07j),(-3.985703330768254e-06+2.1851204219596865e-07j),(0.00757009826958746-0.030306087596338377j)
0.6900000000000001,(0.006076765738500348-0.027158832925136205j),(-2.177473586207741e-08+1.4991001693175774e-07j),(0.040658975639246905+0.059507394848773695j),(-0.10050123669665487-0.0823456460481055j),(0.005451421973427373-0.009230506024737805j),(-3.224813415241762e-06+7.110870804071552e-07j),(9.849342836620761e-05+0.0001399006606548431j),(-2.1149222905157342e-05-3.967371278655393e-06j),(-4.052932785454146e-06-5.773048455633902e-07j),(0.0044251196139813345-0.03092187258534974j)
0.7000000000000001,(0.003231761439285042-0.027626870883422767j),(1.3977139108164196e-08+1.4125972484979318e-07j),(0.04442837531185701+0.056346716495611286j),(-0.10784422228874686-0.07492873032169434j),(0.0050226422078545165-0.009296490440501966j),(-2.6956588393621377e-06+1.0596029888234632e-06j),(8.776998841830721e-05+0.00015255481313289584j),(-1.9765846704357344e-05-6.926028356387854e-06j),(-3.966796129958868e-06-1.4199471298555868e-06j),(0.001142488704828254-0.031215639557606176j)
0.71,(0.00027259935787740403-0.027799874522048785j),(4.605096327567215e-08+1.2493803975315458e-07j),(0.04791625546129071+0.05283880320582965j),(-0.11463169660017555-0.06670149492690408j),(0.004598428120544842-0.00932233416335623j),(-2.1638561747923597e-06+1.3013870520542804e-06j),(7.497503206860937e-05+0.00016451584773831586j),(-1.7919145335181412e-05-9.695742392262929e-06j),(-3.7066216318994825e-06-2.2824230415354332e-06j),(-0.0022458507409562193-0.03115532205043261j)
0.72,(-0.0027704286796258882-0.02764984969289978j),(7.2649059302089e-08+1.0185236625779971e-07j),(0.051083108598494506+0.049006682502496804j),(-0.12076208970684613-0.05769555391583988j),(0.00418172708791782-0.009308477138712752j),(-1.6471564845179287e-06+1.4401987780450594e-06j),(6.007789218306157e-05+0.00017546515203833253j),(-1.562268484677577e-05-1.218680932943891e-05j),(-3.2552216376421473e-06-3.130812819590792e-06j),(-0.005701118816975899-0.03071108294294855j)
0.73,(-0.005860915007544635-0.027151197408591864j),(9.215030379711852e-08+7.340033308031609e-08j),(0.05389092572469994+0.04487876812523017j),(-0.12613243260230922-0.04795621351161771j),(0.0037753691508113202-0.00925570691399217j),(-1.1624099112968528e-06+1.4834779963201135e-06j),(4.309661954066485e-05+0.00018505506873899843j),(-1.2908491481547804e-05-1.4306594813316723e-05j),(-2.60079482690049e-06-3.9242105711064415e-06j),(-0.009177532683915536-0.029856667648602897j)
0.74,(-0.008956273516119065-0.026281952038878134j),(1.0325715103039276e-07+4.1447919089055435e-08j),(0.05630403138998456+0.04048890352774247j),(-0.13064024854329015-0.03754355608646539j),(0.0033820292564754224-0.009165153523317367j),(-7.246652680816756e-07+1.4421624980239493e-06j),(2.4107348179208072e-05+0.00019291529524950208j),(-9.82915734840087e-06-1.5963324113566812e-05j),(-1.7390814532694102e-06-4.615094864813169e-06j),(-0.012622385678624507-0.028570899709090176j)
0.75,(-0.012007909688512432-0.02502512898145389j),(1.0514638458783131e-07+8.261928458139179e-09j),(0.058289971037066894+0.03587627072608147j),(-0.13418575992344023-0.02653327965806198j),(0.0030041909116246563-0.009038279918923298j),(-3.463012369488336e-07+1.3302452600821555e-06j),(3.2531590267361265e-06+0.000198661870668209j),(-6.45923165284164e-06-1.707071400075034e-05j),(-6.756985556751186e-07-5.150245320393726e-06j),(-0.015976423277975976-0.026839279376592265j)
0.76,(-0.014961665526494758-0.023370141914724127j),(9.760958946738574e-08-2.3607789610189907e-08j),(0.05982042864357651+0.03108514654297107j),(-0.13667438720948935-0.015017215411930955j),(0.0026441119163734027-0.008876867753217773j),(-3.6271022494084424e-08+1.1640770071093982e-06j),(-1.924820141786036e-05+0.00020190887836601487j),(-2.895606896272766e-06-1.7553341713317557e-05j),(5.714584792119713e-07-5.472318045047225e-06j),(-0.01917456247042868-0.024655630491931677j)
0.77,(-0.017758576072384624-0.021314236575302858j),(8.116677230018299e-08-5.149691287630144e-08j),(0.060872147475527404+0.026164491606625852j),(-0.13801949847753897-0.0031034447119065167j),(0.0023037928946630136-0.008682998377940768j),(2.0045777579259013e-07+9.614473945071739e-07j),(-4.309848953674707e-05+0.00020228284304925343j),(7.433898414582968e-07-1.7352553619734836e-05j),(1.9699063010108745e-06-5.522175980380056e-06j),(-0.022146992383951555-0.02202372539116175j)
0.78,(-0.020335964906079234-0.01886387493746982j),(5.713523800118551e-08-7.284109625472794e-08j),(0.06142782674360496+0.021167364287436725j),(-0.13814535192461175+0.009084057744985857j),(0.001984947558664495-0.008459029972761259j),(3.631962898525718e-07+7.405064341296787e-07j),(-6.791595689510976e-05+0.00019943970517500813j),(4.320469372940605e-06-1.643262187158441e-05j),(3.4705632241818197e-06-5.242039455882254e-06j),(-0.024820680585014746-0.01895880283222535j)
0.79,(-0.022628893358084073-0.016035983957800946j),(2.7637004567314987e-08-8.542550721031852e-08j),(0.06147719835664678+0.01615032422453473j),(-0.1369903478496028+0.021406150450030345j),(0.0016888915878953414-0.008207644738748233j),(4.555065557252859e-07+5.186206693360316e-07j),(-9.324451879318238e-05+0.00019308631994441038j),(7.684184303584014e-06-1.478688728206637e-05j),(5.006515040785037e-06-4.579423780854902e-06j),(-0.027121291111063477-0.015488881399533257j)
0.8,(-0.0245719568221941-0.012859006755574236j),(-4.474866807331364e-09-8.765386412653694e-08j),(0.06101738930867895+0.011172430920154783j),(-0.13450987381055385+0.03371009830477728j),(0.0014166834182838515-0.0079317846352076j),(4.84843339300081e-07+3.112347495960819e-07j),(-0.00011855066145236132+0.00018298642361977364j),(1.067437996372782e-05-1.244180879789664e-05j),(6.492005219122508e-06-3.4914553421339023e-06j),(-0.028975497227746484-0.011655762066663j)
0.81,(-0.026101403117098364-0.009373639574828287j),(-3.577835066630106e-08-7.881156843265174e-08j),(0.06005367418465247+0.006293970334569546j),(-0.13067935006753043+0.045831868080821445j),(0.0011690449958022976-0.007634564116177347j),(4.6186782317835775e-07+1.3089854717452112e-07j),(-0.00014322849380114116+0.00016898634694692053j),(1.3129310775670442e-05-9.46165989141304e-06j),(7.82253965492564e-06-1.950465584434921e-06j),(-0.030313644788671112-0.007515610194040868j)
0.8200000000000001,(-0.02715752727316041-0.00563316871773579j),(-6.254176232549319e-08-5.929482852857621e-08j),(0.05860004284688208+0.0015751699832459824j),(-0.1254970554565246+0.05759894272963897j),(0.0009462891809744567-0.007319241626834588j),(3.994908856547118e-07-1.347347766169171e-08j),(-0.00016661807888807882+0.00015103710441364803j),(1.4895162297336361e-05-5.951248694267652e-06j),(8.87660320355057e-06+5.0084484270922425e-08j),(-0.031072692133800293-0.003139010751133462j)
0.8300000000000001,(-0.0276872687338666-0.001703330302389169j),(-8.107806693757339e-08-3.077032909062365e-08j),(0.05667932209708052-0.0029252374705745782j),(-0.11898639149631447+0.06883381959020858j),(0.0007483364563990723-0.006989164396057609j),(3.117282025839394e-07-1.1702682633687404e-07j),(-0.0001880241984547378+0.00012920897549362654j),(1.5836443771088604e-05-2.05592797605884e-06j),(9.518766386918141e-06+2.489630787499927e-06j),(-0.031199321461070885+0.0013895977310382371j)
0.84,(-0.02764691208854391+0.0023383850719918653j),(-8.817853006496004e-08+3.771901814239108e-09j),(0.05432303141590017-0.007151503482585502j),(-0.11119757644791681+0.07935807567099405j),(0.000574739582780694-0.0066477131551397044j),(2.1248119962064607e-07-1.7901446654523372e-07j),(-0.00020673889125519328+0.00010370276569179577j),(1.5846871536930533e-05+2.0410412396242538e-06j),(9.604438496256214e-06+5.3147105829327685e-06j),(-0.030653086824137483+0.005973184213900363j)
0.85,(-0.027004768677127058+0.006404034955223973j),(-8.159810240617897e-08+4.010966357143593e-08j),(0.05157095504666011-0.011052352300000366j),(-0.10220862641298575+0.08899690404313798j),(0.0004247155151089061-0.006298247787308475j),(1.1437449489370082e-07-2.024615820207571e-07j),(-0.0002220671556596397+7.485676345398925e-05j),(1.4860079938003572e-05+6.124020010515869e-06j),(8.986355442893377e-06+8.433748792430762e-06j),(-0.029409438026172036+0.010504124957821399j)
0.86,(-0.025743697202637784+0.01039715911232366j),(-6.054789565150064e-08+7.305344551294135e-08j),(0.04847042445848286-0.01458240989367992j),(-0.092125496580821+0.09758398837253723j),(0.00029718364878210136-0.00594405496874505j),(2.777491328900928e-08-1.9348939131012352e-07j),(-0.00023335495041150843+4.3148531856841284e-05j),(1.2859402179648237e-05+9.95349878149915e-06j),(7.5227988745704845e-06+1.1712882009837754e-05j),(-0.027462440587244383+0.014866947223523382j)
0.87,(-0.023863308924204612+0.014215334574292221j),(-2.613752909261744e-08+9.690497342167726e-08j),(0.04507531880366281-0.017703511080305045j),(-0.08108128171757834+0.10496654805760228j),(0.000190809241930865-0.005588298881603164j),(-3.9906280437149995e-08-1.6038195509763922e-07j),(-0.00024001839880828782+9.190866752771862e-06j),(9.88591020756706e-06+1.327746910150617e-05j),(5.087433045029445e-06+1.4973309255521123e-05j),(-0.024827002511451625+0.018941776342242752j)
0.88,(-0.021381699270912474+0.017753301724082758j),(1.830425290923534e-08+1.0611499921915985e-07j),(0.04144480567557115-0.02038582320016949j),(-0.06923441068506445+0.11101035712210192j),(0.00010405066962677521-0.0052339760561290576j),(-8.456438819273363e-08-1.1250921791711656e-07j),(-0.00024157292131617785-2.627849193641491e-05j),(6.043899165042981e-06+1.58453308859463e-05j),(1.5805213852177107e-06+1.7990668844271924e-05j),(-0.021540421272364916+0.022608395400562607j)
0.89,(-0.018336554593412498+0.020906569429464655j),(6.711384584819237e-08+9.611866689133271e-08j),(0.03764185938042839-0.02260872891259404j),(-0.05676581410958072+0.11560451877085762j),(3.520902217539034e-05-0.004883875327966871j),(-1.0538408539228822e-07-5.9234229115821336e-08j),(-0.00023766090754164123-6.241350572123541e-05j),(1.5030547413973725e-06+1.7423781994636657e-05j),(-3.058849640870776e-06+2.0496924473992647e-05j),(-0.017663081095782004+0.0257507753885987j)
0.9,(-0.01478550099215429+0.023575364883205618j),(1.1246929398745198e-07+6.429762317591341e-08j),(0.03373159293893333-0.02436143119584179j),(-0.04387508993679679+0.11866577752560889j),(-1.7519571622108608e-05-0.004540531225281887j),(-1.0448669927331875e-07-8.925141679567338e-09j),(-0.00022807764945136463-9.828188899728744e-05j),(-3.5032749159298547e-06+1.781398390985631e-05j),(-8.839978579360138e-06+2.218529809894014e-05j),(-0.0132781620755206+0.02826188517616252j)
0.91,(-0.010805591805307102+0.025668751141855232j),(1.4494286571966234e-07+1.0981894618395883e-08j),(0.02977943747249964-0.02564338986867193j),(-0.030775700657673107+0.12014227451641404j),(-5.6028878479650094e-05-0.004206121343236961j),(-8.630297958530782e-08+3.183193467401109e-08j),(-0.00021280443285203127-0.00013289575030140107j),(-8.684401338847716e-06+1.6869911041341594e-05j),(-1.5708205759516202e-05+2.271983927926931e-05j),(-0.00849026848272401+0.030048549576964116j)
0.92,(-0.006491884597568758+0.027108734011154354j),(1.5448686455319045e-07-5.964394132667133e-08j),(0.02584953647723735-0.02646412477460673j),(-0.017689462412098275+0.12001613201227615j),(-8.231000012431803e-05-0.0038826297592556122j),(-5.676039562828517e-08+5.8743830705737573e-08j),(-0.000192005870799358-0.00016526585496016476j),(-1.3705574458173156e-05+1.4513643503376258e-05j),(-2.353629918692607e-05+2.1745891451507402e-05j),(-0.0034229419774804344+0.031036094478056j)
0.93,(-0.001955080132440344+0.027834108340762193j),(1.318788417301592e-07-1.389066181481275e-07j),(0.022002724205339053-0.026842682398883592j),(-0.004840395377455155+0.11830495326217005j),(-9.829177932308439e-05-0.003571707709537989j),(-2.239450862607832e-08+7.002014146293704e-08j),(-0.0001660347564649343-0.0001944245153715843j),(-1.8202745566828943e-05+1.0748182374532534e-05j),(-3.2114780570829034e-05+1.8904121529170554e-05j),(0.0017849069766360595+0.031172504496830584j)
0.9400000000000001,(0.00268171858134497+0.027803833693825893j),(7.057498735477112e-08-2.1348459147371965e-07j),(0.01829488024371037-0.026806803282012646j),(0.007551702138138362+0.11506216476985365j),(-0.00010579313815400383-0.003274657514364868j),(1.0519101945355244e-08+6.628231539199946e-08j),(-0.0001354328422989712-0.00021946386431246837j),(-2.1802089929787e-05+5.667448733784018e-06j),(-4.114612906514966e-05+1.3848195211697061e-05j),(0.006983543929527164+0.03043182384609057j)
0.9500000000000001,(0.0072870241453970135+0.026999723347575156j),(-3.115084318434338e-08-2.659365289784082e-07j),(0.014775549008936389-0.026391781653044483j),(0.019277719317240323+0.11037605325897219j),(-0.00010649846021425875-0.0029924589082625528j),(3.671013212387888e-08+5.020996602395165e-08j),(-0.0001009193376742731-0.00023957737019475068j),(-2.4142993316052103e-05-5.388854380383849e-07j),(-5.0243429312814926e-05+6.264394058254732e-06j),(0.012017754533003801+0.028816556585120785j)
0.96,(0.011725599346545086+0.025428254519340096j),(-1.68017091163058e-07-2.7611453502711494e-07j),(0.011486825082996813-0.025639089396850404j),(0.030145466242536334+0.104367503871032j),(-0.00010193959306464313-0.0027257973242347695j),(5.2477674342040815e-08+2.5990602957807628e-08j),(-6.33691879273244e-05-0.00025409849538239794j),(-2.490278395169862e-05-7.586714942466522e-06j),(-5.893385708134502e-05-4.1077519289720796e-06j),(0.016732746462825146+0.026358868010918315j)
0.97,(0.01586349795837374+0.023121351108918036j),(-3.2581126435152795e-07-2.2358526634328158e-07j),(0.00846254830870891-0.024594829104790678j),(0.03998538876183658+0.09718650139406926j),(-9.348416257293934e-05-0.0024750933058946137j),(5.602684934722677e-08-1.353367601433774e-09j),(-2.3781986191083408e-05-0.00026253373770932084j),(-2.3821427378270094e-05-1.5105530011039424e-05j),(-6.666736110196719e-05-1.7455055278600526e-05j),(0.0209803161401831+0.023120452490926945j)
0.98,(0.019573263826203995+0.020136045152961926j),(-4.801632945674838e-07-9.107898501464085e-08j),(0.005727835634788646-0.023308089537273178j),(0.04865549639380186+0.08900752478894j),(-8.232973341563532e-05-0.0022405322868131496j),(4.756564937576156e-08-2.668172218110352e-08j),(1.6756834243276605e-05-0.0002645875684773446j),(-2.0724230728716925e-05-2.2653151247690094e-05j),(-7.283051648934133e-05-3.387181122926305e-05j),(0.024624953753569358+0.01919101058641108j)
0.99,(0.022739018324564476+0.016552987860739984j),(-5.964804267773692e-07+1.3118920349762902e-07j),(0.003298958062598784-0.021829280687467527j),(0.05604527035606295+0.08002402812368853j),(-6.950322083729908e-05-0.0020220940649938604j),(2.9169182889551983e-08-4.5425369371045535e-08j),(5.712017846156041e-05-0.00026017729489002375j),(-1.5540627679113828e-05-2.973654679736946e-05j),(-7.676510696801771e-05-5.334376825155511e-05j),(0.027549548675431263+0.014685364296835784j)
1.0,(0.02526116239911074+0.012473850860830915j),(-6.315029862664964e-07+4.4067770547248984e-07j),(0.0011835521067088796-0.02020852446503412j),(0.062078369990544544+0.0704422534439498j),(-5.5864862401009796e-05-0.0018195814049472056j),(4.436806261230106e-09-5.4180784953938734e-08j),(9.618596201575842e-05-0.00024943659488782516j),(-8.317351652006632e-06-3.583750695521518e-05j),(-7.779058228317885e-05-7.573602394655471e-05j),(0.029660370122338284+0.009739326978010013j)
1.01,(0.02706043472067349+0.00801772775330905j),(-5.368308879246421e-07+8.177359764487015e-07j),(-0.0006188626163127781-0.018494170947013742j),(0.06671401948561131+0.060474658963586884j),(-4.211599709806304e-05-0.001632647312664423j),(-2.2016311163356058e-08-5.115698951365938e-08j),(0.00013288310460326754-0.00023270733636865016j),(7.752584538811099e-07-4.0441444557713356e-05j),(-7.522917807402366e-05-0.00010078561918640875j),(0.030891034776999143+0.004504526765628487j)
1.02,(0.028081098202720256+0.0033167123181279696j),(-2.6455321131609e-07+1.2216326172088912e-06j),(-0.0021160886969470638-0.016731489009576234j),(0.06994704079558427+0.05033328665823361j),(-2.8795951915090885e-05-0.0014608234822735312j),(-4.518196172375233e-08-3.643559779424627e-08j),(0.00016622795767346637-0.0002105196534451087j),(1.1443814018919693e-05-4.306685132886943e-05j),(-6.843305504143735e-05-0.00012809702064093214j),(0.031205231788488514-0.0008575477825082821j)
1.03,(0.028293083401211623-0.0014891225379817857j),(2.251952571080503e-07+1.5882289835021161e-06j),(-0.0033222420598846662-0.014961523675356274j),(0.07180648163472167+0.04022334101151688j),(-1.626274175946669e-05-0.0013035163746744649j),(-6.033594237019003e-08-1.2018249618435241e-08j),(0.00019534241714525566-0.00018357816324445124j),(2.3276751968629355e-05-4.329535593141417e-05j),(-5.682075857576733e-05-0.00015713867087888852j),(0.030598051725244005-0.0061819596238865005j)
1.04,(0.02769299493612407-0.006257096912615323j),(9.551754321177338e-07+1.8301097302257656e-06j),(-0.004256660972210274-0.013220369200990827j),(0.07235300239526485+0.030337219741619202j),(-4.784816362704081e-06-0.0011600265712256859j),(-6.370549286221527e-08+1.8343112907928025e-08j),(0.00021951506481196131-0.00015274007951108777j),(3.576296254957794e-05-4.080335513965924e-05j),(-3.990730249290564e-05-0.00018726387221428475j),(0.02909585362677015-0.011306843850825343j)
1.05,(0.026303898260939065-0.01084732151879251j),(1.921342593618454e-06+1.8398369541562485e-06j),(-0.004942639892440818-0.011538698377237677j),(0.07167541887910131+0.020849471059617763j),(5.47242877119153e-06-0.001029620568304929j),(-5.306584262907792e-08+4.952813450810387e-08j),(0.0002382125299956045-0.0001189632156537513j),(4.831471723313272e-05-3.538332253409327e-05j),(-1.732883738135002e-05-0.00021772121506983134j),(0.02675469615915459-0.01607968452606652j)
1.06,(0.024173961812555295-0.01512788123437888j),(3.083570919755294e-06+1.4967196545403117e-06j),(-0.00540623591596987-0.009941504604948985j),(0.06988624692293016+0.011912551788201085j),(1.4428182890090094e-05-0.0009115399794834708j),(-2.820352996724142e-08+7.561868343843254e-08j),(0.000251088833212858-8.326788834405362e-05j),(6.029499528183543e-05-2.696123098588028e-05j),(1.1131608600314607e-05-0.00024767292718834736j),(0.023657447548568897-0.02036301685835797j)
1.07,(0.021374037908552513-0.018979536660878822j),(4.3580695995586176e-06+6.770717373956359e-07j),(-0.00567511959103764-0.008448085336034906j),(0.0671166139377799+0.0036536723178068123j),(2.206649179993357e-05-0.0008050087567382413j),(8.809237183026468e-09+9.061807098830231e-08j),(0.00025798855380411835-4.669936404336782e-05j),(7.104859986376602e-05-1.5607448011638172e-05j),(4.552218201226197e-05-0.00027621826500381946j),(0.01990976737673078-0.02403926834203199j)
1.08,(0.01799433914136728-0.022299719158060515j),(5.61275804993836e-06-7.325305082603287e-07j),(-0.005777511209912746-0.007072239782794195j),(0.06351081816650041-0.0038271853799212163j),(2.84196028222841e-05-0.0007092412506164708j),(5.357977586461955e-08+8.926154472140156e-08j),(0.0002589426178859819-1.0291457489859621e-05j),(7.993520609687927e-05-1.5401718834908478e-06j),(8.570535778837969e-05-0.0003024204014308142j),(0.01563521551484792-0.027014515642377356j)
1.09,(0.01414041520923522-0.025005646209750286j),(6.666695217035697e-06-2.8199443050305334e-06j),(-0.005741240101483935-0.0058226455634092095j),(0.0592208094504935-0.01045806943688294j),(3.3554127230582174e-05-0.0006234506966216566j),(9.962711881712799e-08+6.784328132165598e-08j),(0.00025415733781379807+2.496735948040007e-05j),(8.636244148893732e-05+1.4878879614760541e-05j),(0.0001313473213432467-0.00032533563578171943j),(0.010969785160015495-0.029221010059618985j)
1.1,(0.009928666044667692-0.027036443592288087j),(7.294315910514165e-06-5.631449064519659e-06j),(-0.005592953141823316-0.004703373568544883j),(0.054400849286438145-0.01619473669025592j),(3.755973669101789e-05-0.0005468577143901498j),(1.3889526722712759e-07+2.4973400587112705e-08j),(0.00024399756796967894+5.816419733224956e-05j),(8.9817078293189e-05+3.315634399392531e-05j),(0.00018191451211514687-0.00034404357432488196j),(0.006056175855445279-0.03061840671005569j)
1.11,(0.005481640628051746-0.028354224674578033j),(7.234751554879179e-06-9.156618160625984e-06j),(-0.005357487127493997-0.0037144982385739125j),(0.04920257690972524-0.02101932126886563j),(4.0540099512227656e-05-0.00047869843903971187j),(1.625226582513006e-07-3.783034393988044e-08j),(0.00022896501505661234+8.848744351431754e-05j),(8.989251926714854e-05+5.2686012763100286e-05j),(0.00023667801590226023-0.00035767683093770956j),(0.0010381183947132176-0.031193714312382645j)
1.12,(0.000923367087218597-0.028944140218972087j),(6.205961650076707e-06-1.331573405718813e-05j),(-0.005057408718779794-0.002852761365025446j),(0.04377066554627609-0.024938150115477238j),(4.2605764924787115e-05-0.00041823196173152236j),(1.6181669350666578e-07-1.1580231756111226e-07j),(0.00020967285336587698+0.00011524728491802227j),(8.631097502750535e-05+7.277350748108307e-05j),(0.0002947262080859288-0.0003654487905898429j),(-0.003944961487050005-0.030960057353968666j)
1.1300000000000001,(-0.0036250598886322745-0.028813469643068145j),(3.922846584039702e-06-1.7951277609139135e-05j),(-0.004712716078351581-0.0021122509834570705j),(0.03823920296438213-0.027978892240765114j),(4.3868715533801285e-05-0.00036474682981468126j),(1.2934749237124783e-07-2.0091100350053263e-07j),(0.00018681784862339452+0.00013789069973176818j),(7.893904584678175e-05+9.266545785866549e-05j),(0.00035498573988567057-0.00036667807199150835j),(-0.008762696184600825-0.02995440520765941j)
1.1400000000000001,(-0.008049431009401392-0.027989889376620544j),(1.1808419335220003e-07-2.2824595459179754e-05j),(-0.00434070459743437-0.0014850579499237197j),(0.032728837788095495-0.03018733682986857j),(4.4434863443868476e-05-0.0003175732438288106j),(6.005146150958507e-08-2.8220214542712486e-07j),(0.00016113652645967277+0.0001560115379159517j),(6.778989250334884e-05+0.00011158077157269813j),(0.00041624916334937465-0.0003607861357162772j),(-0.013297756759197185-0.028234469735853713j)
