t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B01_A_0000
0.13,(-0.017236986350835513-0.02468465392927507j),(-4.341184567551221e-06-1.2682502618737264e-05j),(0.0032863658353469386-0.017277194852671172j),(-0.012686862095250741+0.015523086604408598j),(0.0002083137023517765+0.0027421188359173614j),(-0.00019015094538379817+0.00010089666298879749j),(-5.7013550880999926e-05+4.451147086548898e-05j),(-1.1873576823850477e-05-0.00010644592475590296j),(-2.229588129151278e-06+2.420694220968191e-05j),(-0.017684837266753264-0.02576300484297795j)
0.14,(-0.020787126061498313-0.021668108267508958j),(-5.9496472137834485e-06-1.0301528517155523e-05j),(0.001951424308024561-0.019156778607472356j),(-0.011877431227066242+0.01865640056981814j),(0.00034767012390923694+0.003036599674587393j),(-0.0001621687342422+0.00011968979109985511j),(-6.0952702269022545e-05+4.088384845020227e-05j),(-4.519399853961101e-06-0.00010125693468923975j),(-4.4808586868032905e-06+2.1855717612058243e-05j),(-0.021462360121904677-0.022712151841214764j)
0.15,(-0.02377594308592686-0.018210293967548932j),(-6.921824615882736e-06-7.917079693096005e-06j),(0.0003351857704792516-0.02093046808100786j),(-0.010547905731767816+0.02181269955933576j),(0.0005119199869088125+0.0033306757114058066j),(-0.00013310395388744825+0.00013247120407729881j),(-6.435891144529701e-05+3.6662439139314575e-05j),(2.4477914516195386e-06-9.544471501377534e-05j),(-6.362969186067397e-06+1.9375729481016e-05j),(-0.024675305556751632-0.019172698674332956j)
0.16,(-0.026161848743499264-0.014418806575977189j),(-7.339314646348694e-06-5.663413711488968e-06j),(-0.0015485491393607016-0.02255864810651613j),(-0.008689899466034077+0.024906996950794846j),(0.0007013785763235027+0.0036209735619219855j),(-0.00010428157536446472+0.00013961822812112482j),(-6.71870759493583e-05+3.194266568795148e-05j),(8.914868958764309e-06-8.917922787042803e-05j),(-7.866596731551622e-06+1.684159894936272e-05j),(-0.02727210930360078-0.015253950391225525j)
0.17,(-0.027923543287840812-0.010401503785318985j),(-7.3023184008271906e-06-3.634821581459068e-06j),(-0.0036806375369633545-0.024004433294169736j),(-0.006309630029557466+0.027854385660663627j),(0.0009160822446577338+0.0039040464819785053j),(-7.67620496600939e-05+0.00014173771505831607j),(-6.940008279803416e-05+2.6824634474061363e-05j),(1.4800585869688528e-05-8.260395998599137e-05j),(-8.997425929509167e-06+1.4317735976726159e-05j),(-0.02922239301449344-0.01106752696950273j)
0.18,(-0.029058587166497476-0.006262920968169819j),(-6.916715487835807e-06-1.8885489482026064e-06j),(-0.0060375726662471475-0.025234329663391855j),(-0.003426900418564271+0.03057272839554615j),(0.0011558780513601025+0.004176491476728184j),(-5.1335018860270925e-05+0.000139574237273975j),(-7.097889292605766e-05+2.1417214971057023e-05j),(2.0042774055791197e-05-7.584550111935833e-05j),(-9.772257622689682e-06+1.1859819597053773e-05j),(-0.030515922150612274-0.006723392260014301j)
0.19,(-0.02958138335591195-0.002101143201683734j),(-6.284549664184171e-06-4.505111018099997e-07j),(-0.00859151172335084-0.02621948151425225j),(-7.50222642662262e-05+0.032985497595404804j),(0.0014201532541869703+0.004435044294960753j),(-2.8538186664949425e-05+0.00013393397880692953j),(-7.192315141840907e-05+1.5815190918841053e-05j),(2.4614324175830933e-05-6.902225157411613e-05j),(-1.0219044537793143e-05+9.514033797621407e-06j),(-0.031160875788909942-0.0023263978216291926j)
0.2,(-0.02952079608341263+0.001994560515074777j),(-5.497463488428354e-06+6.784427371058789e-07j),(-0.011311424120403545-0.026935589203701173j),(0.003701277468154818+0.03502339073836692j),(0.0017079922653972096+0.004676535271823067j),(-8.682133288951927e-06+0.00012562262114880664j),(-7.223966935183805e-05+1.010689657248499e-05j),(2.851291929500067e-05-6.223196925762657e-05j),(-1.0372040969542185e-05+7.316021173298406e-06j),(-0.031181595638250282+0.0020265608413812673j)
0.21,(-0.02891750800048732+0.005945496402038491j),(-4.633043981673616e-06+1.5158422520260163e-06j),(-0.0141639229853005-0.027363169839121078j),(0.00784764614926707+0.03662594433127327j),(0.002018194292248954+0.004897934455494574j),(8.114418049716776e-06+0.00011540027520340172j),(-7.19422820659993e-05+4.374229398219688e-06j),(3.1754742514786e-05-5.555430115717709e-05j),(-1.0269038606445536e-05+5.291798929114368e-06j),(-0.03061598680393527+0.006248724484064343j)
0.22,(-0.0278212900893099+0.009684664287135665j),(-3.753365526058613e-06+2.0914067648221035e-06j),(-0.01711408198107325-0.02748767299110058j),(0.012302071432386971+0.03774271932565037j),(0.002349292377375128+0.005096393284491697j),(2.1886282368784733e-05+0.00010395101704441614j),(-7.105156254799561e-05-1.3077559249201863e-06j),(3.436946127894604e-05-4.9053127668156536e-05j),(-9.949192999538439e-06+3.4587748752456407e-06j),(-0.02951273672023038+0.010264978257408016j)
0.23,(-0.026288318813790415+0.013157280472428673j),(-2.9051619527551153e-06+2.4417360067236196e-06j),(-0.020126217400165673-0.027299455885216414j),(0.0169969333706496+0.03833404771525689j),(0.0026995759129015313+0.0052692811117110595j),(3.278395144607602e-05+9.186506772802271e-05j),(-6.959425881931751e-05-6.871366416459033e-06j),(3.639617179187872e-05-4.27785981171017e-05j),(-9.45133108297839e-06+1.8268147237582518e-06j),(-0.02792850341282014+0.014012715840589484j)
0.24,(-0.024378650628024436+0.016320774134309435j),(-2.1210994440810255e-06+2.6060540059671073e-06j),(-0.02316461335755947-0.026793635059917203j),(0.02186104970652162+0.03837135824814603j),(0.00306711590860581+0.005414216228122792j),(4.1038627543786476e-05+7.963130365010385e-05j),(-6.760247668151164e-05-1.2256785531281575e-05j),(3.788013773644153e-05-3.67689128766352e-05j),(-8.812671309155859e-06+3.993280056349384e-07j),(-0.02592520241251042+0.017442116644276338j)
0.25,(-0.022153937679515644+0.01914434126042986j),(-1.4216969663337995e-06+2.6230268238194664e-06j),(-0.026194173112511567-0.025969834246363677j),(0.02682163358099778+0.0378371168763864j),(0.0034497923290066814+0.005529091258499004j),(4.693167438623172e-05+6.763770168075362e-05j),(-6.511265542312385e-05-1.741249208921801e-05j),(3.8870185476590804e-05-3.105189943233456e-05j),(-8.067896879183845e-06-8.256576884232419e-07j),(-0.023567495824276405+0.020515913958228434j)
0.26,(-0.019675442178871322+0.021608147594543173j),(-8.175335169234921e-07+2.5285722523738045e-06j),(-0.029180984803435284-0.02483184966104772j),(0.03180609775887848+0.0367244307441236j),(0.0038453228721155165+0.005612092992033124j),(5.076924403482124e-05+5.6177452276224116e-05j),(-6.216439980515737e-05-2.22955195709339e-05j),(3.9416642382981325e-05-2.5646420870280905e-05j),(-7.248529058352485e-06-1.8544612722334204e-06j),(-0.020920559689832058+0.02320874458615819j)
0.27,(-0.017002382168223855+0.023702272996038585j),(-3.114763277352878e-07+2.354519762423141e-06j),(-0.03209279489150946-0.023387254135636804j),(0.036743655582545505+0.03503637310022867j),(0.0042512926365197885+0.005661716865979187j),(5.2862245466837736e-05+4.545873946380308e-05j),(-5.879923791455945e-05-2.6871519061657436e-05j),(3.956972545961179e-05-2.0563646461858104e-05j),(-6.382552446702478e-06-2.6967746918445625e-06j),(-0.018048178949237464+0.025506175725415543j)
0.28,(-0.014190619560891524+0.025425485247435882j),(9.924884426836921e-08+2.127952973731253e-06j),(-0.03489938714777-0.0216469607244396j),(0.041566685061494954+0.0327850907675136j),(0.004665184206428805+0.0056767764373721365j),(5.351139551397791e-05+3.561652498762666e-05j),(-5.5059372996382725e-05-3.1114613276473435e-05j),(3.9378304164675795e-05-1.5808206034495415e-05j),(-5.4942480162779695e-06-3.3647699527553283e-06j),(-0.015011194642119167+0.027403503695689956j)
0.29,(-0.011291683133955045+0.026783923006990448j),(4.2125086182414214e-07+1.8710653814118508e-06j),(-0.03757286892607798-0.019624764841226286j),(0.046211837802395864+0.02999075620743051j),(0.00508440776970364+0.005656408256159131j),(5.299681830495493e-05+2.6725034420966663e-05j),(-5.098649012617657e-05-3.500704885499112e-05j),(3.888897459220129e-05-1.137924308274924e-05j),(-4.604193267412764e-06-3.872300170789891e-06j),(-0.011866306639043775+0.028904412926901685j)
0.3,(-0.008352104801560957+0.027789757159352016j),(6.634777153494541e-07+1.6013743009721539e-06j),(-0.040087860829403674-0.017336878032208666j),(0.050620876881601946+0.026680419021589734j),(0.005506329340195824+0.005600070046127181j),(5.1571504354784334e-05+1.8809984818227804e-05j),(-4.662058391639879e-05-3.8538621301121095e-05j),(3.8145393703904474e-05-7.2713403325382085e-06j),(-3.729388749672633e-06-4.234203617497482e-06j),(-0.008665217830681133+0.030019573791985624j)
0.31,(-0.0054130261822895025+0.028459913626379774j),(8.360274614557249e-07+1.3321550371334644e-06j),(-0.042421171050797665-0.014801294706077994j),(0.0547406810523612+0.022886606834905912j),(0.005928233835113548+0.005507398512656939j),(4.9457638356342474e-05+1.1859793307872551e-05j),(-4.199526379166604e-05-4.1702190834610126e-05j),(3.718731744712822e-05-3.4734698132747863e-06j),(-2.8832878139279794e-06-4.465679112793539e-06j),(-0.0054540925750875885+0.030765245779113295j)
0.32,(-0.002510064735401213+0.028814819374949806j),(9.49277952784263e-07+1.0730202303598078e-06j),(-0.04455233362701651-0.012037607166445944j),(0.05852417056742346+0.018646447646117687j),(0.00634747228956506+0.005378321890031321j),(4.6846063412536864e-05+5.8360181557522275e-06j),(-3.7143174592760205e-05-4.449298323275007e-05j),(3.604924448732218e-05+2.80198976787301e-08j),(-2.076323612779347e-06-4.581646389252998e-06j),(-0.0022732932125249642+0.031161939361897296j)
0.33,(0.0003266232649819691+0.028877276101685397j),(1.0132753295904492e-06+8.305252608060836e-07j),(-0.04646358929501195-0.009066633822217876j),(0.061930485798679234+0.014000611071918946j),(0.006761445238630434+0.005213076424425156j),(4.3897023424609044e-05+6.816800060680145e-07j),(-3.2095398974313924e-05-4.691124120657027e-05j),(3.476167178299168e-05+3.247795777808718e-06j),(-1.3163692687302554e-06-4.596496615292495e-06j),(0.0008426467564394918+0.031233176764431828j)
0.34,(0.003072123568328997+0.028671479713108593j),(1.0373275596696582e-06+6.087566269471559e-07j),(-0.048139575140787275-0.005910000597307771j),(0.06492464661368708+0.008992221207826695j),(0.007167568865092162+0.005012135313843035j),(4.074196611445503e-05-3.671798133382433e-06j),(-2.687898134734057e-05-4.896055695484465e-05j),(3.3351293522243606e-05+6.201701307563958e-06j),(-6.090172284509516e-07-4.523848222089926e-06j),(0.0038648562009922197+0.031004379418079517j)
0.35000000000000003,(0.0057064161630873515+0.02822216644155833j),(1.0297725378030295e-06+4.098780918448475e-07j),(-0.04956722205647988-0.0025898695661083423j),(0.0674773705054222+0.003665990617692135j),(0.007563292724221704+0.004776201036119713j),(3.748627847863371e-05-7.2989404370231136e-06j),(-2.1517033723333456e-05-5.0646830592491354e-05j),(3.184101728315524e-05+8.906136237610026e-06j),(4.2056602889617955e-08-4.376350374289568e-06j),(0.006769809312133728+0.030501898821799708j)
0.36,(0.008213939777078941+0.027553901757303306j),(9.978745644905831e-07+2.3461020313589302e-07j),(-0.05073563021741426+0.0008712911404511678j),(0.06956478416420114-0.0019325356506292124j),(0.007946116810908775+0.00450619725414438j),(3.421240791388711e-05-1.0275894726701791e-05j),(-1.6028960625688136e-05-5.1977344398207605e-05j),(3.0250101087887478e-05+1.1377518251160746e-05j),(6.347416864338135e-07-4.165566397005112e-06j),(0.009538898053181952+0.029752198083401054j)
0.37,(0.010583100644002922+0.02669050871757778j),(9.478128029931409e-07+8.263553338852335e-08j),(-0.05163593101995814+0.004450897068637924j),(0.07116805631974842-0.007757619937479993j),(0.008313608075003028+0.004203260342444004j),(3.098309406715181e-05-1.2677259576221885e-05j),(-1.0430777384817353e-05-5.295994382701647e-05j),(2.859437440833479e-05+1.3631826411200406e-05j),(1.1681660084026115e-06-3.901923305990469e-06j),(0.012157930184133674+0.028781183784234093j)
0.38,(0.012805752726120945+0.025654627678313512j),(8.84731684451204e-07-4.707019106453908e-08j),(-0.052261142911177234+0.008126398931297962j),(0.07227297767150201-0.013763854721349434j),(0.008663416473794367+0.0038687305219655237j),(2.7844517832582342e-05-1.4573874896793062e-05j),(-4.7355012632320276e-06-5.3602315124662726e-05j),(2.6886514332763784e-05+1.5684222014799253e-05j),(1.6424006246120017e-06-3.5947143247653446e-06j),(0.014616584121924969+0.027613681973373258j)
0.39,(0.01487667165059953+0.024467396092374104j),(8.128295800875992e-07-1.5597594922038918e-07j),(-0.052606027460529246+0.011875398871040173j),(0.07286951112494837-0.019906571336937177j),(0.008993290622912205+0.0035041425440280227j),(2.4829240702048712e-05-1.6031393898605525e-05j),(1.046400653503426e-06-5.3911349229446454e-05j),(2.5136355213989476e-05+1.7548739904019657e-05j),(2.058199298855985e-06-3.252142542027118e-06j),(0.016907846737909904+0.026273047946945922j)
0.4,(0.016793039845342694+0.023148235229098407j),(7.354678657176037e-07-2.457943934997343e-07j),(-0.05266695093375062+0.015675735142321078j),(0.07295133262160595-0.026142140906272312j),(0.009301093071503352+0.003111215831523766j),(2.1958860147066043e-05-1.7109469419351238e-05j),(6.9065189739857795e-06-5.389258225492488e-05j),(2.335121618700015e-05+1.923804201836845e-05j),(2.4167744717320933e-06-2.88139541606846e-06j),(0.01902745505559592+0.0247808968172079j)
0.41000000000000003,(0.01855395596591375+0.02171472984771971j),(6.552874961353885e-07-3.1833288785033877e-07j),(-0.05244175557777715+0.01950553924463362j),(0.07251537980739257-0.03242817601234973j),(0.009584815187457008+0.002691843966301646j),(1.9246346147908004e-05-1.7861408187858325e-05j),(1.2837973750056471e-05-5.3549704062789296e-05j),(2.153623601268354e-05+2.0763224691586325e-05j),(2.7196090738385422e-06-2.488741482643589e-06j),(0.02097335797114708+0.023156940495272275j)
0.42,(0.02015997782811039+0.02018258691101815j),(5.743242913841165e-07-3.7538750193762176e-07j),(-0.05192964384810538+0.023343269725825122j),(0.07156142279964131-0.0387236431659129j),(0.009842591596807372+0.002248083406288736j),(1.6698052197094955e-05-1.8334169309863907e-05j),(1.8834856407007877e-05-5.288412814577754e-05j),(1.969470884840769e-05+2.2133671631149526e-05j),(2.968302596974879e-06-2.0796422336830014e-06j),(0.022745209764773715+0.02141891635613759j)
0.43,(0.021612704776346782+0.01856566011588277j),(4.941173342847155e-07-4.1867145261892475e-07j),(-0.051131077929608595+0.027167726901796037j),(0.07009166851306081-0.044988896997755615j),(0.010072714081257586+0.001782141323618452j),(1.4315413080911729e-05-1.8568605825040852e-05j),(2.4891645349315548e-05-5.1894618160743576e-05j),(1.7828417852734194e-05+2.3356945464800805e-05j),(3.1644492378811484e-06-1.658873614088105e-06j),(0.024343903416083883+0.019582593283807716j)
0.44,(0.022914402750565464+0.016876028146346547j),(4.158072763982225e-07-4.497704644652507e-07j),(-0.05004769613111935+0.030958052645983104j),(0.06811040747400249-0.05118564748126615j),(0.010273644801771092+0.0012963624745341287j),(1.2096353429675363e-05-1.8599869130271956e-05j),(3.100259666059678e-05-5.0576968916773086e-05j),(1.5937966088521014e-05+2.4438712038028225e-05j),(3.30954572067161e-06-1.2306528734386392e-06j),(0.025771148632577384+0.017661841784516314j)
0.45,(0.02406767325018716+0.015124115951374261j),(3.402230669923823e-07-4.7011866018236364e-07j),(-0.04868224707680281+0.034693719225782675j),(0.06562370983851953-0.05727687148043918j),(0.010444028686726342+0.0007932150412856259j),(1.003643718740934e-05-1.845791457401199e-05j),(3.716110960150672e-05-4.892374237968498e-05j),(1.402310607623246e-05+2.5382693185642223e-05j),(3.4049264891560447e-06-7.987675743164929e-07j),(0.027029097052144797+0.015668756210083134j)
0.46,(0.02507516589240585+0.01331884987270587j),(2.679567838018096e-07-4.80989743931085e-07j),(-0.047038542069894315+0.03835451093607781j),(0.0626391754501407-0.06322667964604924j),(0.010582704802107115+0.00027527542336758595j),(8.129790295201935e-06-1.816806224216445e-05j),(4.3359065262990016e-05-4.692406225582228e-05j),(1.2083070633620098e-05+2.619064539925197e-05j),(3.4517242549570867e-06-3.6670438176729933e-07j),(0.028120015257855287+0.013613818683952476j)
0.47000000000000003,(0.025939334652048444+0.011467835102955432j),(1.99426075535314e-07-4.834989207496317e-07j),(-0.04512138535824693+0.04192034741647028j),(0.05916574220142737-0.06900000352340749j),(0.010688692411354209-0.00025474593592029506j),(6.369804429869652e-06-1.7751529789336353e-05j),(4.958497695222212e-05-4.4563804130120076e-05j),(1.0116879205324922e-05+2.6862125570121793e-05j),(3.4508371430755293e-06+6.221271410695154e-08j),(0.029046004993775878+0.011506095932711059j)
0.48,(0.026662234508316944+0.009577552393413909j),(1.349270314145722e-07-4.786130357324194e-07j),(-0.04293647810694037+0.04537117478351308j),(0.05521349993502008-0.07456226519668714j),(0.010761147701765155-0.0007940070377073513j),(4.749679070846677e-06-1.7226012673854964e-05j),(5.582464862070278e-05-4.1825936064502623e-05j),(8.123947148930134e-06+2.7394766011722215e-05j),(3.4029679902193417e-06+4.846904550982197e-07j),(0.02980876922778153+0.009353461787700362j)
0.49,(0.027245348726265415+0.007653589040871557j),(7.468022502645959e-08-4.6716795409608923e-07j),(-0.04049057487805256+0.04868751519730252j),(0.050793630507988255-0.07987970827425739j),(0.010799461394840507-0.001339703317138616j),(3.2629330461252393e-06-1.660642874561929e-05j),(6.20647192217869e-05-3.8689016650088394e-05j),(6.1044100061821795e-06+2.7785230700224877e-05j),(3.3087125139624528e-06+8.974083935387201e-07j),(0.03040942239849499+0.007162839551799468j)
0.5,(0.02768946090319219+0.005700858317324783j),(1.8861887604785032e-08-4.498865792303885e-07j),(-0.037791473681412543+0.051850002619974044j),(0.04591848569579857-0.08491882567308705j),(0.01080323764373705-0.001888952383538707j),(1.9036597027411138e-06-1.590529381690546e-05j),(6.82866484816693e-05-3.512802117758547e-05j),(4.059108611286753e-06+2.8028280145550133e-05j),(3.1685203817299022e-06+1.2968815819820212e-06j),(0.030848343234245387+0.004940459663718099j)
0.51,(0.027994559185366+0.003723835954593379j),(-3.236930201197735e-08-4.274004040241131e-07j),(-0.03484808038251203+0.054839351936647504j),(0.0406016725450712-0.08964614100290888j),(0.010772301485167897-0.002438805070534949j),(6.667408484046808e-07-1.5133235158687662e-05j),(7.446578594346462e-05-3.1114817353975864e-05j),(1.99002846907578e-06+2.8116886323562856e-05j),(2.982769603137082e-06+1.6793498198052136e-06j),(0.031125068869251177+0.002692129091138567j)
0.52,(0.028159774264898244+0.0017268039792521384j),(-7.885236213115137e-08-4.0027277587701493e-07j),(-0.031670491155921514+0.05763636861509309j),(0.0348581951689122-0.09402803040695198j),(0.010706707260845393-0.0029862647600861314j),(-4.5202694865570345e-07-1.4299479191383766e-05j),(8.05706572032157e-05-2.6618707568745567e-05j),(-9.925303759476181e-08+2.8042449445805524e-05j),(2.7518679222724814e-06+2.040682282761315e-06j),(0.031238229535850866+0.00042350961249376407j)
0.53,(0.028183351035604085-0.0002859003420887956j),(-1.2041073487108126e-07-3.690230578951323e-07j),(-0.028270085941602567+0.06022197656206548j),(0.028704652500569392-0.09803057161670824j),(0.010606744931993345-0.0035283077824517914j),(-1.4558858283253874e-06-1.3412301972680346e-05j),(8.656223386510414e-05-2.1607112068071496e-05j),(-2.2031262250548165e-06+2.779507594093771e-05j),(2.476377509974132e-06+2.37629883372636e-06j),(0.031185523814016437-0.001859597417811574j)
0.54,(0.028062654330704345-0.002309631969430694j),(-1.5684525934933353e-07-3.3415104637052916e-07j),(-0.024659630516933435+0.06257726655371361j),(0.022159489301978738-0.10161942898990911j),(0.010472944107873784-0.004061904688874485j),(-2.3471413435787993e-06-1.2479440155661586e-05j),(9.239319990733355e-05-1.604642478677557e-05j),(-4.313519941734181e-06+2.736392665163629e-05j),(2.157163153568222e-06+2.681111863393562e-06j),(0.030963735204870398-0.004150962100284688j)
0.55,(0.027794209926169617-0.004339183602945417j),(-1.8793321879070832e-07-2.9616101579108616e-07j),(-0.02085338448169447+0.0646835675381971j),(0.015243296971203094-0.10475978353838941j),(0.010306075652041885-0.0045840421779791635j),(-3.1272521352516728e-06-1.1508459491704096e-05j),(9.800723441456084e-05-9.903072951724348e-06j),(-6.4194924700674155e-06+2.67376450046086e-05j),(1.7955637629247131e-06+2.949493632704328e-06j),(0.03056879159791565-0.006443635291091755j)
