z_0
(1+0j)
(0.7650260556798729+1.1707406708022412j)
(-0.8434570444205665+1.2292938182292354j)
(1.0893549819856798-0.38303842133585475j)
(0.5139744743485785+0.8371975670094481j)
(0.47395591247191315-0.07611947387972141j)
(-0.5500194875778919-0.06656725930894025j)
(0.5562542504147902-1.30826981332414j)
(-0.4043126080730963-0.860424733968953j)
(1+0j)
