t,S_00,S_01
0.0,0.0,1.0
0.01,0.00022487387737881728,0.999772915371106
0.02,0.0008979500479622449,0.9990989252476239
0.03,0.002014691496449037,0.9980349750685442
0.04,0.003567930548873515,0.996520580060304
0.05,0.0055454536167733135,0.9944162335858647
0.06,0.00793739469346627,0.9923667343778483
0.07,0.010722910386672066,0.989190252896278
0.08,0.013890438640729946,0.9866070808555291
0.09,0.01741049384599805,0.9825053717316262
0.1,0.021274257037977265,0.9794403591617287
0.11,0.025436603015125993,0.974540153344524
0.12,0.02990301602426872,0.9709856020137652
0.13,0.034600204863815036,0.9655797661177542
0.14,0.03956224009020121,0.9613115019355126
0.15,0.04468840634294277,0.9559125669226911
0.16,0.05001959523396203,0.9506156090501188
0.17,0.05548487492648655,0.9456678851943676
0.18,0.06105052321039586,0.9393541853142146
0.19,0.06676045736277414,0.934772931215152
0.2,0.07245581428478991,0.9280876852844608
0.21,0.07827625423015339,0.9231999558207712
0.22,0.08402620609097054,0.917004135288774
0.23,0.08981903388860239,0.9112602924209836
0.24,0.0955851637734892,0.9060254378636676
0.25,0.10123810177596454,0.8995555775211749
0.26,0.10694106718504137,0.8949019297064795
0.27,0.11242181626329001,0.888555018476571
0.28,0.11792680478695894,0.8836566043194514
0.29,0.12324675901966954,0.8782254213233459
0.3,0.12844918270538383,0.8726939354312025
0.31,0.1336054269551831,0.8682523382652204
0.32,0.13848903273625507,0.8625226909785211
0.33,0.14339450969203235,0.8584050167075483
0.34,0.14801970316457008,0.8532892956296971
0.35000000000000003,0.15257756456728702,0.8488225900235389
0.36,0.1570073081391218,0.8447098109056675
0.37,0.16119795765700995,0.8398868185319673
0.38,0.1654123456435879,0.8364058052376031
0.39,0.16932602193318827,0.831860251924355
0.4,0.17324211864937963,0.8282862959837893
0.41000000000000003,0.17698942785416147,0.8245569560026024
0.42,0.18057962586897014,0.8205735137572377
0.43,0.18419799265628134,0.8175484619476139
0.44,0.18755275773440955,0.8135495510773307
0.45,0.1909847891716274,0.8105877056129841
0.46,0.19424416864594737,0.8071459743315124
0.47000000000000003,0.19744782642610179,0.803752298271773
0.48,0.20069245281345485,0.8009551732199853
0.49,0.20373884026418237,0.7972995445407743
0.5,0.20693903891124213,0.79464699866824
0.51,0.20997681978565388,0.7912645763708926
0.52,0.21307434212460413,0.7881801445884915
0.53,0.2162154165775778,0.7853148178187979
0.54,0.21924304142944576,0.7817495713890101
0.55,0.2224936885781087,0.779103260136745
0.56,0.22558641971283175,0.775490206255797
0.5700000000000001,0.22887800803393638,0.7724917102990403
0.58,0.23216446824708237,0.7691816308000577
0.59,0.23547839926275843,0.7655652726612902
0.6,0.23901643471790412,0.762536263782256
0.61,0.2424313736591461,0.7584929195606099
0.62,0.24618323997413286,0.7553621452027887
0.63,0.24981360527326082,0.7512215966600566
0.64,0.2537284257987003,0.747619234573309
0.65,0.2576663930031882,0.7435771523196302
0.66,0.26173366390939806,0.7393594201114583
0.67,0.26602381829955063,0.7354059384918588
0.68,0.27027874891021725,0.7306312943961446
0.6900000000000001,0.274920037437339,0.7266152016979958
0.7000000000000001,0.2794220482694571,0.7214217748800366
0.71,0.28439415020816644,0.7171730830348855
0.72,0.2891891341184759,0.7116503741785458
0.73,0.2944849844406097,0.7070779035925595
0.74,0.29959521901657865,0.7012446926799466
0.75,0.30522364504043686,0.6963315606032793
0.76,0.31065629561261104,0.6901706921509758
0.77,0.3166278112987496,0.6849270034707587
0.78,0.32238281392784945,0.6784197715065883
0.79,0.3286977482292198,0.6728444181824434
0.8,0.3347816431212693,0.6660137500944585
0.81,0.3414141679906299,0.6600528202851303
0.8200000000000001,0.34787215859439463,0.6530273219646554
0.8300000000000001,0.35474403136330335,0.6465298954151193
0.84,0.3616457554513514,0.6395050140960828
0.85,0.36866277785277496,0.6323165747893874
0.86,0.3760277626420029,0.6253890301285653
0.87,0.3831807646713584,0.6175781890612307
0.88,0.39088439473416153,0.6105438098650926
0.89,0.39833072730593044,0.6025539958478827
0.9,0.4061154144237744,0.5949519155715803
0.91,0.41404038618524963,0.5872531180411584
0.92,0.42177205519813177,0.5789441090268491
0.93,0.42999942738635727,0.5713195716312052
0.9400000000000001,0.4379627812562147,0.5629718407996651
0.9500000000000001,0.4460770005080524,0.5547660792832622
0.96,0.4544557725758763,0.5468434954057785
0.97,0.4624696165356734,0.5382277660313286
0.98,0.47083825005115654,0.5301452649950391
0.99,0.4791848990116368,0.5219594664316508
1.0,0.48723599080940305,0.5133643282390229
1.01,0.4956675454331012,0.5053815147049605
1.02,0.5038632252347518,0.49709817431296066
1.03,0.5118724346898421,0.4886950214759592
1.04,0.5201964628323127,0.480852697878215
1.05,0.5281367351618973,0.47264376270646663
1.06,0.5360027534175534,0.46456075045177314
1.07,0.5440708043979848,0.4569316589616459
1.08,0.5516553128632251,0.44894576010978693
1.09,0.5592906122737117,0.4413005748296777
1.1,0.566958038823601,0.43394766507974203
1.11,0.5741097339025236,0.4263218836255913
1.12,0.5814439716141993,0.419211833303785
1.1300000000000001,0.5885612283288927,0.4121691391081633
1.1400000000000001,0.5952675450128205,0.405055142530672
1.1500000000000001,0.6022075754465933,0.39851062152519134
1.16,0.6086484121413149,0.3918117496915636
1.17,0.6149889441810537,0.38538691276983356
1.18,0.6213396664037886,0.379304583700259
1.19,0.6271283077358488,0.3730842932144835
1.2,0.6331390515262202,0.367406597948912
1.21,0.6386668122890762,0.36165814949280156
1.22,0.6440958577407977,0.35619152457020636
1.23,0.6494579849436823,0.35099057808184214
1.24,0.6543336146538945,0.3457653506611364
1.25,0.6594332587695261,0.34102015535020697
1.26,0.6639092478656939,0.33614692988579326
1.27,0.668621237290555,0.3317424150527204
1.28,0.6728026355732616,0.32727029178193684
1.29,0.6770856980659814,0.32315902871157476
1.3,0.6810094427985036,0.3190796501523475
