N,E [H]
1,-106.96596539460985
2,-107.03084106797262
3,-107.03262509322346
4,-107.03263379194411
5,-107.0326357899419
6,-107.03277977442116
7,-107.03341099110706
8,-107.07830071168394
9,-107.07857903521742
10,-107.08149776492638
11,-107.08178132622837
12,-107.09530334222517
13,-107.09590551294323
14,-107.09634970637823
15,-107.09714850717016
16,-107.10632291388757
17,-107.1071273949022
18,-107.10759492475094
19,-107.11164913593646
20,-107.11168555529342
21,-107.11465932468015
22,-107.11625587337012
23,-107.11738005633279
24,-107.11829137203273
25,-107.11857183631841
26,-107.11860924812217
27,-107.13217011318896
28,-107.1326908892418
29,-107.1331596821647
30,-107.13593966449227
31,-107.13865944702442
32,-107.16628680158102
33,-107.16660761670761
34,-107.16666404200068
35,-107.16670477553033
36,-107.1683159087956
37,-107.17100631802793
38,-107.173615268701
39,-107.17376719926702
40,-107.17479401195435
41,-107.17868251320596
42,-107.17884018540492
43,-107.17884200836511
44,-107.1788601532472
45,-107.1789308764807
46,-107.17897317729599
47,-107.17909497768257
48,-107.17909896143838
49,-107.17910946185381
50,-107.179114585758
51,-107.18343186338673
52,-107.18493895508652
53,-107.18500978257319
54,-107.18501865654922
55,-107.18544904484777
56,-107.18566369675577
57,-107.1858081367377
58,-107.18724542910236
59,-107.1873715503038
60,-107.18828539721626
61,-107.18874437738474
62,-107.18908526372428
63,-107.18910767401422
64,-107.1901394261085
65,-107.19022119483786
66,-107.1940089674233
67,-107.19445324522039
68,-107.1945565275376
69,-107.19497327559395
70,-107.19498504241555
71,-107.19502207099062
72,-107.19504283754691
73,-107.19522687661824
74,-107.20739169417185
75,-107.20771532923466
76,-107.20812753430798
77,-107.20863041584214
78,-107.20880471856783
79,-107.20887389158665
80,-107.264799844568
81,-107.26551078155907
82,-107.26564348884398
83,-107.26570455074032
84,-107.26599490852641
85,-107.27360976525615
86,-107.27516651199095
87,-107.27673876140535
88,-107.2772778362687
89,-107.28011918564289
90,-107.28028195792365
91,-107.28075061001046
92,-107.28088233030047
93,-107.28160426118805
94,-107.28179751709654
95,-107.28189309466615
96,-107.28196322575289
97,-107.28231532444198
98,-107.28277452658564
99,-107.28277752918558
100,-107.28293458296788
101,-107.28304716615554
